;Apr09_TPC_0-1-0_LMW;Apr09_TPC_0-1-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
993,336;0,1750044;0,09593106;
995,199;0,1754799;0,09671119;
997,063;0,1762745;0,09780878;
998,927;0,1773092;0,09914478;
1000,790;0,1786754;0,1008105;
1002,654;0,1804497;0,1028827;
1004,518;0,182499;0,1052282;
1006,381;0,18471;0,1077339;
1008,245;0,1870899;0,1104067;
1010,109;0,1893152;0,1129234;
1011,972;0,1912532;0,1151512;
1013,836;0,1926732;0,1168593;
1015,700;0,1935596;0,1180323;
1017,563;0,1940392;0,1187969;
1019,427;0,1942221;0,1192632;
1021,291;0,1941533;0,1194763;
1023,154;0,1941926;0,1197959;
1025,018;0,1943838;0,1202659;
1026,882;0,1949172;0,1210766;
1028,745;0,1956611;0,1220963;
1030,609;0,1966677;0,1233772;
1032,473;0,1981608;0,1251431;
1034,336;0,1999821;0,1272357;
1036,200;0,2018879;0,1294114;
1038,064;0,2037813;0,1315733;
1039,927;0,2055015;0,1335604;
1041,791;0,2071373;0,1354617;
1043,655;0,2086171;0,1372057;
1045,518;0,2098709;0,1387222;
1047,382;0,2106077;0,1397203;
1049,246;0,2109263;0,1402989;
1051,109;0,2109015;0,1405326;
1052,973;0,2105615;0,1404498;
1054,837;0,2098402;0,1399843;
1056,700;0,2090055;0,1394041;
1058,564;0,2078645;0,1385162;
1060,428;0,2066245;0,137528;
1062,291;0,2054138;0,1365677;
1064,155;0,2043536;0,1357566;
1066,019;0,2033565;0,1350074;
1067,882;0,2021775;0,1340749;
1069,746;0,2007751;0,1329178;
1071,610;0,1993628;0,1317495;
1073,473;0,1979192;0,1305486;
1075,337;0,1964308;0,1293015;
1077,201;0,1947312;0,1278422;
1079,064;0,1928876;0,1262375;
1080,928;0,1910273;0,1246149;
1082,792;0,1892092;0,1230333;
1084,655;0,1874064;0,1214658;
1086,519;0,1856567;0,1199502;
1088,383;0,183955;0,1184813;
1090,246;0,1823545;0,1171125;
1092,110;0,1807202;0,1157087;
1093,974;0,1792588;0,1144766;
1095,837;0,1779751;0,113421;
1097,701;0,1769352;0,112608;
1099,565;0,1761817;0,1120804;
1101,428;0,1756239;0,1117472;
1103,292;0,1752102;0,1115572;
1105,156;0,1748242;0,1113935;
1107,019;0,1744092;0,1111998;
1108,883;0,1739361;0,1109469;
1110,747;0,1733176;0,1105475;
1112,610;0,1727873;0,1102351;
1114,474;0,1722346;0,1098993;
1116,338;0,1715754;0,1094559;
1118,201;0,1708102;0,1089054;
1120,065;0,1699057;0,1082145;
1121,929;0,1688707;0,1073921;
1123,792;0,1678039;0,1065368;
1125,656;0,1667257;0,1056691;
1127,520;0,1656751;0,1048279;
1129,383;0,1646006;0,1039618;
1131,247;0,1634476;0,1030161;
1133,111;0,1622488;0,1020237;
1134,974;0,1611488;0,101129;
1136,838;0,1599134;0,1000979;
1138,702;0,1584758;0,09886359;
1140,565;0,1568382;0,09742833;
1142,429;0,1549445;0,09573592;
1144,293;0,1527363;0,09372813;
1146,156;0,1504412;0,09163234;
1148,020;0,1481043;0,08949381;
1149,884;0,1460327;0,08761969;
1151,747;0,1442442;0,08602761;
1153,611;0,1425648;0,08454379;
1155,475;0,1408882;0,08306179;
1157,338;0,1391619;0,08152914;
1159,202;0,137468;0,08002785;
1161,066;0,135987;0,07873867;
1162,929;0,1348521;0,07779468;
1164,793;0,134081;0,07721351;
1166,657;0,1334592;0,07678068;
1168,520;0,1328455;0,07635512;
1170,384;0,1321668;0,0758637;
1172,248;0,1313555;0,07523873;
1174,111;0,1304532;0,07452182;
1175,975;0,1296525;0,07390574;
1177,839;0,1290928;0,07352968;
1179,702;0,1288182;0,07343791;
1181,566;0,1287434;0,07354508;
1183,430;0,1289356;0,07391843;
1185,293;0,1293692;0,07453225;
1187,157;0,1299701;0,07531258;
1189,021;0,1307408;0,07626183;
1190,884;0,1316665;0,07736522;
1192,748;0,1325605;0,07843611;
1194,612;0,1333935;0,07944513;
1196,475;0,1342017;0,08042864;
1198,339;0,1350346;0,08143593;
1200,203;0,1358378;0,08241277;
1202,066;0,1366332;0,08338097;
1203,930;0,1374656;0,08438535;
1205,794;0,1383914;0,08548228;
1207,657;0,139356;0,08661738;
1209,521;0,1403878;0,08781876;
1211,385;0,1416183;0,08921812;
1213,248;0,1429106;0,09067846;
1215,112;0,1440644;0,09199955;
1216,976;0,1452011;0,09330281;
1218,839;0,1463746;0,09464206;
1220,703;0,1474035;0,09583593;
1222,567;0,1482555;0,09685221;
1224,430;0,1491317;0,09789184;
1226,294;0,1499982;0,09892118;
1228,158;0,150875;0,09995998;
1230,021;0,1517937;0,10104;
1231,885;0,1528253;0,102232;
1233,749;0,1538584;0,103425;
1235,612;0,1548108;0,1045364;
1237,476;0,1557667;0,1056508;
1239,340;0,156792;0,1068338;
1241,203;0,1577716;0,1079703;
1243,067;0,1585404;0,1088953;
1244,931;0,1591589;0,1096694;
1246,795;0,1599313;0,1105966;
1248,658;0,1608331;0,1116526;
1250,522;0,1617309;0,1127038;
1252,386;0,1626271;0,1137529;
1254,249;0,1636523;0,1149302;
1256,113;0,1647394;0,1161687;
1257,977;0,1657773;0,1173573;
1259,840;0,1668723;0,1186024;
1261,704;0,1680088;0,1198883;
1263,568;0,1690882;0,1211165;
1265,431;0,1702295;0,1224058;
1267,295;0,171504;0,1238278;
1269,159;0,1730539;0,1255245;
1271,022;0,1747816;0,1273984;
1272,886;0,1765276;0,1292899;
1274,750;0,1783953;0,1313025;
1276,613;0,1804711;0,1335225;
1278,477;0,1827375;0,1359325;
1280,341;0,1852743;0,1386123;
1282,204;0,1878562;0,1413366;
1284,068;0,1905323;0,1441545;
1285,932;0,1933544;0,1471177;
1287,795;0,1962672;0,150171;
1289,659;0,1991625;0,1532062;
1291,523;0,2019977;0,1561807;
1293,386;0,2047009;0,1590226;
1295,250;0,2073751;0,1618348;
1297,114;0,2099217;0,164519;
1298,977;0,212322;0,1670562;
1300,841;0,214519;0,1693896;
1302,705;0,2165916;0,1715978;
1304,568;0,2186653;0,1738067;
1306,432;0,2207024;0,1759784;
1308,296;0,2227893;0,1781993;
1310,159;0,2251365;0,18068;
1312,023;0,2272522;0,1829285;
1313,887;0,2284038;0,1842125;
1315,750;0,228899;0,1848394;
1317,614;0,2300257;0,1860972;
1319,478;0,2318382;0,1880404;
1321,341;0,234021;0,1903532;
1323,205;0,2364896;0,1929514;
1325,069;0,2389263;0,195517;
1326,932;0,2413115;0,1980307;
1328,796;0,2443076;0,2011547;
1330,660;0,2480546;0,2050291;
1332,523;0,2520433;0,2091446;
1334,387;0,2560683;0,2132959;
1336,251;0,2605255;0,2178788;
1338,114;0,2653148;0,2227934;
1339,978;0,2697125;0,2273158;
1341,842;0,273166;0,2308935;
1343,705;0,2767105;0,2345617;
1345,569;0,280518;0,2384924;
1347,433;0,2843079;0,2424049;
1349,296;0,2877453;0,2459644;
1351,160;0,2905441;0,248885;
1353,024;0,2926116;0,2510735;
1354,887;0,293862;0,2524446;
1356,751;0,2939944;0,2526971;
1358,615;0,2937589;0,2525813;
1360,478;0,2936814;0,252623;
1362,342;0,2931479;0,2522082;
1364,206;0,2912356;0,2504141;
1366,069;0,2892195;0,2485156;
1367,933;0,2875838;0,2469971;
1369,797;0,2863146;0,2458447;
1371,660;0,286113;0,2457593;
1373,524;0,2867152;0,2464774;
1375,388;0,2866983;0,2465758;
1377,251;0,2869787;0,2469711;
1379,115;0,2878558;0,2479626;
1380,979;0,2892096;0,2494303;
1382,842;0,2907878;0,251122;
1384,706;0,2931325;0,2535797;
1386,570;0,2961435;0,2567033;
1388,433;0,2983321;0,2590039;
1390,297;0,3006656;0,261449;
1392,161;0,3047612;0,2656559;
1394,024;0,3094269;0,2704323;
1395,888;0,3129026;0,2740184;
1397,752;0,315989;0,2772146;
1399,615;0,3182357;0,2795707;
1401,479;0,3199502;0,2813942;
1403,343;0,3225834;0,2841361;
1405,206;0,3243688;0,2860296;
1407,070;0,3249785;0,2867469;
1408,934;0,3248694;0,2867451;
1410,797;0,3232392;0,2852218;
1412,661;0,3195572;0,2816462;
1414,525;0,3151896;0,2773846;
1416,388;0,3119381;0,2742387;
1418,252;0,3098263;0,2722321;
1420,116;0,3058033;0,2683139;
1421,979;0,3030048;0,2656197;
1423,843;0,3011774;0,2638963;
1425,707;0,2985953;0,2614177;
1427,570;0,296635;0,2595605;
1429,434;0,2940934;0,2571217;
1431,298;0,2899767;0,2531073;
1433,161;0,2868174;0,2500499;
1435,025;0,2855953;0,2489293;
1436,889;0,281512;0,2449472;
