;Jun21_TPC_0-1-0_HMW;Jun21_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,2181176;0,01791296;
652,284;0,2172476;0,01821302;
654,148;0,2166089;0,0187343;
656,011;0,2160584;0,01933401;
657,875;0,2153467;0,01976275;
659,739;0,2148079;0,02035462;
661,602;0,2146323;0,02130029;
663,466;0,213605;0,02138479;
665,330;0,2112996;0,02018185;
667,193;0,2125407;0,02251614;
669,057;0,2146766;0,0257361;
670,921;0,2128614;0,02499602;
672,784;0,2115864;0,02478713;
674,648;0,2103263;0,02458443;
676,512;0,2089963;0,02430302;
678,375;0,2072955;0,02364216;
680,239;0,2055225;0,02290063;
682,103;0,2036773;0,02207847;
683,966;0,2023035;0,02171925;
685,830;0,200738;0,02116018;
687,694;0,1993819;0,02080228;
689,557;0,1980626;0,02047316;
691,421;0,1970868;0,02047948;
693,285;0,1961865;0,02055338;
695,149;0,1956446;0,02097787;
697,012;0,1951625;0,02145442;
698,876;0,1945111;0,0217541;
700,740;0,19365;0,02183643;
702,603;0,1926986;0,02182095;
704,467;0,1912688;0,02131959;
706,331;0,189982;0,02095402;
708,194;0,188613;0,02049894;
710,058;0,1871825;0,01997508;
711,922;0,1857838;0,01947599;
713,785;0,1846529;0,01923766;
715,649;0,1835231;0,01899356;
717,513;0,1825863;0,01893539;
719,376;0,1818121;0,01903315;
721,240;0,1808731;0,01895931;
723,104;0,1794976;0,0184422;
724,967;0,1782016;0,01799808;
726,831;0,1767196;0,01736139;
728,695;0,1752441;0,01672474;
730,558;0,1737451;0,0160581;
732,422;0,1721131;0,01525223;
734,286;0,1704242;0,01438306;
736,149;0,1690382;0,0138107;
738,013;0,1676959;0,01327579;
739,877;0,1665881;0,01296935;
741,740;0,1655022;0,01267872;
743,604;0,1645274;0,01249318;
745,468;0,1635577;0,01230688;
747,331;0,1626599;0,01218671;
749,195;0,1616687;0,0119672;
751,059;0,1607266;0,0117912;
752,922;0,1598392;0,01166409;
754,786;0,159027;0,01160656;
756,650;0,1580954;0,01142417;
758,513;0,1571996;0,01127198;
760,377;0,156315;0,01112549;
762,241;0,1554822;0,01102548;
764,104;0,1545239;0,01079461;
765,968;0,1536975;0,0106903;
767,832;0,1528591;0,01056876;
769,695;0,1519977;0,01041897;
771,559;0,1511864;0,01031414;
773,423;0,1504935;0,01032272;
775,286;0,1496192;0,01014469;
777,150;0,1487771;0,009993951;
779,014;0,1479762;0,009879412;
780,877;0,1472401;0,009824819;
782,741;0,1465781;0,009839399;
784,605;0,1458757;0,009808835;
786,468;0,1447167;0,009316839;
788,332;0,1435097;0,008772149;
790,196;0,142377;0,008297104;
792,059;0,1412984;0,007871502;
793,923;0,1402841;0,007505621;
795,787;0,1395735;0,007438864;
797,650;0,1388883;0,007392924;
799,514;0,1384025;0,007542067;
801,378;0,1382177;0,007987638;
803,241;0,1379275;0,008323519;
805,105;0,1375207;0,008538483;
806,969;0,1373985;0,009033677;
808,832;0,1370695;0,009317798;
810,696;0,1364244;0,00928165;
812,560;0,1355463;0,009008274;
814,423;0,1343805;0,008443053;
816,287;0,1329296;0,007588735;
818,151;0,1315594;0,00681088;
820,014;0,1304149;0,006254753;
821,878;0,1295968;0,006021086;
823,742;0,1289559;0,005960628;
825,605;0,1285243;0,006105523;
827,469;0,1282592;0,006412961;
829,333;0,1280693;0,006791881;
831,196;0,1280134;0,007300856;
833,060;0,1283944;0,008243009;
834,924;0,1288818;0,00928776;
836,787;0,1291768;0,01013648;
838,651;0,1292476;0,01075728;
840,515;0,1291373;0,01119325;
842,378;0,1287635;0,01136215;
844,242;0,1282594;0,01139717;
846,106;0,1276542;0,01132757;
847,969;0,1270399;0,01124526;
849,833;0,126424;0,01115796;
851,697;0,1258387;0,01109769;
853,560;0,1251058;0,01088643;
855,424;0,124246;0,01054484;
857,288;0,1233834;0,01019709;
859,151;0,1227161;0,01004127;
861,015;0,1219391;0,009772524;
862,879;0,1210754;0,009413657;
864,742;0,1200688;0,008908735;
866,606;0,1187838;0,008122117;
868,470;0,117272;0,007105545;
870,333;0,1157873;0,006112857;
872,197;0,1142605;0,005074926;
874,061;0,1128881;0,004188226;
875,924;0,1117987;0,00358148;
877,788;0,1110713;0,003333676;
879,652;0,1105189;0,003257788;
881,515;0,1103388;0,00355124;
883,379;0,1105265;0,004209415;
885,243;0,1108851;0,005035527;
887,106;0,111377;0,005992044;
888,970;0,1121069;0,007183648;
890,834;0,1129444;0,008479923;
892,697;0,1137304;0,009721879;
894,561;0,1145825;0,01102708;
896,425;0,1157715;0,0126663;
898,288;0,1171177;0,01446001;
900,152;0,1186704;0,01645735;
902,016;0,1204108;0,01863963;
903,879;0,1223145;0,02098256;
905,743;0,1244166;0,02352115;
907,607;0,1266614;0,02619972;
909,470;0,1286868;0,02865626;
911,334;0,1303203;0,03071827;
913,198;0,1316066;0,03243045;
915,061;0,1326945;0,03394157;
916,925;0,1335727;0,03524054;
918,789;0,1343745;0,03646043;
920,652;0,1349955;0,037497;
922,516;0,1354337;0,03834837;
924,380;0,1354946;0,03881981;
926,243;0,1351449;0,03887821;
928,107;0,1343914;0,03853039;
929,971;0,1334348;0,03797701;
931,834;0,1324505;0,03739346;
933,698;0,1315612;0,03690265;
935,562;0,130948;0,03668541;
937,425;0,1308416;0,03697269;
939,289;0,1312602;0,03778266;
941,153;0,1322635;0,03917491;
943,016;0,1337143;0,0410124;
944,880;0,1354868;0,04316932;
946,744;0,1373395;0,04540421;
948,607;0,1393306;0,04777521;
950,471;0,1415974;0,05041969;
952,335;0,144119;0,05331667;
954,198;0,1468096;0,05638054;
956,062;0,1497141;0,05965614;
957,926;0,152698;0,06300891;
959,789;0,1557948;0,06647245;
961,653;0,1589127;0,069955;
963,517;0,161995;0,07339982;
965,380;0,1650884;0,07685363;
967,244;0,1683023;0,08042587;
969,108;0,1714254;0,08390521;
970,972;0,1741905;0,08702456;
972,835;0,1764557;0,08964198;
974,699;0,1782503;0,09178671;
976,563;0,1794993;0,09338392;
978,426;0,1803403;0,09457106;
980,290;0,1810451;0,09562002;
982,154;0,1817913;0,0967085;
984,017;0,1825784;0,0978359;
985,881;0,1835847;0,09918062;
987,745;0,184939;0,1008713;
989,608;0,1866143;0,1028812;
991,472;0,188488;0,1050876;
993,336;0,1904823;0,1074127;
995,199;0,192283;0,1095424;
997,063;0,1939046;0,1114911;
998,927;0,1954618;0,1133735;
1000,790;0,1970424;0,1152776;
1002,654;0,1986773;0,1172342;
1004,518;0,2007315;0,1196083;
1006,381;0,2034736;0,1226684;
1008,245;0,2069226;0,1264338;
1010,109;0,2109764;0,1308022;
1011,972;0,2158232;0,1359618;
1013,836;0,2212986;0,1417483;
1015,700;0,2271258;0,1478849;
1017,563;0,2330672;0,1541341;
1019,427;0,2390346;0,1604075;
1021,291;0,2449542;0,1666315;
1023,154;0,250664;0,172644;
1025,018;0,2557708;0,1780518;
1026,882;0,2603717;0,1829521;
1028,745;0,2644884;0,1873666;
1030,609;0,2680433;0,1912176;
1032,473;0,2708555;0,1943245;
1034,336;0,2730152;0,1967772;
1036,200;0,2745634;0,1986167;
1038,064;0,2753024;0,1996456;
1039,927;0,2751499;0,1997813;
1041,791;0,2742357;0,1991538;
1043,655;0,2724584;0,1976617;
1045,518;0,2701251;0,1956122;
1047,382;0,2673696;0,1931388;
1049,246;0,2642581;0,1903079;
1051,109;0,2609039;0,1872329;
1052,973;0,2574749;0,1840816;
1054,837;0,2538022;0,1806851;
1056,700;0,2498289;0,1769865;
1058,564;0,245614;0,1730449;
1060,428;0,2412524;0,1689551;
1062,291;0,2368437;0,1648169;
