;Apr29_TPC_06-04-0_HMW;Apr29_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1315061;0,008775271;
652,284;0,1307455;0,008614435;
654,148;0,1300272;0,008490739;
656,011;0,1295029;0,00855604;
657,875;0,128851;0,008488767;
659,739;0,1280447;0,008262133;
661,602;0,1275419;0,008334106;
663,466;0,1268637;0,008225765;
665,330;0,125556;0,0074832;
667,193;0,125655;0,008142705;
669,057;0,1264665;0,009509928;
670,921;0,1250393;0,008633757;
672,784;0,1242528;0,008393853;
674,648;0,1236909;0,00837391;
676,512;0,1232145;0,00843511;
678,375;0,1226769;0,008430582;
680,239;0,1222857;0,008568178;
682,103;0,1216605;0,008467395;
683,966;0,1210528;0,00837978;
685,830;0,120449;0,008291889;
687,694;0,1200591;0,008413636;
689,557;0,11961;0,008472193;
691,421;0,1191874;0,008553022;
693,285;0,1186677;0,008532723;
695,149;0,1182765;0,008636949;
697,012;0,1177822;0,008634095;
698,876;0,1171989;0,008538296;
700,740;0,1164732;0,008296206;
702,603;0,1158981;0,008200865;
704,467;0,1151265;0,007905213;
706,331;0,1143303;0,007581217;
708,194;0,113641;0,007360441;
710,058;0,1129881;0,007172372;
711,922;0,1122017;0,006847075;
713,785;0,1116352;0,006738114;
715,649;0,1110403;0,006597206;
717,513;0,110423;0,00643038;
719,376;0,109883;0,006337287;
721,240;0,1093883;0,006286071;
723,104;0,1087968;0,006134714;
724,967;0,1081021;0,005876659;
726,831;0,1074421;0,005649973;
728,695;0,1070989;0,005736816;
730,558;0,1065499;0,00561454;
732,422;0,1059441;0,00543218;
734,286;0,1055072;0,005415468;
736,149;0,1050942;0,005419529;
738,013;0,104639;0,005378235;
739,877;0,1042578;0,005407852;
741,740;0,1038495;0,005407166;
743,604;0,1035825;0,005544835;
745,468;0,1032698;0,005633759;
747,331;0,1029822;0,005744679;
749,195;0,1026357;0,005793815;
751,059;0,102292;0,005842814;
752,922;0,1020288;0,005969391;
754,786;0,1018114;0,006138854;
756,650;0,1014877;0,006199142;
758,513;0,1012401;0,006332757;
760,377;0,1010471;0,006518133;
762,241;0,1007924;0,006639146;
764,104;0,1004841;0,006703661;
765,968;0,1003136;0,006903312;
767,832;0,1000522;0,007009433;
769,695;0,09967423;0,006996259;
771,559;0,09928053;0,006964722;
773,423;0,09897812;0,007021862;
775,286;0,0986995;0,007100201;
777,150;0,09843556;0,007190662;
779,014;0,09816233;0,007269286;
780,877;0,09801896;0,007475251;
782,741;0,09783628;0,007639421;
784,605;0,09752472;0,007672242;
786,468;0,09714867;0,007638118;
