;Mar31_TPC_06-04-0_HMW;Mar31_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1226084;0,002742123;
652,284;0,1219557;0,00271984;
654,148;0,1212963;0,002685358;
656,011;0,1205983;0,002607015;
657,875;0,119965;0,002588058;
659,739;0,1193081;0,002540322;
661,602;0,1186592;0,002495453;
663,466;0,1180539;0,002489153;
665,330;0,1165441;0,001573298;
667,193;0,1162743;0,001892416;
669,057;0,117453;0,003655214;
670,921;0,1163408;0,003122138;
672,784;0,1156214;0,002977177;
674,648;0,1147324;0,002657717;
676,512;0,1143298;0,002820081;
678,375;0,1139537;0,003004282;
680,239;0,1134609;0,003067129;
682,103;0,1127657;0,00292305;
683,966;0,1123109;0,003014895;
685,830;0,1117975;0,003043632;
687,694;0,1115098;0,003293782;
689,557;0,1110718;0,00338916;
691,421;0,1105983;0,003444739;
693,285;0,1100688;0,003440102;
695,149;0,1096623;0,003554226;
697,012;0,109216;0,003624391;
698,876;0,1088895;0,003810282;
700,740;0,1083283;0,003757355;
702,603;0,1077999;0,003733173;
704,467;0,1071467;0,00358016;
706,331;0,1064965;0,003426249;
708,194;0,1057665;0,003188619;
710,058;0,1050273;0,002937865;
711,922;0,1044873;0,002882578;
713,785;0,1039543;0,002830402;
715,649;0,1033892;0,002742414;
717,513;0,1029359;0,00276253;
719,376;0,1024829;0,002779218;
721,240;0,102197;0,00295936;
723,104;0,101676;0,002900837;
724,967;0,101132;0,00281576;
726,831;0,1004985;0,00263769;
728,695;0,09993266;0,002523772;
730,558;0,09949583;0,002535397;
732,422;0,09897144;0,002456048;
734,286;0,09850276;0,002429019;
736,149;0,09810917;0,002473724;
738,013;0,09778703;0,002586569;
739,877;0,09752891;0,002760156;
741,740;0,09712785;0,002787542;
743,604;0,09689885;0,002983781;
745,468;0,09670246;0,003209442;
747,331;0,09643711;0,003362989;
749,195;0,09605267;0,00339432;
751,059;0,09582851;0,003582842;
752,922;0,09571684;0,003880795;
754,786;0,09562338;0,004193918;
756,650;0,09536093;0,004335067;
758,513;0,09517688;0,004551637;
760,377;0,09498267;0,004755097;
762,241;0,09480245;0,004969646;
764,104;0,09464586;0,005204932;
765,968;0,09450374;0,005451838;
767,832;0,09430229;0,005636575;
769,695;0,09420086;0,005918534;
771,559;0,09404761;0,006145904;
773,423;0,09387456;0,006350724;
775,286;0,09369991;0,006551213;
777,150;0,09375105;0,006974806;
779,014;0,09385426;0,007447796;
780,877;0,09381043;0,007771101;
782,741;0,09346613;0,007791322;
784,605;0,09321617;0,007903285;
786,468;0,09301398;0,008060443;
788,332;0,09270106;0,008104335;
790,196;0,09230184;0,008059399;
792,059;0,09199754;0,00810688;
793,923;0,09174733;0,00820599;
795,787;0,0914833;0,00828882;
797,650;0,0910561;0,008206052;
799,514;0,09055061;0,008042589;
801,378;0,08998355;0,007815167;
803,241;0,0896161;0,007785007;
805,105;0,08924027;0,007744121;
806,969;0,08889974;0,007736209;
808,832;0,08848251;0,00764931;
810,696;0,08796256;0,007457412;
812,560;0,08742847;0,007249122;
814,423;0,08692477;0,007068981;
