;Apr28_TPC_02-04-04_LMW;Apr28_TPC_02-04-04_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,05255275;-0,001077624;
652,284;0,05195036;-0,001450838;
654,148;0,0514792;-0,001694777;
656,011;0,05131604;-0,00163265;
657,875;0,05114784;-0,001577475;
659,739;0,05100832;-0,001495505;
661,602;0,05087925;-0,001404967;
663,466;0,05070973;-0,001356718;
665,330;0,0502698;-0,001580704;
667,193;0,05060944;-0,00102693;
669,057;0,05169852;0,0002744915;
670,921;0,05144582;0,0002323754;
672,784;0,05149865;0,0004940342;
674,648;0,05167851;0,0008810042;
676,512;0,05199002;0,00139791;
678,375;0,05235224;0,001963832;
680,239;0,05272685;0,002540469;
682,103;0,05274445;0,002758451;
683,966;0,0528157;0,003028447;
685,830;0,05296233;0,003372203;
687,694;0,05311797;0,00372336;
689,557;0,05323615;0,004035479;
691,421;0,05346561;0,004457323;
693,285;0,0536064;0,004788935;
695,149;0,0536665;0,005038325;
697,012;0,05368293;0,005242537;
698,876;0,05364475;0,005390626;
700,740;0,05353024;0,005460916;
702,603;0,05333242;0,005446414;
704,467;0,05285152;0,005147383;
706,331;0,05221244;0,004688737;
708,194;0,05149652;0,00415183;
710,058;0,05074508;0,003577991;
711,922;0,0500744;0,003083524;
713,785;0,04963642;0,002820372;
715,649;0,04898984;0,002347257;
717,513;0,04811582;0,001645358;
719,376;0,04745671;0,001157027;
721,240;0,04706044;0,0009302141;
723,104;0,04671499;0,0007529107;
724,967;0,04646122;0,0006659988;
726,831;0,04607515;0,0004455036;
728,695;0,04578254;0,0003171949;
730,558;0,04551812;0,0002158273;
732,422;0,04531702;0,0001765321;
734,286;0,04513412;0,0001542127;
736,149;0,04496505;0,000144491;
738,013;0,04476981;0,0001074088;
739,877;0,04462033;0,0001148854;
741,740;0,04440115;5,147915E-5;
743,604;0,04419773;2,667853E-6;
745,468;0,04412227;8,065474E-5;
747,331;0,04405826;0,0001689493;
749,195;0,04393064;0,0001924958;
751,059;0,0438722;0,0002840935;
752,922;0,04383609;0,0003969192;
754,786;0,0437971;0,000505756;
756,650;0,0437159;0,0005712957;
758,513;0,04365373;0,0006547773;
760,377;0,04353889;0,0006845236;
762,241;0,04362078;0,0009099411;
764,104;0,04372004;0,001151683;
765,968;0,04362167;0,00119475;
767,832;0,04349373;0,001207222;
769,695;0,04351232;0,001365205;
771,559;0,04344527;0,001436544;
773,423;0,04324053;0,001369187;
775,286;0,04315208;0,001417129;
777,150;0,04320778;0,001608253;
779,014;0,04318229;0,0017172;
780,877;0,04313625;0,00180465;
782,741;0,04312991;0,001930839;
784,605;0,04326557;0,002198089;
786,468;0,04328603;0,002349193;
788,332;0,04321845;0,002411345;
790,196;0,04315393;0,002475632;
792,059;0,0430934;0,002543005;
793,923;0,04300031;0,002576923;
795,787;0,042907;0,002609719;
797,650;0,04275094;0,002578895;
799,514;0,04267141;0,002623716;
801,378;0,04273675;0,002812542;
803,241;0,04293286;0,003131283;
805,105;0,04321176;0,003531966;
806,969;0,04367483;0,004115962;
808,832;0,04435522;0,004916463;
810,696;0,04514009;0,005820597;
812,560;0,04569235;0,006491317;
814,423;0,04674063;0,007657239;
816,287;0,04907948;0,01011292;
818,151;0,05392831;0,01507779;
820,014;0,0634092;0,02467393;
821,878;0,07971226;0,04109145;
823,742;0,09581714;0,05731003;
825,605;0,09460096;0,05620677;
827,469;0,07695051;0,03866847;
829,333;0,062249;0,02407836;
831,196;0,05679537;0,01873539;
833,060;0,0549209;0,01697083;
834,924;0,05264294;0,01480205;
836,787;0,05032971;0,01259727;
838,651;0,04863673;0,01101202;
840,515;0,04758255;0,01006485;
842,378;0,04688817;0,009476769;
844,242;0,04640063;0,009094832;
846,106;0,04627828;0,009077375;
847,969;0,04669752;0,009600827;
849,833;0,04751342;0,01052025;
851,697;0,04873694;0,01184663;
853,560;0,05035007;0,01356193;
855,424;0,05222501;0,01553838;
857,288;0,0540605;0,01747471;
859,151;0,0555796;0,019094;
861,015;0,05666808;0,02028202;
862,879;0,05740118;0,02111402;
864,742;0,05766442;0,02147551;
866,606;0,0573942;0,02130291;
868,470;0,05642123;0,02042694;
870,333;0,05491398;0,01901606;
872,197;0,05324444;0,01744228;
874,061;0,05160931;0,0159023;
875,924;0,04988496;0,01427249;
877,788;0,04800052;0,01248198;
879,652;0,04594403;0,01051883;
881,515;0,04418225;0,008849792;
883,379;0,04274737;0,007507073;
885,243;0,04146479;0,006316075;
887,106;0,04040463;0,005346928;
888,970;0,03959652;0,00462925;
890,834;0,03892583;0,004048421;
892,697;0,03842344;0,00363533;
894,561;0,03814144;0,003442083;
896,425;0,03802436;0,003413196;
898,288;0,03791147;0,003387949;
900,152;0,03784222;0,0034058;
902,016;0,03785906;0,0035092;
903,879;0,03790077;0,003636934;
905,743;0,0378718;0,003693457;
907,607;0,0379308;0,003837426;
909,470;0,03801912;0,004010194;
911,334;0,03816254;0,004237545;
913,198;0,03823592;0,004394347;
915,061;0,03827117;0,004512506;
916,925;0,03838993;0,004713662;
918,789;0,03846554;0,004871181;
920,652;0,03852118;0,005008226;
922,516;0,03865283;0,005220784;
924,380;0,03876885;0,005417228;
926,243;0,03890601;0,005634324;
928,107;0,0390507;0,005858475;
929,971;0,03919475;0,006081507;
931,834;0,03934408;0,006309336;
933,698;0,03948893;0,006532225;
935,562;0,03965326;0,006774123;
937,425;0,03982694;0,007024914;
939,289;0,03992961;0,007204235;
941,153;0,04011558;0,007466399;
943,016;0,04027765;0,007704214;
944,880;0,04043932;0,007941185;
946,744;0,04063528;0,008211991;
948,607;0,04081319;0,008464318;
950,471;0,04103973;0,008764831;
952,335;0,04133895;0,009137593;
954,198;0,04163253;0,009504281;
956,062;0,04186601;0,009810439;
957,926;0,04217276;0,01018945;
959,789;0,04257982;0,01066835;
961,653;0,04295707;0,01111702;
963,517;0,04341745;0,0116484;
965,380;0,0439101;0,01221166;
967,244;0,04437612;0,01274786;
969,108;0,04484041;0,01328193;
970,972;0,0454023;0,01391321;
972,835;0,04604506;0,01462496;
974,699;0,0467793;0,01542778;
976,563;0,04754397;0,01626064;
978,426;0,04843556;0,01722005;
980,290;0,04948478;0,01833669;
982,154;0,05071815;0,01963709;
984,017;0,05175069;0,02073629;
985,881;0,05260213;0,02165401;
987,745;0,05359156;0,02270935;
989,608;0,05444149;0,02362481;
991,472;0,05453776;0,02378624;
993,336;0,05396562;0,02327889;
995,199;0,05339562;0,02277333;
997,063;0,05312545;0,02256724;
998,927;0,05297329;0,02247878;
1000,790;0,05290181;0,02247067;
1002,654;0,05301075;0,02264261;
1004,518;0,05323979;0,0229343;
1006,381;0,05351661;0,02327344;
1008,245;0,05382606;0,02364484;
1010,109;0,05417159;0,02405199;
1011,972;0,05457882;0,0245205;
1013,836;0,05501626;0,02501888;
1015,700;0,05549488;0,0255581;
1017,563;0,05596415;0,02608765;
1019,427;0,05649774;0,02668119;
1021,291;0,05711047;0,02735354;
1023,154;0,05779096;0,02809331;
1025,018;0,05840659;0,02876791;
1026,882;0,05910544;0,0295254;
1028,745;0,05991417;0,03039246;
1030,609;0,06069668;0,03123298;
1032,473;0,0614087;0,03200271;
1034,336;0,06209061;0,032742;
1036,200;0,06283006;0,03353852;
1038,064;0,06374587;0,0345111;
1039,927;0,06472781;0,03554951;
1041,791;0,0658162;0,03669406;
1043,655;0,06698565;0,03791938;
1045,518;0,06823486;0,03922414;
1047,382;0,06958922;0,04063377;
1049,246;0,07093331;0,04203284;
1051,109;0,07180532;0,04295953;
1052,973;0,07254555;0,04375415;
1054,837;0,07354659;0,04480929;
1056,700;0,0746494;0,04596592;
1058,564;0,07590263;0,04727267;
1060,428;0,07730422;0,04872752;
1062,291;0,07880352;0,05027979;
1064,155;0,08051529;0,05204425;
1066,019;0,08237051;0,05395188;
1067,882;0,08440716;0,05604067;
1069,746;0,08668065;0,05836603;
1071,610;0,08919058;0,06092756;
1073,473;0,09174767;0,06353599;
1075,337;0,09434997;0,06618935;
1077,201;0,09707379;0,06896397;
1079,064;0,09998543;0,07192614;
1080,928;0,1029697;0,07496068;
1082,792;0,1061296;0,07817064;
1084,655;0,1093803;0,08147103;
1086,519;0,1127571;0,08489735;
1088,383;0,1162177;0,0884072;
1090,246;0,1196918;0,0919303;
1092,110;0,1230119;0,09529915;
1093,974;0,1261642;0,09849998;
1095,837;0,128954;0,101338;
1097,701;0,131435;0,1038671;
1099,565;0,1336565;0,1061363;
1101,428;0,1358187;0,1083459;
1103,292;0,1378546;0,1104292;
1105,156;0,1397439;0,1123655;
1107,019;0,1411553;0,1138237;
1108,883;0,1420815;0,1147965;
1110,747;0,1425299;0,1152912;
1112,610;0,1425596;0,115367;
1114,474;0,1421937;0,115047;
1116,338;0,1415114;0,1144102;
1118,201;0,1407218;0,1136661;
1120,065;0,1398853;0,1128748;
1121,929;0,1388688;0,1119033;
1123,792;0,1376555;0,1107346;
1125,656;0,1361107;0,1092343;
1127,520;0,1342159;0,1073838;
1129,383;0,1320169;0,105229;
1131,247;0,1296464;0,1029023;
1133,111;0,1272045;0,100504;
1134,974;0,1249022;0,0982452;
1136,838;0,1226582;0,09604434;
1138,702;0,1204765;0,0939057;
1140,565;0,1183558;0,09182777;
1142,429;0,1163459;0,08986047;
1144,293;0,1143767;0,08793359;
1146,156;0,1124792;0,08607823;
1148,020;0,1106481;0,08428911;
1149,884;0,1088489;0,08253165;
1151,747;0,106988;0,08071235;
1153,611;0,1051023;0,07886805;
1155,475;0,1030821;0,07688893;
1157,338;0,1010214;0,07486924;
