;Jun17_TPC_0-0-1_HMW;Jun17_TPC_0-0-1_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1711902;0,01192825;
652,284;0,1703856;0,01196272;
654,148;0,169802;0,0122111;
656,011;0,1691027;0,01233664;
657,875;0,1682265;0,01227836;
659,739;0,1670577;0,01192054;
661,602;0,1662759;0,01194277;
663,466;0,1652959;0,01176012;
665,330;0,1632584;0,01051333;
667,193;0,1625076;0,01054657;
669,057;0,1633531;0,01216951;
670,921;0,1614288;0,01101621;
672,784;0,1600629;0,01041499;
674,648;0,1589123;0,01002267;
676,512;0,1579529;0,00981537;
678,375;0,1570773;0,009685581;
680,239;0,1562316;0,009579573;
682,103;0,1552065;0,009288197;
683,966;0,1544181;0,009227439;
685,830;0,1534345;0,008965576;
687,694;0,1526909;0,008937965;
689,557;0,1520445;0,009001654;
691,421;0,1515357;0,009197222;
693,285;0,150984;0,009344172;
695,149;0,1506012;0,009654419;
697,012;0,1500228;0,009763616;
698,876;0,1495182;0,009941025;
700,740;0,1489546;0,01005404;
702,603;0,1483959;0,0101666;
704,467;0,1475515;0,009988109;
706,331;0,1468049;0,009902101;
708,194;0,1459646;0,009717215;
710,058;0,1451797;0,009582626;
711,922;0,1441506;0,009198747;
713,785;0,1432311;0,008919381;
715,649;0,1422329;0,008556305;
717,513;0,1412641;0,008217722;
719,376;0,1402237;0,00780254;
721,240;0,1390501;0,007249405;
723,104;0,1375508;0,006365799;
724,967;0,1362384;0,005664342;
726,831;0,1349912;0,005023367;
728,695;0,1339706;0,004604364;
730,558;0,1329308;0,004161579;
732,422;0,1318688;0,003692029;
734,286;0,1308855;0,003296616;
736,149;0,1300023;0,00299695;
738,013;0,1291324;0,002706135;
739,877;0,1285724;0,002720747;
741,740;0,1280087;0,002727483;
743,604;0,1274398;0,002724583;
745,468;0,1269534;0,002800025;
747,331;0,1266462;0,003050534;
749,195;0,1263407;0,003298469;
751,059;0,126178;0,003685205;
752,922;0,1260586;0,004111067;
754,786;0,1260851;0,004678785;
756,650;0,1260375;0,005168534;
758,513;0,125965;0,005629269;
