;May31_TPC_06-04-0_LMW;May31_TPC_06-04-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1006315;0,01507957;
652,284;0,1058344;0,02092879;
654,148;0,1150503;0,03078356;
656,011;0,1234556;0,03982062;
657,875;0,1228375;0,03982706;
659,739;0,1125516;0,03015868;
661,602;0,1000945;0,01831216;
663,466;0,09056793;0,009389323;
665,330;0,08470565;0,004124042;
667,193;0,08216546;0,002174192;
669,057;0,08160769;0,002200209;
670,921;0,08025321;0,001423042;
672,784;0,07933423;0,001074995;
674,648;0,07860642;0,0009118387;
676,512;0,07827294;0,001136799;
678,375;0,07811582;0,001531993;
680,239;0,07801931;0,001981767;
682,103;0,0776223;0,002125094;
683,966;0,07753925;0,002576497;
685,830;0,07763887;0,003204779;
687,694;0,07772328;0,003812146;
689,557;0,07771479;0,004320963;
691,421;0,07771422;0,004832139;
693,285;0,07758209;0,005206267;
695,149;0,07744437;0,005569401;
697,012;0,07718217;0,005802701;
698,876;0,07709737;0,006208136;
700,740;0,07713921;0,006735006;
702,603;0,07706927;0,007144959;
704,467;0,07688644;0,007436967;
706,331;0,07689162;0,007911977;
708,194;0,0767708;0,008256057;
710,058;0,07666167;0,008606966;
711,922;0,07675698;0,009157508;
713,785;0,07718373;0,01003475;
715,649;0,07722407;0,01052089;
717,513;0,07661335;0,01035136;
719,376;0,07625839;0,01043302;
721,240;0,07633438;0,01094114;
723,104;0,07638088;0,01141532;
724,967;0,07658205;0,0120398;
726,831;0,07686586;0,01274257;
728,695;0,07727169;0,01356309;
730,558;0,07764005;0,01434192;
732,422;0,0780539;0,01516207;
734,286;0,07854111;0,01605148;
736,149;0,07894011;0,0168486;
738,013;0,07928125;0,01758385;
739,877;0,0798871;0,01857986;
741,740;0,08048201;0,01956101;
743,604;0,08095906;0,02042043;
745,468;0,08126522;0,02110516;
747,331;0,08165752;0,02187226;
749,195;0,08184415;0,02242997;
751,059;0,08168827;0,0226415;
752,922;0,08118596;0,02250297;
754,786;0,08059257;0,02226977;
756,650;0,07973512;0,02176897;
758,513;0,07860762;0,02099463;
760,377;0,07714938;0,01988608;
762,241;0,07558708;0,01867008;
764,104;0,07412376;0,01754967;
765,968;0,07266972;0,01643523;
767,832;0,07124592;0,01534773;
769,695;0,07002512;0,01445998;
771,559;0,0687236;0,0134883;
773,423;0,06770163;0,01279301;
775,286;0,06687199;0,0122869;
777,150;0,06612845;0,0118638;
779,014;0,06534605;0,01139878;
780,877;0,06468188;0,01104898;
782,741;0,06398254;0,01066101;
784,605;0,06342272;0,01040961;
786,468;0,06305182;0,01034422;
788,332;0,06275812;0,01035314;
790,196;0,06237782;0,01027261;
792,059;0,06191998;0,01011173;
793,923;0,06147064;0,009956572;
795,787;0,06121312;0,009990482;
797,650;0,06106511;0,01013118;
799,514;0,06093912;0,01029121;
801,378;0,06098453;0,01062;
803,241;0,06123682;0,01115303;
805,105;0,06156978;0,01176415;
806,969;0,06254473;0,01301469;
808,832;0,06447143;0,01521444;
810,696;0,0663075;0,01732107;
812,560;0,06742738;0,01870902;
814,423;0,07057898;0,02212624;
816,287;0,07753715;0,02934763;
818,151;0,09028356;0,04235484;
820,014;0,1120898;0,06441952;
821,878;0,1411859;0,09377178;
823,742;0,1566333;0,1094729;
825,605;0,1362366;0,0893277;
827,469;0,09760546;0,05094586;
829,333;0,07054223;0,02412964;
831,196;0,0594385;0,01327071;
833,060;0,05566875;0,00974358;
834,924;0,05394977;0,008265062;
836,787;0,05303149;0,007585095;
838,651;0,05248363;0,00727344;
840,515;0,05227311;0,007297035;
842,378;0,05215748;0,007413456;
844,242;0,05210618;0,007592154;
846,106;0,05216907;0,007883034;
847,969;0,05227806;0,008218004;
849,833;0,05236782;0,008531759;
851,697;0,05234464;0,00873063;
853,560;0,05222645;0,008832555;
855,424;0,05213196;0,008956259;
857,288;0,05193116;0,008971763;
859,151;0,05163088;0,008885915;
861,015;0,05131632;0,008783942;
862,879;0,05109457;0,008772931;
864,742;0,0508504;0,008737695;
866,606;0,05067638;0,00877082;
868,470;0,05039433;0,008694136;
870,333;0,0499008;0,008404221;
872,197;0,04947785;0,008183139;
874,061;0,04924217;0,008147621;
