;Apr14_TPC_02-02-06_HMW;Apr14_TPC_02-02-06_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1567465;0,00830918;
652,284;0,1558521;0,008215683;
654,148;0,1551827;0,008340291;
656,011;0,1544649;0,008409775;
657,875;0,1535943;0,00831975;
659,739;0,152821;0,008320419;
661,602;0,1522335;0,008500363;
663,466;0,1513914;0,008419185;
665,330;0,1496102;0,007392667;
667,193;0,1494685;0,007999187;
669,057;0,1501049;0,009377666;
670,921;0,1485357;0,008544323;
672,784;0,147629;0,008367349;
674,648;0,1467592;0,008221273;
676,512;0,1462004;0,008380238;
678,375;0,1453032;0,008194892;
680,239;0,1445949;0,008192557;
682,103;0,1437583;0,008056245;
683,966;0,1431324;0,008124783;
685,830;0,1423502;0,008031444;
687,694;0,1417396;0,008104089;
689,557;0,141106;0,008148247;
691,421;0,140491;0,008205485;
693,285;0,1397375;0,008118853;
695,149;0,1391888;0,00823161;
697,012;0,1385239;0,008222855;
698,876;0,1378137;0,008163675;
700,740;0,1369032;0,007898894;
702,603;0,1359459;0,007582165;
704,467;0,1349042;0,007176084;
706,331;0,1340495;0,006951903;
708,194;0,1330796;0,00660751;
710,058;0,1321218;0,006270364;
711,922;0,1311841;0,005948449;
713,785;0,130469;0,005844278;
715,649;0,1296793;0,0056607;
717,513;0,1289759;0,00555881;
719,376;0,1283485;0,0055282;
721,240;0,1276878;0,005459672;
723,104;0,126638;0,004997432;
724,967;0,1258365;0,004779048;
726,831;0,1250828;0,004603878;
728,695;0,1243491;0,004444337;
730,558;0,1237154;0,004380445;
732,422;0,1230654;0,004295918;
734,286;0,1223291;0,004120686;
736,149;0,1217831;0,004131534;
738,013;0,1211044;0,004005582;
739,877;0,1205745;0,004024157;
741,740;0,1200354;0,004029399;
743,604;0,119539;0,004073291;
745,468;0,1189734;0,004043866;
747,331;0,1183351;0,003937752;
749,195;0,1176895;0,003820455;
751,059;0,1172324;0,003887642;
752,922;0,1166332;0,003808906;
754,786;0,1160713;0,00376357;
756,650;0,1155872;0,003792223;
758,513;0,1151033;0,003817358;
760,377;0,1145774;0,003796671;
762,241;0,1140818;0,0038027;
764,104;0,1135524;0,003771137;
765,968;0,1131406;0,003853592;
767,832;0,1126061;0,003809815;
769,695;0,1121723;0,003863113;
771,559;0,111677;0,003851362;
773,423;0,1113047;0,003959122;
775,286;0,1109646;0,004095693;
777,150;0,1107774;0,004381646;
779,014;0,1104775;0,004551633;
780,877;0,1100049;0,004545493;
782,741;0,1095803;0,004584021;
784,605;0,1091599;0,004623369;
786,468;0,1085456;0,004465671;
788,332;0,1080805;0,004453892;
790,196;0,107674;0,004497493;
792,059;0,1071817;0,004452225;
793,923;0,1066196;0,00433392;
795,787;0,1061039;0,004258872;
797,650;0,1055465;0,00413911;
799,514;0,1050357;0,004062878;
801,378;0,1044969;0,003955545;
803,241;0,1041547;0,004041951;
805,105;0,1037655;0,004078258;
806,969;0,1032791;0,004014444;
808,832;0,1027733;0,003928402;
810,696;0,1022166;0,003788453;
812,560;0,1016226;0,003608374;
814,423;0,10113;0,003526907;
816,287;0,1004785;0,003283716;
818,151;0,09984124;0,00305191;
820,014;0,09929537;0,00290877;
821,878;0,09882224;0,002835643;
823,742;0,09821158;0,002622267;
825,605;0,09754572;0,002351009;
827,469;0,09698743;0,002184655;
829,333;0,09652851;0,002115025;
831,196;0,09605773;0,002030933;
833,060;0,09565877;0,002016059;
834,924;0,09521913;0,001957938;
836,787;0,09485423;0,001972014;
838,651;0,09442563;0,001919862;
840,515;0,09388302;0,0017512;
842,378;0,09332151;0,001561156;
844,242;0,0927543;0,001362958;
846,106;0,0921039;0,001079137;
847,969;0,09158472;0,0009241172;
849,833;0,09118738;0,000888545;
851,697;0,09091688;0,0009774381;
853,560;0,09060915;0,001026758;
855,424;0,09032749;0,001099807;
857,288;0,09002726;0,001151981;
859,151;0,08988834;0,001363172;
861,015;0,0897548;0,001577474;
862,879;0,08968226;0,00185052;
864,742;0,08953162;0,002043239;
866,606;0,08934953;0,002202291;
868,470;0,08933193;0,002523642;
870,333;0,08943871;0,002967201;
872,197;0,08943578;0,003298891;
