;May04_TPC_06-04-0_HMW;May04_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
991,472;0,1218037;0,06810316;
993,336;0,1229641;0,06946274;
995,199;0,124226;0,07092227;
997,063;0,1255951;0,07248757;
998,927;0,1268658;0,07395296;
1000,790;0,1281686;0,07544909;
1002,654;0,1295234;0,07699567;
1004,518;0,1308828;0,07854551;
1006,381;0,1322658;0,08011756;
1008,245;0,1336654;0,08170479;
1010,109;0,1350454;0,083271;
1011,972;0,1364079;0,08481837;
1013,836;0,1376527;0,08624661;
1015,700;0,1389087;0,0876848;
1017,563;0,140007;0,08896391;
1019,427;0,1409494;0,09008579;
1021,291;0,1417966;0,09111122;
1023,154;0,1425722;0,09206379;
1025,018;0,1432158;0,09288296;
1026,882;0,1437016;0,09354311;
1028,745;0,1440733;0,09408792;
1030,609;0,144403;0,09458942;
1032,473;0,1446144;0,09497142;
1034,336;0,1447439;0,09527031;
1036,200;0,1447213;0,09541587;
1038,064;0,1446391;0,0955006;
1039,927;0,1444292;0,09545648;
1041,791;0,1441062;0,09529807;
1043,655;0,1436624;0,09501759;
1045,518;0,1430523;0,09456981;
1047,382;0,142287;0,09396557;
1049,246;0,14155;0,09338849;
1051,109;0,1407273;0,09272458;
1052,973;0,1398732;0,09202822;
1054,837;0,1389763;0,09128789;
1056,700;0,1379001;0,0903671;
1058,564;0,136784;0,08940542;
1060,428;0,1357573;0,08853204;
1062,291;0,1346801;0,08760704;
1064,155;0,133644;0,08672205;
1066,019;0,132639;0,08586715;
1067,882;0,1315965;0,08497375;
1069,746;0,1305207;0,08404593;
1071,610;0,129546;0,08321826;
1073,473;0,1285208;0,08233895;
1075,337;0,1273826;0,08134573;
1077,201;0,1263535;0,08046059;
1079,064;0,1253512;0,07960131;
1080,928;0,1242551;0,07864721;
1082,792;0,1231529;0,07768601;
1084,655;0,122107;0,07678014;
1086,519;0,121053;0,07586522;
1088,383;0,1199209;0,07487119;
1090,246;0,1188278;0,07391525;
1092,110;0,1177958;0,07301958;
1093,974;0,1167267;0,07208573;
1095,837;0,1155514;0,07104483;
1097,701;0,1144109;0,07003791;
1099,565;0,1132546;0,06901419;
1101,428;0,1121613;0,06805256;
1103,292;0,1110942;0,06711627;
1105,156;0,1101246;0,06627663;
1107,019;0,1092551;0,06553611;
1108,883;0,1084171;0,06482628;
1110,747;0,1076059;0,06414247;
1112,610;0,1069216;0,06358458;
1114,474;0,1063388;0,06312746;
1116,338;0,1057955;0,06270896;
1118,201;0,1052667;0,06230415;
1120,065;0,1047141;0,06187463;
1121,929;0,1040754;0,06135828;
1123,792;0,1034132;0,06081758;
1125,656;0,1027071;0,06023217;
1127,520;0,1020082;0,05965322;
1129,383;0,1012558;0,05901991;
1131,247;0,1004549;0,05833731;
1133,111;0,09963968;0,0576397;
1134,974;0,098845;0,05696181;
1136,838;0,09811639;0,05634922;
1138,702;0,09739373;0,05574182;
1140,565;0,09671791;0,05518052;
1142,429;0,09613505;0,05471142;
1144,293;0,09550455;0,05419396;
1146,156;0,09498183;0,05378352;
1148,020;0,09445122;0,05336448;
1149,884;0,09388308;0,05290719;
1151,747;0,09335782;0,05249206;
1153,611;0,09285875;0,05210241;
1155,475;0,09240286;0,05175523;
1157,338;0,0919991;0,05145949;
1159,202;0,09156004;0,05112774;
1161,066;0,0911491;0,05082343;
1162,929;0,09081349;0,05059377;
1164,793;0,09052365;0,0504092;
1166,657;0,09020724;0,0501974;
1168,520;0,08992662;0,05002071;
1170,384;0,08970618;0,04990354;
1172,248;0,08946743;0,04976741;
1174,111;0,0891741;0,04957605;
1175,975;0,08896503;0,04946831;
1177,839;0,088828;0,04943195;
1179,702;0,08875895;0,04946295;
1181,566;0,08876689;0,04957031;
1183,430;0,08882663;0,04972884;
1185,293;0,08898154;0,04998192;
1187,157;0,08925668;0,05035462;
1189,021;0,0895531;0,05074798;
1190,884;0,08990386;0,05119508;
1192,748;0,09032773;0,05171469;
1194,612;0,09077738;0,05225948;
1196,475;0,09121816;0,05279481;
1198,339;0,09170952;0,05338014;
1200,203;0,09221482;0,05397881;
1202,066;0,09269763;0,05455442;
1203,930;0,09314587;0,05509489;
1205,794;0,09354089;0,05558157;
1207,657;0,09394216;0,05607393;
1209,521;0,09441219;0,05663449;
1211,385;0,0948554;0,05716768;
1213,248;0,09522108;0,05762279;
1215,112;0,09556343;0,05805401;
1216,976;0,0959624;0,05854132;
1218,839;0,09628155;0,05894826;
1220,703;0,0965376;0,05929157;
1222,567;0,096763;0,05960369;
1224,430;0,09698302;0,05990991;
1226,294;0,09715572;0,06016829;
1228,158;0,09726096;0,06035868;
1230,021;0,09735149;0,06053386;
1231,885;0,09751837;0,06078487;
1233,749;0,09763665;0,06098677;
1235,612;0,09766554;0,06109878;
1237,476;0,09771513;0,06123099;
1239,340;0,09776226;0,06136024;
1241,203;0,09783237;0,06151198;
1243,067;0,0979143;0,06167506;
1244,931;0,09801438;0,06185579;
1246,795;0,09817208;0,06209367;
1248,658;0,0983383;0,06233959;
1250,522;0,09850761;0,06258812;
1252,386;0,0986283;0,06278756;
1254,249;0,09883332;0,06307087;
1256,113;0,09906549;0,06338086;
1257,977;0,09927197;0,06366469;
1259,840;0,09951817;0,0639878;
1261,704;0,09976212;0,0643082;
1263,568;0,09990913;0,0645312;
1265,431;0,1000157;0,06471331;
1267,295;0,1000904;0,06486311;
1269,159;0,1002395;0,06508691;
1271,022;0,1004089;0,06533052;
1272,886;0,1005762;0,06557161;
1274,750;0,1007072;0,06577598;
1276,613;0,100917;0,06605872;
1278,477;0,1011917;0,06640592;
1280,341;0,1014917;0,06677807;
1282,204;0,1018042;0,06716221;
1284,068;0,102164;0,06759325;
1285,932;0,102655;0,06815513;
1287,795;0,1032047;0,06877525;
1289,659;0,1036898;0,06933038;
1291,523;0,1042238;0,06993405;
1293,386;0,104821;0,07060046;
