;May27_TPC_0-08-02_LMW;May27_TPC_0-08-02_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1003707;0,03162382;
652,284;0,1002359;0,03181791;
654,148;0,1004202;0,03232835;
656,011;0,1007943;0,0330258;
657,875;0,1006369;0,03318898;
659,739;0,09963554;0,03250546;
661,602;0,09926007;0,03244517;
663,466;0,1000579;0,0335555;
665,330;0,1003155;0,03412305;
667,193;0,1018584;0,03597323;
669,057;0,1042452;0,03866487;
670,921;0,1035259;0,03824774;
672,784;0,1031673;0,03818883;
674,648;0,1026548;0,0379736;
676,512;0,1019494;0,037563;
678,375;0,1009717;0,03687766;
680,239;0,1000425;0,03623836;
682,103;0,09910474;0,03558818;
683,966;0,09803936;0,03480803;
685,830;0,09669348;0,03374506;
687,694;0,09545062;0,03278281;
689,557;0,09381252;0,03142305;
691,421;0,09211876;0,03000539;
693,285;0,09090756;0,02906805;
695,149;0,09071365;0,02914582;
697,012;0,09116402;0,02986568;
698,876;0,09150511;0,0304741;
700,740;0,09043388;0,02966809;
702,603;0,08766305;0,02716035;
704,467;0,08344347;0,02320179;
706,331;0,07892437;0,01894165;
708,194;0,07460667;0,01488085;
710,058;0,070688;0,01121708;
711,922;0,06723317;0,008015137;
713,785;0,0643736;0,005406485;
715,649;0,06198303;0,003264873;
717,513;0,06020351;0,001732372;
719,376;0,05905749;0,000831449;
721,240;0,05848801;0,0005051696;
723,104;0,05819322;0,0004517047;
724,967;0,05808287;0,0005808287;
726,831;0,05815136;0,0008869414;
728,695;0,0585389;0,001510288;
730,558;0,05892736;0,002132748;
732,422;0,05936228;0,002799887;
734,286;0,05974923;0,003417292;
736,149;0,06013617;0,004032944;
738,013;0,06058776;0,004711503;
739,877;0,06107269;0,0054217;
741,740;0,06157508;0,006147653;
743,604;0,06211034;0,006904801;
745,468;0,0625951;0,007609793;
747,331;0,06309603;0,008329296;
749,195;0,06356654;0,009016765;
751,059;0,063988;0,009653561;
752,922;0,06429807;0,01017737;
754,786;0,06466387;0,01075533;
756,650;0,06497003;0,01127209;
758,513;0,06523468;0,01174578;
760,377;0,06557897;0,01229758;
762,241;0,06591825;0,01284285;
764,104;0,06622854;0,01335762;
765,968;0,06657127;0,01390333;
767,832;0,06680741;0,01434099;
769,695;0,06698791;0,01472154;
771,559;0,06720393;0,01513617;
773,423;0,06755027;0,01567968;
775,286;0,06784374;0,0161689;
777,150;0,06811007;0,01662958;
779,014;0,0683825;0,01709496;
780,877;0,06854739;0,01745143;
782,741;0,06853071;0,01762495;
784,605;0,06847044;0,01775353;
786,468;0,06843975;0,01791035;
788,332;0,06849199;0,01814877;
790,196;0,06841006;0,01825171;
792,059;0,06835503;0,01838025;
793,923;0,0683189;0,01852638;
795,787;0,06827765;0,01866613;
797,650;0,0682893;0,0188575;
799,514;0,06845823;0,0192049;
801,378;0,06855571;0,01947961;
803,241;0,06886789;0,01996778;
805,105;0,0692438;0,02051847;
806,969;0,06962492;0,02107315;
808,832;0,0700486;0,0216692;
810,696;0,07072021;0,02251198;
812,560;0,07145631;0,02341809;
814,423;0,07215792;0,02428853;
816,287;0,07292996;0,02522825;
818,151;0,0739918;0,02645663;
820,014;0,07530179;0,02793202;
821,878;0,07719181;0,02998632;
823,742;0,07992903;0,0328867;
825,605;0,08381598;0,03693571;
827,469;0,08887099;0,04215169;
829,333;0,09470735;0,04814794;
831,196;0,09976324;0,05336263;
833,060;0,1021505;0,05590766;
834,924;0,1011708;0,05508459;
836,787;0,09788673;0,0519562;
838,651;0,0937159;0,04793998;
840,515;0,08971391;0,04409157;
842,378;0,08614838;0,0406786;
844,242;0,08294233;0,0376241;
846,106;0,079858;0,03469032;
847,969;0,07747025;0,03245213;
849,833;0,07583916;0,03096962;
851,697;0,07408711;0,02936517;
853,560;0,07162081;0,02704551;
855,424;0,06954682;0,0251172;
857,288;0,0686925;0,02440762;
859,151;0,0687957;0,0246546;
861,015;0,06934089;0,02534265;
862,879;0,06999743;0,02614113;
864,742;0,07056105;0,02684576;
866,606;0,07099125;0,02741607;
868,470;0,07116013;0,02772415;
870,333;0,07126259;0,02796493;
872,197;0,07130161;0,02814138;
874,061;0,07137249;0,0283488;
875,924;0,07127714;0,02838913;
877,788;0,07078918;0,02803599;
879,652;0,0697034;0,02708417;
881,515;0,06810175;0,02561563;
883,379;0,06644895;0,0240951;
885,243;0,06542679;0,02320437;
887,106;0,06479891;0,0227071;
888,970;0,06423271;0,02227068;
890,834;0,06377153;0,02193848;
892,697;0,06358558;0,02188069;
894,561;0,06355426;0,02197673;
896,425;0,06363347;0,02218252;
898,288;0,06380943;0,02248426;
900,152;0,06409994;0,02289977;
902,016;0,06433794;0,02326201;
903,879;0,06455155;0,02359908;
905,743;0,06482688;0,02399711;
907,607;0,06522697;0,02451915;
909,470;0,06548456;0,02489794;
911,334;0,06575112;0,02528495;
913,198;0,06608327;0,02573682;
915,061;0,06638303;0,02615557;
916,925;0,06660763;0,02649843;
918,789;0,06700388;0,02701222;
920,652;0,06739007;0,02751525;
922,516;0,06766258;0,02790388;
924,380;0,06797169;0,02832841;
926,243;0,06838208;0,02885352;
928,107;0,06878095;0,02936643;
929,971;0,06920696;0,02990579;
931,834;0,06953568;0,03034718;
933,698;0,06982926;0,03075276;
935,562;0,07019564;0,03123047;
937,425;0,07065212;0,03179761;
939,289;0,07120415;0,03245965;
941,153;0,0717132;0,03307806;
943,016;0,07201618;0,03348974;
944,880;0,07240528;0,0339869;
946,744;0,07286448;0,03455353;
948,607;0,07337473;0,03517057;
950,471;0,07383489;0,0357369;
952,335;0,07434982;0,03635737;
954,198;0,07483097;0,03694345;
956,062;0,07531298;0,03752976;
957,926;0,07584602;0,03816651;
959,789;0,07644094;0,03886453;
961,653;0,07706732;0,03959342;
963,517;0,0778002;0,0404282;
965,380;0,07848643;0,04121575;
967,244;0,0790854;0,04191545;
969,108;0,07967402;0,04260423;
970,972;0,08037468;0,04340446;
972,835;0,0811173;0,04424608;
974,699;0,08180128;0,0450285;
976,563;0,08245794;0,04578304;
978,426;0,08323848;0,04666089;
980,290;0,08407508;0,04759426;
982,154;0,08500377;0,04861916;
984,017;0,08602326;0,04973431;
985,881;0,08731178;0,05111795;
987,745;0,08883551;0,05273626;
989,608;0,09007709;0,0540719;
991,472;0,09011243;0,05420076;
993,336;0,08929451;0,05347583;
995,199;0,08871956;0,05299336;
997,063;0,08870586;0,05307161;
998,927;0,08891155;0,05336874;
1000,790;0,08922057;0,05376869;
1002,654;0,08954546;0,054184;
1004,518;0,08982535;0,05455381;
1006,381;0,09001509;0,05483297;
1008,245;0,09023869;0,0551455;
1010,109;0,09049077;0,05548601;
1011,972;0,09068811;0,05577131;
1013,836;0,09077714;0,05594779;
1015,700;0,09077402;0,05603166;
1017,563;0,09063535;0,05597949;
1019,427;0,0905941;0,05602427;
1021,291;0,09066886;0,05618459;
1023,154;0,09075058;0,0563514;
1025,018;0,09079035;0,0564758;
1026,882;0,09093141;0,05670103;
1028,745;0,09119677;0,05705009;
1030,609;0,09159157;0,05752815;
1032,473;0,0918989;0,05791829;
1034,336;0,09181625;0,057918;
1036,200;0,09167982;0,05786348;
1038,064;0,09208716;0,0583523;
1039,927;0,09279184;0,05913801;
1041,791;0,09368359;0,06011037;
1043,655;0,0947401;0,06124705;
1045,518;0,09566712;0,06225381;
1047,382;0,09590911;0,06257512;
1049,246;0,09555357;0,06229847;
1051,109;0,094974;0,06179738;
1052,973;0,09441066;0,0613121;
1054,837;0,09393981;0,0609189;
1056,700;0,09366792;0,06072424;
1058,564;0,09335879;0,06049194;
1060,428;0,09309248;0,06030205;
1062,291;0,09300673;0,06029233;
1064,155;0,09318714;0,06054836;
1066,019;0,09342285;0,06085929;
1067,882;0,09362227;0,06113354;
1069,746;0,09386713;0,06145285;
1071,610;0,09426334;0,06192311;
1073,473;0,09472028;0,06245372;
1075,337;0,09521136;0,06301808;
1077,201;0,09568764;0,06356727;
1079,064;0,0962895;0,06424166;
1080,928;0,09689075;0,06491507;
1082,792;0,09762231;0,06571841;
1084,655;0,09850305;0,06667055;
1086,519;0,09960094;0,06783949;
1088,383;0,1008898;0,06919905;
1090,246;0,1023562;0,07073571;
1092,110;0,1039521;0,07240163;
1093,974;0,1055257;0,07404483;
1095,837;0,1067063;0,0752947;
1097,701;0,1074733;0,07613059;
1099,565;0,107828;0,07655376;
1101,428;0,107811;0,07660498;
1103,292;0,1074959;0,07635771;
1105,156;0,1070991;0,07602841;
1107,019;0,1066254;0,07562187;
1108,883;0,1060705;0,07513381;
1110,747;0,1053041;0,0744339;
1112,610;0,1044805;0,07367647;
1114,474;0,1036406;0,07290245;
1116,338;0,1026937;0,07202101;
1118,201;0,1015479;0,0709404;
1120,065;0,1004441;0,06990143;
1121,929;0,09916136;0,06868321;
1123,792;0,0977533;0,06733935;
1125,656;0,09639589;0,06604583;
1127,520;0,09507955;0,06479306;
1129,383;0,09367372;0,06345047;
1131,247;0,09231455;0,06215425;
1133,111;0,09095991;0,06086223;
1134,974;0,08963569;0,05960033;
1136,838;0,08839253;0,05841919;
1138,702;0,08720198;0,05729036;
1140,565;0,08603625;0,05618603;
1142,429;0,08501069;0,05522158;
1144,293;0,08402909;0,05430079;
1146,156;0,08317471;0,05350692;
1148,020;0,082475;0,05286743;
1149,884;0,08191746;0,05236981;
1151,747;0,0813973;0,05190929;
1153,611;0,08099925;0,05157059;
1155,475;0,08071432;0,05134472;
1157,338;0,08057839;0,05126757;
1159,202;0,08054513;0,0512928;
1161,066;0,08070491;0,05151078;
1162,929;0,08104353;0,05190734;
1164,793;0,08158204;0,0525035;
1166,657;0,08226689;0,05324572;
1168,520;0,0829599;0,05399584;
1170,384;0,08354078;0,05463355;
1172,248;0,08402892;0,05517825;
1174,111;0,0842865;0,05549212;
1175,975;0,08422342;0,05548506;
1177,839;0,08386436;0,05518175;
1179,702;0,08335806;0,05473095;
1181,566;0,08260821;0,05403633;
1183,430;0,08167999;0,05316308;
1185,293;0,08074096;0,05227876;
1187,157;0,07984534;0,05143759;
1189,021;0,07890167;0,05054812;
1190,884;0,07807932;0,04977971;
1192,748;0,077284;0,04903808;
1194,612;0,07650108;0,0483086;
1196,475;0,0757431;0,04760382;
1198,339;0,07513444;0,04704809;
1200,203;0,07457829;0,04654464;
1202,066;0,07406702;0,04608582;
1203,930;0,07353732;0,04560832;
1205,794;0,07304241;0,04516538;
1207,657;0,07263435;0,04480904;
1209,521;0,07239092;0,0446171;
1211,385;0,07221821;0,04449564;
1213,248;0,07205968;0,04438812;
1215,112;0,07194594;0,04432517;
1216,976;0,07191556;0,04434533;
1218,839;0,07188908;0,04436916;
1220,703;0,07185101;0,04438118;
1222,567;0,07178424;0,04436425;
1224,430;0,07181147;0,04444112;
1226,294;0,0718356;0,04451465;
1228,158;0,07186625;0,04459446;
1230,021;0,0719631;0,04474027;
1231,885;0,07211383;0,04493973;
1233,749;0,07229;0,04516441;
1235,612;0,0724847;0,0454074;
1237,476;0,07267746;0,04564824;
1239,340;0,07291847;0,0459371;
1241,203;0,07309554;0,0461618;
1243,067;0,0732684;0,04638209;
1244,931;0,07350647;0,04666738;
1246,795;0,07374647;0,04695438;
1248,658;0,07397894;0,04723364;
1250,522;0,07428653;0,04758782;
1252,386;0,07456823;0,04791589;
1254,249;0,07489325;0,04828708;
1256,113;0,07522276;0,04866255;
1257,977;0,07555454;0,04904008;
1259,840;0,07593245;0,04946355;
1261,704;0,07629911;0,04987557;
1263,568;0,076681;0,05030261;
1265,431;0,0771266;0,05079316;
1267,295;0,07757457;0,05128589;
1269,159;0,07810825;0,05186413;
1271,022;0,07863667;0,05243691;
1272,886;0,07910096;0,05294537;
1274,750;0,07955994;0,05344833;
1276,613;0,08009633;0,05402849;
1278,477;0,08069478;0,05467054;
1280,341;0,08136359;0,05538275;
1282,204;0,08193091;0,05599328;
1284,068;0,08250038;0,05660577;
1285,932;0,08312572;0,05727395;
1287,795;0,0837866;0,05797748;
1289,659;0,08435165;0,05858499;
1291,523;0,08492748;0,05920311;
1293,386;0,08549793;0,05981566;
1295,250;0,08617721;0,06053686;
1297,114;0,08685502;0,06125641;
1298,977;0,08745363;0,06189657;
1300,841;0,08802975;0,06251407;
1302,705;0,08864435;0,06316988;
1304,568;0,08921648;0,06378303;
1306,432;0,08977184;0,06437924;
1308,296;0,09028614;0,06493421;
1310,159;0,09078067;0,06546925;
1312,023;0,09137631;0,06610521;
1313,887;0,09195273;0,06672179;
1315,750;0,09232305;0,0671321;
1317,614;0,09279002;0,06763888;
1319,478;0,09331132;0,06819984;
1321,341;0,0936621;0,0685901;
1323,205;0,09392714;0,06889445;
1325,069;0,09429602;0,06930248;
1326,932;0,09469136;0,06973681;
1328,796;0,09510439;0,07018866;
1330,660;0,09546849;0,07059141;
1332,523;0,09577742;0,07093884;
1334,387;0,09603369;0,07123345;
1336,251;0,09656468;0,07180261;
1338,114;0,09740023;0,07267618;
1339,978;0,09825786;0,07357167;
1341,842;0,09830729;0,07365879;
1343,705;0,09840984;0,07379888;
1345,569;0,09889394;0,07432037;
1347,433;0,09957587;0,07503953;
1349,296;0,1002395;0,07574022;
1351,160;0,1008022;0,07633985;
1353,024;0,1013662;0,07694064;
1354,887;0,1020207;0,07763171;
1356,751;0,1024018;0,07804928;
1358,615;0,1026457;0,07832956;
1360,478;0,1032726;0,07899264;
1362,342;0,1045547;0,08031069;
1364,206;0,1049636;0,08075549;
1366,069;0,1047552;0,08058286;
1367,933;0,1050867;0,08094986;
1369,797;0,1054014;0,08130007;
1371,660;0,1054656;0,08139949;
1373,524;0,106352;0,08232109;
1375,388;0,1068674;0,08287153;
1377,251;0,1065656;0,08260455;
1379,115;0,1063789;0,08245257;
1380,979;0,1062009;0,08230915;
1382,842;0,1059966;0,08213929;
1384,706;0,1057915;0,08196853;
1386,570;0,1064131;0,08262423;
1388,433;0,106575;0,08282023;
1390,297;0,1057148;0,08199385;
1392,161;0,1051262;0,08143899;
1394,024;0,1055528;0,08189928;
1395,888;0,1055762;0,08195614;
1397,752;0,1048588;0,08127204;
1399,615;0,1041381;0,08058461;
1401,479;0,1021684;0,07864803;
1403,343;0,1007107;0,07722328;
1405,206;0,09955644;0,07610181;
1407,070;0,09787015;0,07444821;
1408,934;0,09616741;0,07277803;
1410,797;0,09486745;0,0715105;
1412,661;0,09324809;0,06992345;
1414,525;0,09162367;0,06833121;
1416,388;0,09028515;0,06702474;
1418,252;0,09018966;0,06696117;
1420,116;0,08934058;0,06614389;
1421,979;0,08755604;0,06439102;
1423,843;0,08680391;0,06367044;
1425,707;0,08573418;0,06263213;
1427,570;0,08487813;0,06180739;
1429,434;0,0848005;0,06176094;
1431,298;0,08434904;0,06134054;
1433,161;0,08341167;0,06043411;
1435,025;0,08360654;0,0606598;
1436,889;0,08504946;0,06213341;
1438,752;0,08420487;0,0613194;
1440,616;0,08345701;0,060602;
1442,480;0,08327239;0,06044773;
1444,343;0,08311167;0,06031722;
1446,207;0,08322803;0,06046369;
1448,071;0,08380898;0,06107464;
1449,934;0,08330572;0,06060125;
1451,798;0,08265832;0,05998361;
1453,662;0,08183367;0,0591886;
1455,525;0,08257041;0,05995488;
1457,389;0,08447603;0,06188992;
1459,253;0,08303613;0,06047933;
1461,116;0,08086629;0,05833868;
1462,980;0,08007542;0,05757689;
1464,844;0,08032137;0,05785182;
1466,707;0,07927607;0,05683537;
1468,571;0,07773564;0,0553237;
1470,435;0,07707413;0,05469083;
1472,298;0,07786202;0,05550725;
1474,162;0,07737846;0,05505212;
1476,026;0,07639895;0,05410093;
1477,889;0,07505563;0,05278582;
1479,753;0,07386073;0,05161902;
1481,617;0,07291797;0,05070426;
1483,480;0,07155945;0,04937363;
1485,344;0,07055375;0,04839572;
1487,208;0,07003712;0,04790678;
1489,071;0,06984149;0,04773872;
1490,935;0,06881386;0,04673857;
1492,799;0,06672088;0,04467297;
1494,662;0,0656901;0,04366946;
1496,526;0,06550734;0,04351387;
1498,390;0,06459972;0,04263332;
1500,253;0,0630053;0,04106587;
1502,117;0,06124244;0,03932987;
1503,981;0,06022007;0,03833427;
1505,844;0,06157205;0,03971291;
1507,708;0,06229755;0,04046498;
1509,572;0,06021321;0,03840712;
1511,435;0,05886548;0,03708576;
1513,299;0,05773885;0,03598541;
1515,163;0,05732015;0,03559288;
1517,026;0,05730173;0,03560054;
1518,890;0,05637519;0,03469999;
1520,754;0,05695666;0,03530735;
1522,618;0,05667083;0,03504732;
1524,481;0,05583035;0,03423254;
1526,345;0,0556907;0,03411849;
1528,209;0,05518497;0,03363828;
1530,072;0,05450712;0,03298585;
1531,936;0,05466512;0,03316918;
1533,800;0,05533287;0,03386217;
1535,663;0,05404331;0,03259775;
1537,527;0,05386513;0,03244462;
1539,391;0,05605684;0,03466129;
