;May12_TPC_02-08-0_LMW;May12_TPC_02-08-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,06263141;0,01301649;
652,284;0,06145401;0,01209889;
654,148;0,06155496;0,01245743;
656,011;0,06170479;0,01286265;
657,875;0,06088787;0,01229895;
659,739;0,05920552;0,01086768;
661,602;0,05740106;0,009312185;
663,466;0,05603425;0,008192247;
665,330;0,05491423;0,007317021;
667,193;0,05473889;0,007384426;
669,057;0,05555372;0,008439978;
670,921;0,05485882;0,007983804;
672,784;0,0545224;0,007884113;
674,648;0,05445875;0,008055243;
676,512;0,0544987;0,008328034;
678,375;0,05444891;0,008509168;
680,239;0,05452394;0,008813235;
682,103;0,05444952;0,008965969;
683,966;0,0545535;0,009295245;
685,830;0,05464989;0,009615105;
687,694;0,05472279;0,009909655;
689,557;0,05471468;0,0101214;
691,421;0,05486721;0,01049201;
693,285;0,05485224;0,01069337;
695,149;0,05481089;0,0108666;
697,012;0,05476854;0,01103712;
698,876;0,05458586;0,01106561;
700,740;0,05424805;0,01093728;
702,603;0,05395193;0,01084898;
704,467;0,05363836;0,01074158;
706,331;0,05338539;0,01069316;
708,194;0,05317779;0,01068849;
710,058;0,05300651;0,01071854;
711,922;0,05282139;0,01073318;
713,785;0,05304179;0,01115177;
715,649;0,05295732;0,01126396;
717,513;0,05224449;0,01074624;
719,376;0,05179994;0,01049529;
721,240;0,05162592;0,01051337;
723,104;0,05141871;0,01049679;
724,967;0,05125462;0,01052184;
726,831;0,05107264;0,01052756;
728,695;0,05082085;0,01046204;
730,558;0,05057943;0,01040545;
732,422;0,05046105;0,0104705;
734,286;0,05020835;0,01039983;
736,149;0,04992682;0,01029895;
738,013;0,04972696;0,01027838;
739,877;0,04967979;0,01040913;
741,740;0,04946616;0,0103721;
743,604;0,04926803;0,01034924;
745,468;0,0490879;0,01034306;
747,331;0,04897343;0,01040124;
749,195;0,04888165;0,01048083;
751,059;0,04875462;0,01052389;
752,922;0,04852195;0,01046005;
754,786;0,04825409;0,01035978;
756,650;0,04797603;0,01024806;
758,513;0,0477312;0,01016835;
760,377;0,04739692;0,009997976;
762,241;0,04712858;0,009892345;
764,104;0,04686276;0,009788042;
765,968;0,04667181;0,009757435;
767,832;0,04645541;0,009700213;
769,695;0,04612532;0,009528133;
771,559;0,04582709;0,009386779;
773,423;0,04563471;0,009350143;
775,286;0,04550822;0,009378282;
777,150;0,04538589;0,00940946;
779,014;0,04521162;0,009387597;
780,877;0,04500705;0,009334345;
782,741;0,04488324;0,009360775;
784,605;0,04484948;0,009476192;
786,468;0,04471862;0,009493437;
788,332;0,04463655;0,009558433;
790,196;0,04446186;0,009529765;
792,059;0,04426844;0,009481338;
793,923;0,04408018;0,009437056;
795,787;0,04396822;0,009468062;
797,650;0,04391555;0,009557351;
799,514;0,04400075;0,009783521;
801,378;0,04408132;0,01000409;
803,241;0,0441874;0,01024918;
805,105;0,04449606;0,01069589;
806,969;0,04523024;0,01156717;
808,832;0,0468594;0,01333248;
810,696;0,04834714;0,01495542;
812,560;0,04920308;0,01594564;
814,423;0,05191567;0,0187916;
816,287;0,05780673;0,02481511;
818,151;0,06845097;0,0355909;
820,014;0,08696224;0,05423281;
821,878;0,1124187;0,07981906;
823,742;0,1275819;0,09511108;
825,605;0,1120774;0,07973465;
827,469;0,0797443;0,04752867;
829,333;0,05679124;0,0247019;
831,196;0,04741251;0,01544861;
833,060;0,04421409;0,01237479;
834,924;0,04272395;0,01100842;
836,787;0,0418877;0,01029511;
838,651;0,04138542;0,009914948;
840,515;0,04117326;0,009824097;
842,378;0,04113732;0,009908666;
844,242;0,04137611;0,01026717;
846,106;0,0420366;0,01104658;
847,969;0,04318598;0,01231409;
849,833;0,04463739;0,01388286;
851,697;0,04654272;0,01590478;
853,560;0,04859797;0,01807585;
855,424;0,05059405;0,02018701;
857,288;0,05235069;0,02205796;
859,151;0,0536918;0,02351265;
861,015;0,0544114;0,02434509;
862,879;0,05456114;0,02460695;
864,742;0,05419015;0,02434734;
866,606;0,05337079;0,02363866;
868,470;0,05210573;0,02248355;
870,333;0,05062011;0,02110718;
872,197;0,04894334;0,01953896;
874,061;0,04711538;0,01781886;
875,924;0,04523337;0,01604402;
877,788;0,04334303;0,01426017;
879,652;0,04147439;0,01249734;
881,515;0,03987381;0,01100191;
883,379;0,03843711;0,009669682;
885,243;0,03726063;0,008597024;
887,106;0,03646059;0,007900148;
888,970;0,03582912;0,007371197;
890,834;0,03526371;0,006907653;
892,697;0,03502813;0,006773313;
894,561;0,03492638;0,006772166;
896,425;0,03478711;0,00673287;
898,288;0,03471672;0,00676184;
900,152;0,03471469;0,006858548;
902,016;0,03469752;0,006939503;
903,879;0,03471302;0,007052528;
905,743;0,03471734;0,007153766;
907,607;0,03480481;0,007337567;
909,470;0,03486733;0,007495817;
