;Apr01_TPC_02-0-08_HMW;Apr01_TPC_02-0-08_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1265438;0,007483769;
652,284;0,1258421;0,007393912;
654,148;0,125097;0,007255364;
656,011;0,1244221;0,007182021;
657,875;0,1238347;0,007190917;
659,739;0,1231036;0,007051117;
661,602;0,1223826;0,006916506;
663,466;0,1217255;0,006840797;
665,330;0,1204626;0,006154393;
667,193;0,1207883;0,007051796;
669,057;0,1208503;0,007680748;
670,921;0,1196112;0,007003848;
672,784;0,1186075;0,006557655;
674,648;0,1178395;0,006342613;
676,512;0,1176419;0,006693325;
678,375;0,1171272;0,006722426;
680,239;0,1163894;0,006524027;
682,103;0,1155985;0,006268092;
683,966;0,1151106;0,006310771;
685,830;0,1143388;0,006065299;
687,694;0,1138056;0,006054099;
689,557;0,1135183;0,006284623;
691,421;0,1132005;0,006480356;
693,285;0,1125843;0,006373682;
695,149;0,1119628;0,006257515;
697,012;0,1112579;0,006053936;
698,876;0,1107461;0,006039462;
700,740;0,1101193;0,005906051;
702,603;0,1091901;0,005466201;
704,467;0,1082162;0,004977944;
706,331;0,1073596;0,004602974;
708,194;0,106457;0,004178375;
710,058;0,1057206;0,003916058;
711,922;0,104926;0,003591921;
713,785;0,1041885;0,003321205;
715,649;0,1034131;0,003008931;
717,513;0,1028103;0,00286561;
719,376;0,1022614;0,002772673;
721,240;0,1017539;0,002717629;
723,104;0,1011216;0,002534206;
724,967;0,1003937;0,002251759;
726,831;0,09975907;0,002059213;
728,695;0,09931388;0,002052675;
730,558;0,09860266;0,001776766;
732,422;0,09809812;0,001704214;
734,286;0,09780824;0,001843032;
736,149;0,09730096;0,001761204;
738,013;0,09656169;0,001444164;
739,877;0,09596421;0,001265721;
741,740;0,09555227;0,001269669;
743,604;0,09534823;0,001478396;
745,468;0,09505202;0,001591867;
747,331;0,09465677;0,001603228;
749,195;0,09405822;0,001408255;
751,059;0,09343298;0,001183603;
752,922;0,09302835;0,001176579;
754,786;0,09272286;0,001265756;
756,650;0,09225175;0,001186405;
758,513;0,09185878;0,001182314;
760,377;0,0912991;0,001008649;
762,241;0,09081633;0,0009090629;
764,104;0,090445;0,0009181191;
765,968;0,09007527;0,0009260052;
767,832;0,08978205;0,001007659;
769,695;0,08949341;0,001091167;
771,559;0,08911284;0,001080051;
773,423;0,08879693;0,001130926;
775,286;0,08852251;0,001220654;
777,150;0,08828151;0,001341183;
779,014;0,08801833;0,001436944;
780,877;0,08780729;0,001582275;
782,741;0,08750159;0,001630404;
784,605;0,08712426;0,001604379;
786,468;0,08668372;0,001512654;
788,332;0,08640451;0,001579794;
790,196;0,08608316;0,001602336;
792,059;0,08577455;0,001635204;
793,923;0,08553478;0,001734506;
795,787;0,08527228;0,001808697;
797,650;0,08484682;0,001717565;
799,514;0,08461702;0,001819771;
801,378;0,08453593;0,00206836;
803,241;0,08443137;0,002291198;
805,105;0,0840993;0,002284247;
806,969;0,08364761;0,002155427;
808,832;0,08332921;0,002157675;
810,696;0,08314631;0,002293202;
812,560;0,08283548;0,00229862;
814,423;0,08255025;0,00232747;
816,287;0,08221254;0,002301682;
818,151;0,08182107;0,002220018;
820,014;0,08147572;0,002182356;
821,878;0,08126386;0,002276089;
823,742;0,08099334;0,002309096;
825,605;0,08070721;0,002324442;
827,469;0,080224;0,002140672;
829,333;0,07970647;0,001920561;
831,196;0,07926236;0,00177188;
833,060;0,07897082;0,00177378;
834,924;0,07878241;0,001876845;
836,787;0,07860871;0,001992683;
838,651;0,07828606;0,001957646;
840,515;0,0779245;0,001881778;
842,378;0,07750352;0,001744601;
844,242;0,07698481;0,001507815;
846,106;0,07646689;0,001269961;
847,969;0,0760369;0,001118188;
849,833;0,07568797;0,001045647;
851,697;0,07549765;0,001129908;
853,560;0,07520771;0,001112748;
855,424;0,07495037;0,001126407;
857,288;0,07474394;0,001189215;
859,151;0,07462165;0,001334406;
861,015;0,07448263;0,001461142;
862,879;0,07429844;0,001540976;
864,742;0,07415236;0,001657228;
866,606;0,07411502;0,001880514;
868,470;0,07398965;0,002014101;
870,333;0,07396902;0,002250772;
872,197;0,07402576;0,002563162;
874,061;0,07391326;0,002704672;
875,924;0,07380222;0,002846027;
877,788;0,07383304;0,003127641;
879,652;0,07379776;0,003341559;
881,515;0,07369853;0,003489948;
883,379;0,07364477;0,003682238;
885,243;0,07369529;0,003977265;
887,106;0,07380594;0,004330868;
888,970;0,07395745;0,004723818;
890,834;0,07416764;0,005173924;
892,697;0,07441055;0,005655253;
894,561;0,07459783;0,006079465;
896,425;0,07478865;0,006505742;
898,288;0,07482305;0,006774138;
900,152;0,07497016;0,007153789;
902,016;0,07534453;0,007759256;
903,879;0,07565648;0,008300871;
905,743;0,07586696;0,00873961;
907,607;0,0762083;0,009307799;
909,470;0,07661218;0,009937141;
911,334;0,07698551;0,01053454;
913,198;0,07739781;0,01116955;
915,061;0,0778923;0,01188538;
916,925;0,07830259;0,01251568;
918,789;0,07872815;0,01315989;
920,652;0,07921078;0,01385986;
922,516;0,07973282;0,01459791;
924,380;0,08022081;0,01530062;
926,243;0,08074894;0,01604217;
928,107;0,08141402;0,01691938;
929,971;0,08218123;0,01789745;
931,834;0,08295561;0,01888143;
933,698;0,08369621;0,01983037;
935,562;0,08447313;0,02081438;
937,425;0,08540508;0,0219522;
939,289;0,08633442;0,02308618;
941,153;0,08733948;0,02429466;
943,016;0,08839241;0,02554981;
944,880;0,0894217;0,02678012;
946,744;0,09046556;0,02802383;
948,607;0,09148497;0,0292419;
950,471;0,09245202;0,03040645;
952,335;0,09344972;0,03160048;
954,198;0,09437337;0,03271932;
956,062;0,09537458;0,03391458;
957,926;0,09643107;0,03516398;
959,789;0,09745536;0,03638007;
961,653;0,09871865;0,03783403;
963,517;0,10014;0,03944492;
965,380;0,1014869;0,04098036;
967,244;0,1029238;0,04260461;
969,108;0,1044395;0,04430664;
970,972;0,1059149;0,04596721;
972,835;0,1071723;0,04740881;
974,699;0,1083921;0,04881179;
976,563;0,1096311;0,05023284;
978,426;0,1108429;0,0516257;
980,290;0,1120666;0,05302938;
982,154;0,1134061;0,05454785;
984,017;0,1148188;0,05613851;
985,881;0,1162632;0,05775982;
987,745;0,1177156;0,05938821;
989,608;0,1193049;0,06115247;
991,472;0,1210107;0,06303223;
993,336;0,1227449;0,06493941;
995,199;0,1243866;0,06675316;
997,063;0,1260057;0,06854334;
998,927;0,1276939;0,07040163;
1000,790;0,1294336;0,07231045;
1002,654;0,1311624;0,07420746;
1004,518;0,1329676;0,07617991;
1006,381;0,1347873;0,07816595;
1008,245;0,1366654;0,08020946;
1010,109;0,1384918;0,08220046;
1011,972;0,1402531;0,08412533;
1013,836;0,1419467;0,0859816;
1015,700;0,1435992;0,0877959;
1017,563;0,1450598;0,08941749;
1019,427;0,1462719;0,09078958;
1021,291;0,1473055;0,09198232;
1023,154;0,1483264;0,0931615;
1025,018;0,1492283;0,09422085;
1026,882;0,1500341;0,09518327;
1028,745;0,1507446;0,09604948;
1030,609;0,1513433;0,09680307;
1032,473;0,1516898;0,09730354;
1034,336;0,1518912;0,09765816;
1036,200;0,1520484;0,09796779;
1038,064;0,1520399;0,09811082;
1039,927;0,1517681;0,09798981;
1041,791;0,1513916;0,09776325;
1043,655;0,1508287;0,09734949;
1045,518;0,1501544;0,0968235;
1047,382;0,1494966;0,09631323;
1049,246;0,1487539;0,09571728;
1051,109;0,1479149;0,09502432;
1052,973;0,147049;0,0943036;
1054,837;0,146139;0,09353808;
1056,700;0,1453632;0,09290593;
1058,564;0,1446639;0,09234958;
1060,428;0,1440437;0,09187154;
1062,291;0,1434359;0,09140515;
1064,155;0,1428633;0,09097317;
1066,019;0,1423497;0,09059958;
1067,882;0,1417629;0,09015192;
1069,746;0,1411045;0,089632;
1071,610;0,1403879;0,08905322;
1073,473;0,1395532;0,08835551;
1075,337;0,1385609;0,08749955;
1077,201;0,1373344;0,08640867;
1079,064;0,1359713;0,08518055;
1080,928;0,1344523;0,0837957;
1082,792;0,1327445;0,08222147;
1084,655;0,1309047;0,08051448;
1086,519;0,1290045;0,07874645;
1088,383;0,1269901;0,07686357;
1090,246;0,1249641;0,07496834;
1092,110;0,1230679;0,07320228;
1093,974;0,1212653;0,07152912;
1095,837;0,1194989;0,06989153;
1097,701;0,1178988;0,06841961;
1099,565;0,1164574;0,06710575;
1101,428;0,1151481;0,06592332;
1103,292;0,113991;0,06489247;
1105,156;0,1129025;0,06392947;
1107,019;0,1118734;0,06302536;
1108,883;0,1110969;0,06237316;
1110,747;0,1105269;0,06192683;
1112,610;0,11002;0,06154305;
1114,474;0,1093976;0,06104307;
1116,338;0,1088211;0,06058842;
1118,201;0,1083892;0,06027771;
1120,065;0,1079412;0,05995038;
1121,929;0,1072981;0,05942734;
1123,792;0,1065306;0,05877924;
1125,656;0,1055479;0,05791538;
1127,520;0,1042982;0,05678394;
1129,383;0,1027469;0,05535034;
1131,247;0,1009834;0,05370386;
1133,111;0,09912976;0,05196675;
1134,974;0,09721501;0,05016793;
1136,838;0,09536904;0,04843732;
1138,702;0,09376662;0,0469497;
1140,565;0,09239806;0,04569538;
1142,429;0,09130393;0,04471493;
1144,293;0,09039914;0,04392326;
1146,156;0,08958319;0,04321988;
1148,020;0,08883957;0,04258827;
1149,884;0,08815079;0,04201098;
1151,747;0,0874937;0,04146482;
1153,611;0,08689495;0,04097648;
1155,475;0,08621062;0,04040201;
1157,338;0,08539578;0,03969651;
1159,202;0,08463578;0,03904531;
1161,066;0,0838805;0,03839832;
1162,929;0,08304925;0,03767484;
1164,793;0,08225691;0,03698974;
1166,657;0,08151509;0,03635466;
1168,520;0,08094562;0,03589141;
1170,384;0,08042628;0,0354778;
1172,248;0,07985983;0,03501655;
1174,111;0,0792623;0,03452374;
1175,975;0,07858511;0,03395076;
1177,839;0,07790949;0,03337886;
1179,702;0,07724418;0,03281678;
1181,566;0,07649331;0,03216866;
1183,430;0,07581725;0,03159485;
1185,293;0,07532908;0,03120846;
1187,157;0,07501287;0,03099355;
1189,021;0,07489896;0,03098045;
1190,884;0,07498776;0,0311696;
1192,748;0,07524068;0,0315224;
1194,612;0,07568785;0,03206898;
1196,475;0,07626544;0,03274551;
1198,339;0,07685467;0,03343323;
1200,203;0,07747165;0,03414824;
1202,066;0,07813011;0,03490426;
1203,930;0,07869897;0,03557025;
1205,794;0,07916754;0,03613548;
1207,657;0,07961867;0,03668283;
1209,521;0,08015947;0,03731941;
1211,385;0,08077582;0,03803109;
1213,248;0,08137168;0,03872185;
1215,112;0,08198883;0,03943346;
1216,976;0,08273521;0,04027387;
1218,839;0,08352368;0,04115593;
1220,703;0,08420595;0,04193136;
1222,567;0,08479771;0,04261587;
1224,430;0,0854161;0,04332657;
1226,294;0,08599513;0,0439975;
1228,158;0,08650166;0,04459551;
1230,021;0,08690994;0,04509485;
1231,885;0,08721819;0,04549375;
1233,749;0,08746481;0,04583061;
1235,612;0,08765087;0,0461065;
1237,476;0,08765876;0,04620383;
1239,340;0,08757423;0,04620832;
1241,203;0,08747769;0,0462004;
1243,067;0,08730059;0,04611152;
1244,931;0,08695341;0,04585217;
1246,795;0,08650709;0,04549328;
1248,658;0,08608857;0,04516181;
1250,522;0,08569671;0,0448566;
1252,386;0,08519869;0,04444485;
1254,249;0,08467946;0,04401151;
1256,113;0,08416197;0,04357952;
1257,977;0,08369272;0,04319539;
1259,840;0,0832556;0,04284301;
1261,704;0,08274257;0,04241435;
1263,568;0,08209466;0,04185044;
1265,431;0,08136228;0,04120168;
1267,295;0,08067303;0,0405957;
1269,159;0,08000773;0,04001328;
1271,022;0,07927949;0,03936757;
1272,886;0,07857657;0,03874681;
1274,750;0,07797836;0,03823041;
1276,613;0,07744623;0,03777972;
