;Apr21_TPC_0-08-02_HMW;Apr21_TPC_0-08-02_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1333152;-0,004452045;
652,284;0,1325666;-0,004477051;
654,148;0,1318912;-0,004435022;
656,011;0,1312321;-0,004382857;
657,875;0,1307733;-0,004136398;
659,739;0,1303725;-0,00383793;
661,602;0,1299399;-0,003577137;
663,466;0,1291907;-0,003638823;
665,330;0,1275873;-0,004560407;
667,193;0,127702;-0,003769651;
669,057;0,1286068;-0,00219448;
670,921;0,1272977;-0,002838637;
672,784;0,1266119;-0,00286513;
674,648;0,125967;-0,002856155;
676,512;0,1254648;-0,002709931;
678,375;0,1248926;-0,002638987;
680,239;0,1244759;-0,002417733;
682,103;0,1238561;-0,002404909;
683,966;0,1233171;-0,002316439;
685,830;0,1228244;-0,002186816;
687,694;0,1225585;-0,001835358;
689,557;0,1222205;-0,001561022;
691,421;0,1218755;-0,001298713;
693,285;0,1215208;-0,001050942;
695,149;0,1213323;-0,0006417912;
697,012;0,1210478;-0,0003334333;
698,876;0,120628;-0,0001650968;
700,740;0,1198845;-0,0003251334;
702,603;0,1192354;-0,0003954413;
704,467;0,1185002;-0,00055648;
706,331;0,1177224;-0,0007645397;
708,194;0,1167234;-0,001198397;
710,058;0,1158124;-0,001548695;
711,922;0,1150093;-0,001795466;
713,785;0,1143956;-0,0018571;
715,649;0,1137618;-0,001943222;
717,513;0,1131547;-0,002006965;
719,376;0,1126491;-0,001973351;
721,240;0,1121234;-0,001964052;
723,104;0,1113926;-0,002163955;
724,967;0,1107815;-0,002248212;
726,831;0,1102163;-0,002290636;
728,695;0,1097123;-0,002275956;
730,558;0,1091477;-0,002325792;
732,422;0,1086403;-0,002322252;
734,286;0,1081314;-0,002324258;
736,149;0,1076796;-0,002272915;
738,013;0,1072942;-0,002158927;
739,877;0,1069762;-0,001981374;
741,740;0,1066248;-0,001841013;
743,604;0,1064344;-0,001543224;
745,468;0,1061693;-0,001323885;
747,331;0,1056675;-0,001344843;
749,195;0,1052194;-0,001315674;
751,059;0,1050466;-0,001014747;
752,922;0,1047071;-0,0008840217;
754,786;0,1043444;-0,000779979;
756,650;0,1039552;-0,0007058812;
758,513;0,1036979;-0,0005033785;
760,377;0,1033967;-0,0003480161;
762,241;0,1030134;-0,000278172;
764,104;0,1026578;-0,0001839284;
765,968;0,1023463;-4,886407E-5;
767,832;0,102125;0,0001731384;
769,695;0,1019386;0,0004268187;
771,559;0,1015439;0,000469045;
773,423;0,1012597;0,0006186257;
775,286;0,101203;0,0009924924;
777,150;0,1011845;0,001401565;
779,014;0,1009968;0,001638311;
780,877;0,1008303;0,001893318;
782,741;0,1005552;0,002036574;
784,605;0,1002999;0,002196803;
786,468;0,0999273;0,00223667;
788,332;0,0995466;0,00226555;
790,196;0,0990081;0,002133743;
792,059;0,09856675;0,002096213;
793,923;0,09819397;0,002124404;
795,787;0,09787654;0,002205144;
797,650;0,09749846;0,002222446;
799,514;0,09721602;0,002332614;
801,378;0,09700446;0,002510935;
803,241;0,09688774;0,002781387;
805,105;0,09674799;0,00302612;
806,969;0,09661436;0,003274315;
808,832;0,09621358;0,003252724;
810,696;0,09577023;0,003185946;
812,560;0,09526706;0,003056758;
814,423;0,09458887;0,002749991;
816,287;0,09392554;0,002455542;
818,151;0,09343624;0,002332605;
820,014;0,09286339;0,002123629;
821,878;0,09247585;0,002097478;
823,742;0,09224989;0,002230468;
825,605;0,09194153;0,002278624;
827,469;0,09161787;0,002309073;
829,333;0,09143114;0,002474071;
831,196;0,09127893;0,002671226;
833,060;0,09112819;0,002867506;
834,924;0,09099952;0,003083538;
836,787;0,09078356;0,003209973;
838,651;0,09030406;0,003070595;
840,515;0,08981463;0,002919019;
842,378;0,08932776;0,002767777;
844,242;0,08876172;0,002535134;
846,106;0,08810442;0,002209031;
847,969;0,08751495;0,001948577;
849,833;0,08705902;0,001819507;
851,697;0,08671621;0,001801402;
853,560;0,08637515;0,001782933;
855,424;0,086178;0,001906262;
857,288;0,08603939;0,002086051;
859,151;0,0859314;0,002294384;
861,015;0,08570075;0,002378001;
862,879;0,08559441;0,002583897;
864,742;0,08556554;0,002865254;
866,606;0,08554409;0,003152018;
868,470;0,08547405;0,003388217;
870,333;0,08547515;0,003693594;
872,197;0,08557036;0,004091127;
874,061;0,08566162;0,004482781;
875,924;0,08571873;0,004838379;
877,788;0,08587647;0,005292691;
879,652;0,08594851;0,005659436;
881,515;0,08601813;0,006021882;
883,379;0,08610847;0,006403197;
885,243;0,08627204;0,006855911;
887,106;0,08643393;0,007305119;
888,970;0,08658923;0,007745944;
890,834;0,08678299;0,008223423;
892,697;0,08705446;0,008776843;
894,561;0,08718786;0,009190442;
896,425;0,08728694;0,009567965;
898,288;0,08742246;0,009980194;
900,152;0,0876222;0,01045494;
902,016;0,08788543;0,01099146;
903,879;0,08819969;0,01157732;
905,743;0,08861402;0,01226158;
907,607;0,08919412;0,01310996;
909,470;0,08977925;0,01396171;
911,334;0,09030728;0,01475473;
913,198;0,09075902;0,01546984;
915,061;0,09126136;0,01623393;
916,925;0,09167129;0,01690403;
918,789;0,09199648;0,0174878;
920,652;0,09227282;0,01802116;
922,516;0,09258895;0,01859275;
924,380;0,09293657;0,01919428;
926,243;0,09331076;0,01982086;
928,107;0,09367557;0,02043653;
929,971;0,09421833;0,02122865;
931,834;0,09477603;0,02203421;
933,698;0,095386;0,02289057;
935,562;0,09608417;0,02383364;
937,425;0,09684702;0,02483995;
939,289;0,09772658;0,02596151;
941,153;0,09869968;0,02717518;
943,016;0,09968279;0,02839743;
944,880;0,1007353;0,02968771;
946,744;0,1018255;0,03101421;
948,607;0,1029759;0,03239949;
950,471;0,1041758;0,03383294;
952,335;0,1054384;0,0353278;
954,198;0,1066279;0,03674813;
956,062;0,1078863;0,03823602;
957,926;0,1092309;0,03980874;
959,789;0,1105807;0,04138535;
961,653;0,1118278;0,04285789;
963,517;0,1130608;0,04431513;
965,380;0,1143794;0,04585655;
967,244;0,1158109;0,04750966;
969,108;0,117159;0,04907812;
970,972;0,118417;0,05055516;
972,835;0,1194776;0,0518336;
974,699;0,1204016;0,05297411;
976,563;0,1213197;0,05410753;
978,426;0,1222011;0,05520304;
980,290;0,1227674;0,05598219;
982,154;0,1232704;0,05669689;
984,017;0,1238639;0,05750082;
985,881;0,1245743;0,05842048;
987,745;0,1253021;0,05935632;
989,608;0,1261717;0,06043281;
991,472;0,1272251;0,06169194;
993,336;0,128465;0,06313646;
995,199;0,1298343;0,06470918;
997,063;0,1312925;0,06636963;
998,927;0,1327868;0,06806516;
1000,790;0,1343667;0,06984506;
1002,654;0,1360315;0,07170883;
1004,518;0,13779;0,07366508;
1006,381;0,1395829;0,0756547;
1008,245;0,1414844;0,07775181;
1010,109;0,1433413;0,07980326;
1011,972;0,1451239;0,08177935;
1013,836;0,1469026;0,08375044;
1015,700;0,1486002;0,08563938;
1017,563;0,1501047;0,08733423;
1019,427;0,1514895;0,08890824;
1021,291;0,1526309;0,0902379;
1023,154;0,1535787;0,09137288;
1025,018;0,1542936;0,09227392;
1026,882;0,1549304;0,09309598;
1028,745;0,1554425;0,09379213;
1030,609;0,1557616;0,09429443;
1032,473;0,1558425;0,09455755;
1034,336;0,1557876;0,0946838;
1036,200;0,1555621;0,09463851;
1038,064;0,155242;0,09449761;
1039,927;0,1548372;0,09427113;
1041,791;0,1544169;0,09402811;
1043,655;0,153894;0,0936816;
1045,518;0,1532979;0,09326092;
1047,382;0,152625;0,09276246;
1049,246;0,1519668;0,09227783;
1051,109;0,1513191;0,09180285;
1052,973;0,1506168;0,0912722;
1054,837;0,1497821;0,09060837;
1056,700;0,1488411;0,08983721;
1058,564;0,1476539;0,08881908;
1060,428;0,1463368;0,08767013;
1062,291;0,1449769;0,08647745;
1064,155;0,1437313;0,08539823;
1066,019;0,142436;0,08426836;
1067,882;0,1410898;0,08308677;
1069,746;0,1396576;0,08181841;
1071,610;0,1381333;0,08045702;
1073,473;0,1366347;0,07912042;
1075,337;0,1351725;0,07781942;
1077,201;0,1336567;0,07646401;
1079,064;0,1321865;0,07515341;
1080,928;0,1307041;0,07382973;
1082,792;0,1292472;0,07253075;
1084,655;0,1277911;0,07123174;
1086,519;0,1263265;0,0699234;
1088,383;0,1247706;0,06852301;
1090,246;0,1232159;0,06712296;
1092,110;0,1216101;0,06567112;
1093,974;0,1199718;0,06418595;
1095,837;0,1183014;0,06266782;
1097,701;0,1166467;0,06116468;
1099,565;0,1149918;0,05966063;
1101,428;0,1134489;0,05826769;
1103,292;0,1119748;0,05694286;
1105,156;0,1105918;0,05570836;
1107,019;0,1093525;0,0546169;
1108,883;0,1082263;0,05363764;
1110,747;0,1072269;0,05278453;
1112,610;0,1065377;0,0522409;
1114,474;0,1059543;0,0518023;
1116,338;0,1054033;0,0513954;
1118,201;0,1048442;0,05097967;
1120,065;0,104196;0,05047413;
1121,929;0,1035117;0,04993173;
1123,792;0,1028121;0,04937338;
1125,656;0,1018926;0,04859441;
1127,520;0,1008347;0,04767639;
1129,383;0,09963813;0,04661896;
1131,247;0,09838302;0,04550231;
1133,111;0,09705162;0,04430869;
1134,974;0,09566958;0,04306375;
1136,838;0,09433544;0,04186603;
1138,702;0,0931059;0,04077225;
1140,565;0,09194943;0,03975087;
1142,429;0,09098589;0,03892176;
1144,293;0,09010361;0,03817326;
1146,156;0,0892573;0,03746007;
1148,020;0,08837849;0,03671373;
1149,884;0,08751061;0,03597768;
1151,747;0,08666704;0,03526531;
1153,611;0,08585701;0,03458584;
1155,475;0,08501056;0,03386932;
1157,338;0,08419594;0,033184;
1159,202;0,08345831;0,03257504;
1161,066;0,08281509;0,03205987;
1162,929;0,08218813;0,03156036;
1164,793;0,08159895;0,03109801;
1166,657;0,08104268;0,03066796;
1168,520;0,08056888;0,03031978;
1170,384;0,08011532;0,02999124;
1172,248;0,07965141;0,02965175;
1174,111;0,07920051;0,02932468;
1175,975;0,07882988;0,02907729;
1177,839;0,07851311;0,02888319;
1179,702;0,07830071;0,02879286;
1181,566;0,07820782;0,02882148;
1183,430;0,07819907;0,02893366;
1185,293;0,07834727;0,02920221;
1187,157;0,07865108;0,02962581;
1189,021;0,07900388;0,03009784;
1190,884;0,07951445;0,03072708;
1192,748;0,08015108;0,03148182;
1194,612;0,08081025;0,03225856;
1196,475;0,08154313;0,03310844;
1198,339;0,08238895;0,03407074;
1200,203;0,08322627;0,03502398;
1202,066;0,08401521;0,0359283;
1203,930;0,08480639;0,03683434;
1205,794;0,08562771;0,03776997;
1207,657;0,08636056;0,03861661;
1209,521;0,08706535;0,03943466;
1211,385;0,08776487;0,04024693;
1213,248;0,08845843;0,04105271;
1215,112;0,08913355;0,04183953;
1216,976;0,0897867;0,04260387;
1218,839;0,09034676;0,04327461;
1220,703;0,0908776;0,04391563;
1222,567;0,09132787;0,04447558;
1224,430;0,09170735;0,04496424;
1226,294;0,09207709;0,04544265;
1228,158;0,09238179;0,04585553;
1230,021;0,0925689;0,04615032;
1231,885;0,09272551;0,04641414;
1233,749;0,09285737;0,04665271;
1235,612;0,09294776;0,04684934;
1237,476;0,09296202;0,04696936;
1239,340;0,09285862;0,04697123;
1241,203;0,09267695;0,04689437;
1243,067;0,09250596;0,04682771;
1244,931;0,09232869;0,0467543;
1246,795;0,09214638;0,04667539;
1248,658;0,09188924;0,04652119;
1250,522;0,09162009;0,04635451;
1252,386;0,09136337;0,04619982;
1254,249;0,09119262;0,04613063;
1256,113;0,09104;0,04607912;
1257,977;0,0908949;0,04603468;
1259,840;0,09077785;0,04601785;
1261,704;0,09058796;0,04592774;
1263,568;0,09030607;0,04574518;
1265,431;0,09005421;0,04559221;
1267,295;0,08984334;0,0454798;
1269,159;0,0897147;0,04544919;
1271,022;0,08958712;0,0454192;
1272,886;0,08948097;0,04541021;
1274,750;0,08941681;0,0454428;
1276,613;0,08941205;0,04553435;
1278,477;0,08949488;0,04571308;
1280,341;0,08963;0,04594367;
1282,204;0,08978515;0,04619388;
1284,068;0,09001813;0,04652151;
1285,932;0,09031136;0,04690898;
1287,795;0,09076376;0,0474552;
1289,659;0,09123632;0,04802119;
1291,523;0,09172693;0,04860481;
1293,386;0,09225965;0,04923015;
1295,250;0,09282162;0,04988433;
1297,114;0,09333985;0,05049438;
1298,977;0,09383105;0,051077;
1300,841;0,09426931;0,05160629;
1302,705;0,09464557;0,05207319;
1304,568;0,09496389;0,05248177;
1306,432;0,09525624;0,05286398;
1308,296;0,09545757;0,0531548;
1310,159;0,09561907;0,0534054;
1312,023;0,09581109;0,05368613;
1313,887;0,09592775;0,05389113;
1315,750;0,09588623;0,05393758;
1317,614;0,09593769;0,05407665;
1319,478;0,0960239;0,05425008;
1321,341;0,09596693;0,05427996;
1323,205;0,09594282;0,05434234;
1325,069;0,09611126;0,05459691;
1326,932;0,09631773;0,05488914;
1328,796;0,09658851;0,05524532;
1330,660;0,09693757;0,05567943;
1332,523;0,09729792;0,05612446;
1334,387;0,09769656;0,05660743;
1336,251;0,09846234;0,05745719;
1338,114;0,09968465;0,05876313;
1339,978;0,1008567;0,06001848;
1341,842;0,1012454;0,06049007;
1343,705;0,1016416;0,06096885;
1345,569;0,1023826;0,06179211;
1347,433;0,1032663;0,06275768;
1349,296;0,104158;0,06373098;
1351,160;0,1049647;0,06461887;
1353,024;0,1058634;0,0655985;
1354,887;0,1069132;0,06672886;
1356,751;0,1076975;0,06759338;
1358,615;0,1084391;0,06841488;
1360,478;0,1098349;0,06989028;
1362,342;0,1119479;0,07208256;
1364,206;0,1130401;0,07325365;
1366,069;0,1134684;0,07376057;
1367,933;0,1144515;0,07482195;
1369,797;0,1153324;0,07578074;
1371,660;0,1161055;0,07663148;
1373,524;0,1177277;0,07833103;
1375,388;0,1188737;0,07955404;
1377,251;0,1192166;0,07997364;
1379,115;0,1196489;0,08048233;
1380,979;0,1200858;0,08099531;
1382,842;0,1203808;0,08136601;
1384,706;0,1208939;0,08195458;
1386,570;0,1222154;0,08335126;
1388,433;0,1227221;0,08393279;
1390,297;0,1220068;0,08329205;
1392,161;0,1217335;0,08309302;
1394,024;0,122645;0,08407848;
1395,888;0,122994;0,08450112;
1397,752;0,1227664;0,08434689;
1399,615;0,1222572;0,08391078;
1401,479;0,1205933;0,08231964;
1403,343;0,1193162;0,08111507;
1405,206;0,1179716;0,07984263;
1407,070;0,1157324;0,07767543;
1408,934;0,1132779;0,07529257;
1410,797;0,1109253;0,07301127;
1412,661;0,1082356;0,07039266;
1414,525;0,1055591;0,06778696;
1416,388;0,1035741;0,06587243;
1418,252;0,1030736;0,06544221;
1420,116;0,1013584;0,06379689;
1421,979;0,0986728;0,061181;
1423,843;0,09692955;0,05950716;
1425,707;0,09502529;0,05767203;
1427,570;0,09356734;0,05628295;
1429,434;0,09280366;0,05558785;
1431,298;0,09180235;0,05465487;
1433,161;0,09057383;0,05349441;
1435,025;0,09101885;0,05400722;
1436,889;0,09256359;0,0556195;
1438,752;0,09169696;0,05482014;
1440,616;0,0906789;0,05386908;
1442,480;0,09026298;0,05351991;
1444,343;0,09003772;0,05336114;
1446,207;0,09024411;0,05363377;
1448,071;0,09061712;0,05407275;
1449,934;0,08981678;0,05333814;
1451,798;0,08869661;0,05228343;
1453,662;0,08760719;0,05125924;
1455,525;0,08863618;0,05235319;
1457,389;0,09029582;0,05407755;
1459,253;0,08807719;0,05192339;
1461,116;0,08517863;0,04908906;
1462,980;0,08397751;0,04795192;
1464,844;0,0836111;0,04764924;
1466,707;0,0817912;0,04589283;
1468,571;0,07951394;0,04367882;
1470,435;0,07872555;0,04295344;
1472,298;0,07976645;0,04405711;
1474,162;0,07961145;0,04396465;
1476,026;0,07887451;0,04329;
1477,889;0,07810465;0,04258221;
1479,753;0,07793989;0,04247927;
1481,617;0,07833501;0,04293599;
1483,480;0,07850947;0,04317181;
1485,344;0,0791456;0,04386907;
1487,208;0,08088459;0,04566896;
1489,071;0,08350646;0,04835151;
1490,935;0,08484295;0,04974844;
1492,799;0,08424588;0,04921159;
1494,662;0,08518712;0,05021283;
1496,526;0,08814068;0,05322615;
1498,390;0,09004924;0,05519426;
1500,253;0,09000887;0,05521322;
1502,117;0,08924408;0,05450754;
1503,981;0,08996659;0,05528892;
1505,844;0,09543768;0,06081869;
1507,708;0,1006272;0,06606669;
1509,572;0,09965579;0,06515347;
1511,435;0,09921816;0,06477386;
1513,299;0,0995358;0,06514931;
1515,163;0,1007602;0,06643134;
1517,026;0,1025459;0,06827435;
1518,890;0,1034149;0,06920054;
1520,754;0,1063945;0,07223706;
1522,618;0,1086555;0,07455483;
1524,481;0,1091592;0,07511509;
1526,345;0,1105198;0,07653207;
1528,209;0,1113679;0,07743625;
