;May10_TPC_04-06-0_LMW;May10_TPC_04-06-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,06349771;0,01166172;
652,284;0,06738776;0,01589845;
654,148;0,07401439;0,02286782;
656,011;0,07971298;0,02890526;
657,875;0,07845516;0,02798246;
659,739;0,0705393;0,02039785;
661,602;0,06198015;0,01216623;
663,466;0,05610943;0,00661936;
665,330;0,05238137;0,003211536;
667,193;0,05049528;0,001642125;
669,057;0,0503656;0,00182559;
670,921;0,04950871;0,001278386;
672,784;0,04893148;0,001007412;
674,648;0,048581;0,0009598194;
676,512;0,04854257;0,001220946;
678,375;0,04849585;0,001470495;
680,239;0,04850896;0,001776645;
682,103;0,0485076;0,00206513;
683,966;0,04861252;0,002456743;
685,830;0,04858102;0,002708821;
687,694;0,04866952;0,003077844;
689,557;0,04885717;0,003542984;
691,421;0,04912958;0,004089902;
693,285;0,04913339;0,004365281;
695,149;0,04909194;0,004592494;
697,012;0,04913714;0,004903484;
698,876;0,04922927;0,005258586;
700,740;0,04931113;0,005600627;
702,603;0,04941308;0,00596;
704,467;0,04935314;0,006154766;
706,331;0,04938084;0,006434491;
708,194;0,04937143;0,006674469;
710,058;0,04942;0,0069698;
711,922;0,04953453;0,007328525;
713,785;0,05020058;0,00823623;
715,649;0,05046556;0,008740345;
717,513;0,04975279;0,008264232;
719,376;0,04947568;0,008221343;
721,240;0,04972945;0,008706912;
723,104;0,04983021;0,009037088;
724,967;0,04998329;0,009417227;
726,831;0,05027449;0,009933165;
728,695;0,05060848;0,0104896;
730,558;0,05090402;0,01100532;
732,422;0,05121864;0,01153789;
734,286;0,05144536;0,01198036;
736,149;0,05193576;0,01268432;
738,013;0,05238615;0,01334612;
739,877;0,05285368;0,01402293;
741,740;0,05333177;0,0147082;
743,604;0,05368799;0,01526954;
745,468;0,05397044;0,01575506;
747,331;0,05414259;0,01612826;
749,195;0,05420783;0,01639255;
751,059;0,05430443;0,01668623;
752,922;0,05426371;0,01684065;
754,786;0,05398716;0,01675731;
756,650;0,05345091;0,01641237;
758,513;0,05268357;0,01583448;
760,377;0,05175105;0,01508954;
762,241;0,05089332;0,01441756;
764,104;0,04998512;0,01369332;
765,968;0,04907087;0,01296122;
767,832;0,04818976;0,01226051;
769,695;0,04736143;0,01161084;
771,559;0,04661471;0,01104105;
773,423;0,04606876;0,01067033;
775,286;0,04543506;0,01021018;
777,150;0,04485549;0,009802498;
779,014;0,04442865;0,009545909;
780,877;0,04398684;0,009272726;
782,741;0,0435728;0,009025717;
784,605;0,04321129;0,008829644;
786,468;0,04282414;0,008606369;
788,332;0,04261108;0,008555642;
790,196;0,04248504;0,008590413;
792,059;0,04223536;0,00850002;
793,923;0,04192058;0,008343044;
795,787;0,04183184;0,00841063;
797,650;0,04168424;0,008417904;
799,514;0,04152375;0,008410838;
801,378;0,04163025;0,008669345;
803,241;0,04182476;0,009014453;
805,105;0,04216459;0,00950349;
806,969;0,04303263;0,01051936;
808,832;0,04482139;0,01245459;
810,696;0,04649248;0,01427081;
812,560;0,04714707;0,0150692;
814,423;0,04943206;0,01749668;
816,287;0,05541536;0,02362116;
818,151;0,06793695;0,03628265;
820,014;0,09362898;0,06211333;
821,878;0,1360482;0,1046699;
823,742;0,164948;0,1337059;
825,605;0,1383811;0,1072739;
827,469;0,08749849;0,05652497;
829,333;0,05609028;0,02524926;
831,196;0,04462672;0,01391702;
833,060;0,04091502;0,01033547;
834,924;0,0391604;0,008709823;
836,787;0,0381999;0,007877164;
838,651;0,03768948;0,007493453;
840,515;0,03743528;0,007364831;
842,378;0,03729761;0,007351636;
844,242;0,03729597;0,007473368;
846,106;0,03739958;0,007699274;
847,969;0,03760556;0,008026478;
849,833;0,03773806;0,008279136;
851,697;0,03799295;0,00865313;
853,560;0,03819381;0,008972062;
855,424;0,03828204;0,009177342;
857,288;0,03825085;0,009262184;
859,151;0,03816297;0,009289329;
861,015;0,03801989;0,00926028;
862,879;0,03772536;0,009078791;
864,742;0,03743901;0,008904515;
866,606;0,03722256;0,00879918;
868,470;0,03681969;0,008506474;
870,333;0,03633192;0,008127926;
872,197;0,03594118;0,007845469;
874,061;0,03557146;0,007583125;
875,924;0,03512184;0,007239961;
877,788;0,03485237;0,007076042;
879,652;0,03453255;0,006860878;
881,515;0,03422771;0,006659817;
883,379;0,03407748;0,00661249;
885,243;0,03404006;0,006677109;
887,106;0,03395642;0,006694655;
888,970;0,03395179;0,006790358;
890,834;0,0340646;0,007002667;
892,697;0,03410176;0,007138499;
894,561;0,03411579;0,007250378;
896,425;0,03421591;0,007447533;
898,288;0,03432294;0,007650799;
900,152;0,03450046;0,007923751;
902,016;0,03456352;0,008081462;
903,879;0,03464418;0,008255999;
905,743;0,03479871;0,008503627;
907,607;0,0350049;0,008802157;
909,470;0,03505478;0,008943619;
911,334;0,03518585;0,009165516;
913,198;0,0353464;0,009416164;
915,061;0,03539903;0,009558161;
916,925;0,03549392;0,009741686;
918,789;0,03566746;0,01000314;
920,652;0,03584196;0,01026485;
922,516;0,03599622;0,01050562;
924,380;0,03615131;0,01074652;
926,243;0,03636832;0,01104865;
928,107;0,03658035;0,01134512;
929,971;0,03681074;0,01165926;
931,834;0,03699136;0,01192298;
933,698;0,03718331;0,01219736;
935,562;0,03738706;0,01248288;
937,425;0,03752354;0,01270049;
939,289;0,03767547;0,01293291;
941,153;0,03797755;0,01331484;
943,016;0,03824011;0,01365662;
944,880;0,0384225;0,0139176;
946,744;0,03865722;0,0142303;
948,607;0,03891782;0,01456826;
950,471;0,03919731;0,01492452;
952,335;0,03940677;0,01521013;
954,198;0,03956679;0,01544572;
956,062;0,03986915;0,01582306;
957,926;0,04020035;0,01622866;
959,789;0,04052015;0,01662227;
961,653;0,04086322;0,01703859;
963,517;0,04130081;0,01754886;
965,380;0,04178062;0,0181008;
967,244;0,042196;0,01858774;
969,108;0,04265258;0,01911533;
970,972;0,04323081;0,01976404;
972,835;0,04385905;0,02046222;
974,699;0,0444893;0,02116187;
976,563;0,04518854;0,02192998;
978,426;0,04611679;0,02292658;
980,290;0,04694163;0,02381924;
982,154;0,0471892;0,02413414;
984,017;0,04715827;0,02417001;
985,881;0,04745014;0,02452818;
987,745;0,04800686;0,02515071;
989,608;0,04884595;0,0260551;
991,472;0,05012955;0,02740352;
993,336;0,05215868;0,02949698;
995,199;0,05450394;0,0319061;
997,063;0,05489451;0,03236004;
998,927;0,05320035;0,03072878;
1000,790;0,05204003;0,0296309;
1002,654;0,05161891;0,02927175;
1004,518;0,05146513;0,02917948;
1006,381;0,05155091;0,02932632;
1008,245;0,05186798;0,029704;
1010,109;0,05230514;0,03020132;
1011,972;0,05282828;0,03078418;
1013,836;0,05334784;0,03136302;
1015,700;0,05396016;0,03203418;
1017,563;0,05463419;0,03276663;
1019,427;0,05533708;0,03352752;
1021,291;0,05614348;0,03439147;
1023,154;0,0570527;0,03535785;
1025,018;0,05792621;0,03628809;
1026,882;0,05884712;0,03726532;
1028,745;0,05986289;0,03833701;
1030,609;0,06099388;0,0395235;
1032,473;0,06210154;0,04068628;
1034,336;0,06329475;0,0419342;
1036,200;0,06464252;0,0433363;
1038,064;0,06615127;0,04489897;
1039,927;0,06757084;0,04637209;
1041,791;0,06906104;0,04791546;
1043,655;0,0707178;0,04962501;
1045,518;0,07265704;0,05161665;
1047,382;0,07504064;0,05405229;
1049,246;0,07745771;0,05652103;
1051,109;0,07847472;0,05758934;
1052,973;0,0793515;0,05851705;
