;Apr08_TPC_1-0-0_LMW;Apr08_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,08466371;0,01222967;
652,284;0,08811531;0,01621194;
654,148;0,09314751;0,02176878;
656,011;0,09680208;0,02594204;
657,875;0,09572195;0,02537474;
659,739;0,09039331;0,02055316;
661,602;0,08412419;0,01478539;
663,466;0,0794533;0,01061024;
665,330;0,07637477;0,008021907;
667,193;0,07497109;0,007102968;
669,057;0,07420179;0,006813018;
670,921;0,07192921;0,005014476;
672,784;0,07016399;0,003718058;
674,648;0,06863888;0,002656585;
676,512;0,06750972;0,001985972;
678,375;0,06677899;0,001708754;
680,239;0,06637605;0,00175438;
682,103;0,06596015;0,001782141;
683,966;0,0655594;0,001820248;
685,830;0,06521344;0,001908379;
687,694;0,06495741;0,002081749;
689,557;0,06475465;0,002303754;
691,421;0,06455297;0,002522273;
693,285;0,06435739;0,002742395;
695,149;0,06424478;0,003041036;
697,012;0,06398713;0,003190244;
698,876;0,06372252;0,00332817;
700,740;0,0634759;0,003479817;
702,603;0,06322179;0,003619753;
704,467;0,0629643;0,003752156;
706,331;0,06298485;0,004158495;
708,194;0,06312336;0,004678739;
710,058;0,06327847;0,005211591;
711,922;0,06343817;0,005745079;
713,785;0,06402785;0,006704657;
715,649;0,06398187;0,007024742;
717,513;0,06291249;0,006317622;
719,376;0,0623453;0,006108956;
721,240;0,06233448;0,006452955;
723,104;0,06233717;0,006806821;
724,967;0,06247196;0,007289185;
726,831;0,06260012;0,007761367;
728,695;0,06281195;0,008313702;
730,558;0,06295208;0,008790871;
732,422;0,06308919;0,009261605;
734,286;0,06334341;0,009846064;
736,149;0,06355286;0,01038242;
738,013;0,06372934;0,01088251;
739,877;0,06398712;0,01146065;
741,740;0,06426148;0,01205216;
743,604;0,06450357;0,01260822;
745,468;0,06454568;0,01296118;
747,331;0,06451133;0,01323458;
749,195;0,06449433;0,01352228;
751,059;0,06433851;0,01366814;
752,922;0,06393694;0,01356526;
754,786;0,06356282;0,0134869;
756,650;0,06300641;0,01322334;
758,513;0,06227433;0,01278124;
760,377;0,06148655;0,01228061;
762,241;0,06066223;0,01174063;
764,104;0,0598411;0,01120108;
765,968;0,05918406;0,01082288;
767,832;0,05846394;0,01037891;
769,695;0,05783225;0,01002069;
771,559;0,0572917;0,00975097;
773,423;0,05673343;0,009460933;
775,286;0,05619773;0,0091909;
777,150;0,0557829;0,009039187;
779,014;0,05543771;0,008954602;
780,877;0,05505674;0,008831749;
782,741;0,0547392;0,008769887;
784,605;0,05456289;0,008846828;
786,468;0,05437006;0,008904848;
788,332;0,05426112;0,009044391;
790,196;0,05419989;0,009229312;
792,059;0,05410839;0,009381651;
793,923;0,05395784;0,009472648;
795,787;0,05397057;0,009724673;
797,650;0,05402491;0,01001608;
799,514;0,05412059;0,01034662;
801,378;0,05440082;0,01085953;
803,241;0,05500474;0,01169398;
805,105;0,05582142;0,01273905;
806,969;0,0571777;0,01432162;
808,832;0,05973521;0,01710334;
810,696;0,06236669;0,01995697;
812,560;0,0640228;0,0218332;
814,423;0,06816871;0,02619722;
816,287;0,07743004;0,03567467;
818,151;0,09453166;0,05299044;
820,014;0,124841;0,08351196;
821,878;0,1678518;0,1267331;
823,742;0,1929352;0,1520249;
825,605;0,1640206;0,1233168;
827,469;0,1099398;0,06944063;
829,333;0,07364833;0,03335202;
831,196;0,05910457;0,01900928;
833,060;0,05416126;0,01426518;
834,924;0,05182419;0,01212556;
836,787;0,05045376;0,01095081;
838,651;0,04951057;0,01020156;
840,515;0,04903683;0,009920059;
842,378;0,04860748;0,009681248;
