;Apr06_TPC_1-0-0_HMW;Apr06_TPC_1-0-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1392663;-0,00322801;
652,284;0,1385038;-0,002921618;
654,148;0,1377593;-0,00260936;
656,011;0,1369808;-0,002343002;
657,875;0,1361903;-0,00210057;
659,739;0,1355091;-0,001760346;
661,602;0,1348898;-0,001369774;
663,466;0,1341588;-0,001102261;
665,330;0,1325932;-0,001680354;
667,193;0,1322902;-0,001007012;
669,057;0,1330972;0,0007655403;
670,921;0,1315693;0,0001925274;
672,784;0,1306493;0,0002168457;
674,648;0,1298731;0,0003745607;
676,512;0,129269;0,0006941044;
678,375;0,1286175;0,0009561747;
680,239;0,1279029;0,001145057;
682,103;0,1271761;0,001311978;
683,966;0,1266843;0,001704141;
685,830;0,1259394;0,001833594;
687,694;0,1252981;0,002057238;
689,557;0,1247619;0,002376661;
691,421;0,1242313;0,002692549;
693,285;0,1234275;0,002726076;
695,149;0,1227468;0,002873768;
697,012;0,122135;0,003081505;
698,876;0,1214796;0,003236944;
700,740;0,1206641;0,003223602;
702,603;0,1200646;0,003417912;
704,467;0,1192983;0,003436902;
706,331;0,1187031;0,003618794;
708,194;0,1179566;0,003641239;
710,058;0,1171899;0,003635407;
711,922;0,1165027;0,003701176;
713,785;0,115901;0,003844602;
715,649;0,1152848;0,003965701;
717,513;0,114596;0,004006608;
719,376;0,1137163;0,003849089;
721,240;0,1130428;0,003890377;
723,104;0,1124282;0,003983143;
724,967;0,1118785;0,004133555;
726,831;0,1113475;0,004295495;
728,695;0,1107421;0,00437594;
730,558;0,1101085;0,004421275;
732,422;0,1094889;0,004473683;
734,286;0,1087892;0,004439162;
736,149;0,108224;0,004532472;
738,013;0,107722;0,004682323;
739,877;0,1072814;0,004887038;
741,740;0,1066651;0,00490955;
743,604;0,106156;0,005032935;
745,468;0,1057826;0,005285698;
747,331;0,1054147;0,005537696;
749,195;0,1049018;0,005638491;
751,059;0,1044553;0,005799671;
752,922;0,1040245;0,00597056;
754,786;0,1036509;0,006192732;
756,650;0,1032896;0,006421293;
758,513;0,1029741;0,006689903;
760,377;0,1025247;0,006818905;
762,241;0,1022423;0,007109252;
764,104;0,1019157;0,0073499;
765,968;0,1015363;0,007532089;
767,832;0,101122;0,007674052;
769,695;0,1008355;0,007938438;
771,559;0,1005501;0,008198571;
773,423;0,1002271;0,008415924;
775,286;0,09981993;0,008543822;
777,150;0,09942281;0,008676704;
779,014;0,09907083;0,008849663;
780,877;0,09874642;0,009045201;
782,741;0,09836184;0,009175622;
784,605;0,09801889;0,009342787;
786,468;0,0976503;0,009479496;
