;May25_TPC_02-06-02_LMW;May25_TPC_02-06-02_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
993,336;0,05025413;0,0254842;
995,199;0,04952743;0,0248223;
997,063;0,04916106;0,02452035;
998,927;0,04886988;0,02429324;
1000,790;0,04879699;0,02428407;
1002,654;0,04890355;0,02445398;
1004,518;0,04912246;0,0247359;
1006,381;0,04945531;0,0251314;
1008,245;0,049852;0,0255904;
1010,109;0,05028878;0,02608915;
1011,972;0,05079861;0,0266606;
1013,836;0,05135821;0,02728148;
1015,700;0,05195915;0,02794337;
1017,563;0,05253292;0,02857775;
1019,427;0,05316666;0,02927177;
1021,291;0,0538444;0,03000946;
1023,154;0,05454323;0,03076791;
1025,018;0,05528666;0,03157064;
1026,882;0,05607508;0,03241803;
1028,745;0,05683449;0,0332361;
1030,609;0,0576231;0,03408304;
1032,473;0,05839471;0,03491267;
1034,336;0,0592396;0,03581527;
1036,200;0,06015851;0,03679158;
1038,064;0,06111939;0,03780954;
1039,927;0,06215285;0,03889978;
1041,791;0,06329263;0,04009604;
1043,655;0,06443429;0,04129388;
1045,518;0,06565294;0,0425684;
1047,382;0,06706802;0,04403906;
1049,246;0,06851041;0,04553672;
1051,109;0,06926613;0,04634743;
1052,973;0,06994891;0,04708491;
1054,837;0,07110179;0,04829219;
1056,700;0,07244024;0,04968475;
1058,564;0,07393769;0,05123604;
1060,428;0,07558371;0,05293561;
1062,291;0,07737966;0,05478482;
1064,155;0,07938947;0,05684762;
1066,019;0,08153203;0,05904289;
1067,882;0,08381574;0,06137904;
1069,746;0,08623827;0,06385372;
1071,610;0,08876044;0,06642779;
1073,473;0,09130668;0,06902564;
1075,337;0,09394726;0,07171757;
1077,201;0,09661438;0,07443577;
1079,064;0,09933432;0,07720653;
1080,928;0,1021407;0,08006346;
1082,792;0,1051044;0,08307748;
1084,655;0,1083015;0,08632464;
1086,519;0,1117344;0,08980728;
1088,383;0,1153787;0,09350115;
1090,246;0,1192039;0,09737557;
1092,110;0,1230195;0,1012402;
1093,974;0,1267025;0,104972;
1095,837;0,1297673;0,1080852;
1097,701;0,1321511;0,1105173;
1099,565;0,1339236;0,1123378;
1101,428;0,1352621;0,1137241;
1103,292;0,1362673;0,1147769;
1105,156;0,1369705;0,1155274;
1107,019;0,137332;0,115936;
1108,883;0,1374638;0,1161146;
1110,747;0,1372179;0,1159152;
1112,610;0,136706;0,1154497;
1114,474;0,1359902;0,1147801;
1116,338;0,1352153;0,114051;
1118,201;0,1344005;0,1132819;
1120,065;0,1335072;0,112434;
1121,929;0,1324801;0,1114521;
1123,792;0,1312848;0,1103018;
1125,656;0,1298102;0,108872;
1127,520;0,1281589;0,1072652;
1129,383;0,1263148;0,1054654;
1131,247;0,1244273;0,103622;
1133,111;0,1224531;0,1016918;
1134,974;0,1205382;0,09982056;
1136,838;0,1186477;0,09797349;
1138,702;0,116712;0,096081;
1140,565;0,1147486;0,09416065;
1142,429;0,1128305;0,09228536;
1144,293;0,1110003;0,09049777;
1146,156;0,1093179;0,08885772;
1148,020;0,1076493;0,08723135;
1149,884;0,1059782;0,08560227;
1151,747;0,1043478;0,08401359;
1153,611;0,1027987;0,08250611;
1155,475;0,1012485;0,08099734;
1157,338;0,09977695;0,07956693;
1159,202;0,09838905;0,07822001;
1161,066;0,09709846;0,0769702;
1162,929;0,09591637;0,07582871;
1164,793;0,09485008;0,07480282;
1166,657;0,09374402;0,07373695;
1168,520;0,09273513;0,07276808;
1170,384;0,09188625;0,07195901;
1172,248;0,09110351;0,07121591;
1174,111;0,09033045;0,07048228;
1175,975;0,08955956;0,06975065;
1177,839;0,08869861;0,06892877;
1179,702;0,08783923;0,06810827;
1181,566;0,08692275;0,06723049;
1183,430;0,08597665;0,0663229;
1185,293;0,08486352;0,06524811;
1187,157;0,08366588;0,06408862;
1189,021;0,08235025;0,06281097;
1190,884;0,08093137;0,06142988;
1192,748;0,07941937;0,05995551;
1194,612;0,07788825;0,05846183;
1196,475;0,07628858;0,05689942;
1198,339;0,07468495;0,05533289;
1200,203;0,07309966;0,05378452;
1202,066;0,07154513;0,05226674;
1203,930;0,07007088;0,05082908;
1205,794;0,06871033;0,04950493;
1207,657;0,06738926;0,04822011;
1209,521;0,06617962;0,04704654;
1211,385;0,06516344;0,04606627;
1213,248;0,06433024;0,04526882;
1215,112;0,06362495;0,0445991;
1216,976;0,06310015;0,04410972;
1218,839;0,06269542;0,04374024;
1220,703;0,06245096;0,04353087;
1222,567;0,06237017;0,04348501;
1224,430;0,06239558;0,0435452;
1226,294;0,06249249;0,04367673;
1228,158;0,06270775;0,04392644;
1230,021;0,0630196;0,04427259;
1231,885;0,06344597;0,0447331;
1233,749;0,06397032;0,04529144;
1235,612;0,0645699;0,04592485;
1237,476;0,06515756;0,0465462;
1239,340;0,06580353;0,04722571;
1241,203;0,06644996;0,04790551;
1243,067;0,06710883;0,04859761;
1244,931;0,0677792;0,04930107;
1246,795;0,06841754;0,04997234;
1248,658;0,06905177;0,05063936;
1250,522;0,0697656;0,05138582;
1252,386;0,07039418;0,0520469;
1254,249;0,070953;0,05263807;
1256,113;0,0715297;0,05324697;
1257,977;0,07218204;0,05393137;
1259,840;0,07288685;0,0546681;
1261,704;0,07366218;0,05547521;
1263,568;0,07446721;0,05631188;
1265,431;0,07535475;0,05723092;
1267,295;0,0762398;0,05814733;
1269,159;0,07716137;0,05910012;
1271,022;0,07810254;0,06007237;
1272,886;0,07909277;0,06109355;
1274,750;0,08008394;0,06211554;
1276,613;0,08118103;0,0632433;
1278,477;0,08232451;0,06441733;
1280,341;0,08353092;0,06565414;
1282,204;0,08467522;0,06682872;
1284,068;0,0858298;0,06801345;
1285,932;0,08700076;0,06921441;
1287,795;0,08826231;0,07050585;
1289,659;0,08957262;0,07184592;
1291,523;0,09090237;0,0732053;
1293,386;0,09226589;0,07459831;
1295,250;0,09378485;0,07614664;
1297,114;0,09534624;0,07773728;
1298,977;0,09691302;0,07933318;
1300,841;0,0985193;0,08096845;
1302,705;0,1001718;0,08264982;
1304,568;0,1018561;0,08436285;
1306,432;0,1036338;0,08616918;
1308,296;0,1055228;0,08808669;
1310,159;0,1074267;0,09001894;
1312,023;0,1093828;0,09200332;
1313,887;0,1115266;0,09417529;
1315,750;0,1135565;0,09623316;
1317,614;0,115793;0,0984976;
1319,478;0,1182258;0,1009582;
1321,341;0,1205688;0,1033288;
1323,205;0,1228788;0,1056663;
1325,069;0,1253246;0,1081396;
1326,932;0,1278444;0,1106867;
1328,796;0,1305133;0,1133828;
1330,660;0,133161;0,1160577;
1332,523;0,1359016;0,1188252;
1334,387;0,1385569;0,1215073;
1336,251;0,1414904;0,1244676;
1338,114;0,1451983;0,1282021;
1339,978;0,1494341;0,1324645;
1341,842;0,1527677;0,1358245;
1343,705;0,155879;0,138962;
1345,569;0,159466;0,1425753;
1347,433;0,1632361;0,1463715;
1349,296;0,167161;0,1503224;
1351,160;0,1711123;0,1542995;
1353,024;0,1748866;0,1580996;
1354,887;0,1787537;0,1619923;
1356,751;0,1824793;0,1657435;
1358,615;0,1861198;0,1694094;
1360,478;0,1902627;0,1735776;
1362,342;0,195651;0,1789913;
1364,206;0,2004077;0,1837731;
1366,069;0,2036532;0,1870436;
1367,933;0,2075268;0,1909421;
1369,797;0,2115803;0,1950205;
1371,660;0,2144162;0,1978811;
1373,524;0,2171304;0,2006198;
1375,388;0,2182836;0,2017977;
1377,251;0,2162782;0,1998167;
1379,115;0,2132101;0,1967729;
1380,979;0,2095095;0,1930965;
1382,842;0,2051618;0,1887729;
1384,706;0,2003642;0,1839994;
1386,570;0,1958753;0,1795344;
1388,433;0,1916527;0,1753356;
1390,297;0,1867877;0,1704944;
1392,161;0,1820832;0,1658135;
1394,024;0,1781099;0,1618638;
1395,888;0,1745397;0,1583171;
1397,752;0,1703847;0,1541855;
1399,615;0,1666239;0,1504479;
1401,479;0,1623889;0,1462361;
1403,343;0,1582552;0,1421255;
1405,206;0,1545281;0,1384214;
1407,070;0,1505221;0,1344383;
1408,934;0,1463429;0,1302819;
1410,797;0,1423377;0,1262994;
1412,661;0,1382056;0,12219;
1414,525;0,1340502;0,1180572;
1416,388;0,1300867;0,114116;
1418,252;0,1266273;0,110679;
1420,116;0,1232299;0,1073039;
1421,979;0,1191731;0,1032693;
1423,843;0,1155491;0,09966746;
1425,707;0,1121063;0,09624666;
1427,570;0,1091788;0,09334106;
1429,434;0,1084843;0,09266841;
1431,298;0,1086768;0,09288267;
1433,161;0,1062178;0,09044535;
1435,025;0,1018077;0,08605688;
1436,889;0,09803057;0,08230122;
1438,752;0,0943967;0,07868878;
1440,616;0,0908708;0,07518423;
1442,480;0,08759382;0,07192851;
1444,343;0,08426603;0,06862189;
1446,207;0,08100648;0,06538343;
1448,071;0,07787821;0,06227618;
1449,934;0,07477252;0,05919142;
1451,798;0,07207463;0,05651439;
1453,662;0,07014372;0,05460424;
1455,525;0,06924123;0,05372245;
1457,389;0,06972272;0,05422455;
1459,253;0,06862454;0,05314691;
1461,116;0,06739721;0,05194003;
1462,980;0,06683204;0,05139524;
1464,844;0,06699972;0,05158323;
1466,707;0,06650779;0,05111151;
1468,571;0,06571563;0,0503395;
1470,435;0,06537233;0,05001627;
1472,298;0,06610611;0,05077005;
1474,162;0,06627008;0,05095393;
1476,026;0,06581913;0,05052282;
1477,889;0,06538955;0,050113;
1479,753;0,06486278;0,04960593;
1481,617;0,0647233;0,04948607;
1483,480;0,06432207;0,04910438;
1485,344;0,0639324;0,04873418;
1487,208;0,0639674;0,04878858;
1489,071;0,06413139;0,04897189;
1490,935;0,06400119;0,04886095;
1492,799;0,06295057;0,04782951;
1494,662;0,06222789;0,04712593;
1496,526;0,06232205;0,04723914;
1498,390;0,0619825;0,04691855;
1500,253;0,06105143;0,04600638;
1502,117;0,05990067;0,04487444;
1503,981;0,05889328;0,0438858;
1505,844;0,05914959;0,0441608;
1507,708;0,05956721;0,04459703;
1509,572;0,0580033;0,04305167;
1511,435;0,05673144;0,0417983;
1513,299;0,05580196;0,04088723;
1515,163;0,05485614;0,03995975;
1517,026;0,05432552;0,0394474;
1518,890;0,05336803;0,03850813;
1520,754;0,05288545;0,03804369;
1522,618;0,05233538;0,03751168;
1524,481;0,05108101;0,03627532;
1526,345;0,05044594;0,0356582;
1528,209;0,04956592;0,03479605;
1530,072;0,04853212;0,03378006;
1531,936;0,04773294;0,03299863;
1533,800;0,04747459;0,03275796;
1535,663;0,04623144;0,03153244;
1537,527;0,04519003;0,03050857;
1539,391;0,04549505;0,03083109;
1541,254;0,04528564;0,0306391;
1543,118;0,04413929;0,02951012;
1544,982;0,04337672;0,02876484;
1546,845;0,04242915;0,02783452;
1548,709;0,04160763;0,02703017;
1550,573;0,04109783;0,02653748;
1552,436;0,04019859;0,0256553;
1554,300;0,03975831;0,025232;
1556,164;0,03910437;0,024595;
1558,027;0,0391715;0,024679;
1559,891;0,03930872;0,02483302;
1561,755;0,03767925;0,02322031;
1563,618;0,03679502;0,02235276;
1565,482;0,03642875;0,02200312;
1567,346;0,03578917;0,02138011;
1569,209;0,03559985;0,0212073;
1571,073;0,03518284;0,02080675;
1572,937;0,03433197;0,01997227;
1574,800;0,03406553;0,01972217;
1576,664;0,03433565;0,02000856;
1578,528;0,03369891;0,01938805;
1580,391;0,03310602;0,01881132;
1582,255;0,03282518;0,01854658;
1584,119;0,03253654;0,01827399;
1585,982;0,03235946;0,0181129;
1587,846;0,03216951;0,01793889;
1589,710;0,03203994;0,0178252;
1591,573;0,03183467;0,01763575;
1593,437;0,03176103;0,01757788;
1595,301;0,03165426;0,01748682;
1597,164;0,03149619;0,01734441;
1599,028;0,03140071;0,01726453;
1600,892;0,03136499;0,01724437;
1602,755;0,0312361;0,01713097;
1604,619;0,03119383;0,01710414;
1606,483;0,03109185;0,01701755;
1608,346;0,03109332;0,01703436;
1610,210;0,0310316;0,01698792;
1612,074;0,03096846;0,01694;
1613,937;0,03084144;0,01682816;
1615,801;0,03116607;0,01716791;
1617,665;0,03145893;0,01747584;
1619,528;0,03103369;0,01706562;
1621,392;0,03093606;0,01698296;
1623,256;0,03123834;0,01730015;
1625,119;0,03108514;0,01716182;
1626,983;0,03096654;0,01705803;
1628,847;0,03114503;0,01725128;
1630,710;0,03097997;0,01710094;
1632,574;0,03084775;0,01698338;
1634,438;0,03107597;0,01722621;
1636,301;0,03162252;0,01778731;
1638,165;0,03107387;0,01725318;
1640,029;0,03072814;0,01692191;
1641,892;0,0306021;0,01681028;
1643,756;0,03041568;0,01663822;
1645,620;0,03056271;0,01679957;
1647,483;0,03066762;0,01691874;
1649,347;0,029875;0,01614034;
1651,211;0,02937663;0,01565614;
1653,074;0,03035608;0,01664972;
1654,938;0,03017488;0,01648259;
1656,802;0,02932017;0,01564191;
1658,665;0,02920058;0,0155363;
1660,529;0,02904087;0,01539053;
1662,393;0,02897875;0,01534229;
1664,256;0,02853423;0,01491161;
1666,120;0,02786302;0,01425419;
1667,984;0,02757333;0,01397824;
1669,847;0,02752932;0,01394793;
1671,711;0,02690935;0,01334162;
1673,575;0,02624353;0,01268941;
1675,438;0,02607982;0,01253927;
1677,302;0,02533721;0,01181018;
1679,166;0,02469183;0,01117826;
1681,029;0,02440618;0,01090604;
1682,893;0,02383232;0,01034556;
1684,757;0,02368724;0,01021383;
1686,620;0,02262346;0,009163343;
1688,484;0,02201124;0,008564371;
1690,348;0,02143894;0,008005285;
1692,211;0,02078047;0,007359973;
1694,075;0,02013455;0,006727178;
1695,939;0,02005551;0,006661216;
1697,802;0,0190939;0,005712644;
1699,666;0,01854318;0,005174916;
1701,530;0,0181272;0,004771877;
1703,393;0,01713819;0,003795777;
1705,257;0,01679959;0,00347004;
1707,121;0,01618266;0,002865933;
1708,984;0,01553968;0,002235736;
1710,848;0,01509495;0,001803741;
1712,712;0,01469807;0,001419556;
1714,575;0,01448383;0,001217972;
1716,439;0,0141011;0,0008478608;
1718,303;0,01368179;0,0004411189;
1720,166;0,013037;-0,0001911354;
1722,030;0,0126347;-0,000580945;
1723,894;0,01248849;-0,0007146969;
1725,757;0,01213554;-0,001055236;
1727,621;0,01189159;-0,001286818;
1729,485;0,01186385;-0,00130223;
1731,348;0,01176947;-0,001384316;
1733,212;0,01166167;-0,00147987;
1735,076;0,01159033;-0,00153899;
1736,939;0,01099044;-0,002126714;
1738,803;0,01110786;-0,001997162;
1740,667;0,01111788;-0,001975048;
1742,530;0,01088106;-0,002199806;
1744,394;0,01079159;-0,002277256;
1746,258;0,01079315;-0,002263725;
1748,121;0,01101099;-0,002033944;
1749,985;0,01113311;-0,001899915;
1751,849;0,01123876;-0,001782405;
1753,712;0,0113314;-0,001677935;
1755,576;0,0119309;-0,001066654;
1757,440;0,01337444;0,00038864;
1759,303;0,0150363;0,002062217;
1761,167;0,01778402;0,004821609;
1763,031;0,01835717;0,005406404;
1764,894;0,01461848;0,00167932;
1766,758;0,01142181;-0,001505784;
1768,622;0,01031999;-0,00259608;
1770,485;0,009813572;-0,003091002;
1772,349;0,009852163;-0,003040954;
1774,213;0,009632301;-0,003249394;
1776,076;0,009591548;-0,003278763;
1777,940;0,009631371;-0,00322759;
1779,804;0,009650659;-0,003196989;
1781,667;0,009598021;-0,003238348;
1783,531;0,009423068;-0,003402058;
1785,395;0,009381382;-0,003432537;
1787,258;0,009285365;-0,003517381;
1789,122;0,009279162;-0,003512446;
1790,986;0,009404224;-0,003376281;
1792,849;0,0094046;-0,003364836;
1794,713;0,009099051;-0,003659351;
1796,577;0,009099455;-0,003647948;
1798,441;0,009179792;-0,003556644;
1800,304;0,009147267;-0,003578238;
1802,168;0,008968944;-0,003745663;
1804,032;0,008805706;-0,003898038;
