;Apr07_TPC_0-02-08_HMW;Apr07_TPC_0-02-08_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,141028;0,003554812;
652,284;0,1401979;0,003459955;
654,148;0,1393479;0,00333894;
656,011;0,1386991;0,00341298;
657,875;0,1380988;0,003529287;
659,739;0,1375732;0,003714259;
661,602;0,1369157;0,003761376;
663,466;0,1358967;0,003440942;
665,330;0,1345909;0,002827922;
667,193;0,1345466;0,00347062;
669,057;0,1351672;0,004772455;
670,921;0,1337266;0,004007518;
672,784;0,1327822;0,00373309;
674,648;0,1321877;0,003802972;
676,512;0,1317326;0,004006855;
678,375;0,1309509;0,003878629;
680,239;0,130381;0,0039569;
682,103;0,1297609;0,003979648;
683,966;0,1291236;0,00397998;
685,830;0,1284007;0,003889467;
687,694;0,1279347;0,004050799;
689,557;0,1274304;0,004168718;
691,421;0,1270774;0,004432862;
693,285;0,1265757;0,004543358;
695,149;0,1260364;0,004611421;
697,012;0,1255097;0,004687143;
698,876;0,1249126;0,004687639;
700,740;0,123985;0,004352823;
702,603;0,1231143;0,004070272;
704,467;0,1221501;0,003689596;
706,331;0,1212531;0,003371454;
708,194;0,1202971;0,002989745;
710,058;0,1194835;0,002745931;
711,922;0,1187656;0,00259341;
713,785;0,118165;0,002553696;
715,649;0,117375;0,002320159;
717,513;0,1167668;0,002264171;
719,376;0,1163302;0,002375437;
721,240;0,1158469;0,002435818;
723,104;0,1151913;0,002319673;
724,967;0,1145451;0,002208844;
726,831;0,1137437;0,001938585;
728,695;0,1129962;0,001718178;
730,558;0,112382;0,001627075;
732,422;0,1119403;0,001704494;
734,286;0,1113966;0,001675992;
736,149;0,1108958;0,001686397;
738,013;0,1104586;0,001756624;
739,877;0,1101129;0,001914494;
741,740;0,1097141;0,002015445;
743,604;0,109418;0,002215355;
745,468;0,1090718;0,002361468;
747,331;0,1086285;0,002406768;
749,195;0,1080315;0,002294761;
751,059;0,1075935;0,002338136;
752,922;0,1072676;0,002489964;
754,786;0,1069372;0,00263383;
756,650;0,1065141;0,002681499;
758,513;0,1061062;0,002740897;
760,377;0,1056196;0,002718172;
762,241;0,1053699;0,002929001;
764,104;0,1051165;0,003132635;
765,968;0,1046084;0,0030783;
767,832;0,1042147;0,003135058;
769,695;0,1040239;0,003391479;
771,559;0,1037376;0,003549196;
773,423;0,1035929;0,003845245;
775,286;0,1034519;0,004141766;
777,150;0,1032654;0,004389765;
779,014;0,1030589;0,004614537;
780,877;0,1028697;0,004853583;
782,741;0,1025373;0,004946394;
