;Jun16_TPC_0-0-1_HMW;Jun16_TPC_0-0-1_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1701511;0,01200052;
652,284;0,1691739;0,01185877;
654,148;0,1683809;0,01189403;
656,011;0,1677452;0,01207964;
657,875;0,1670759;0,01222464;
659,739;0,1659549;0,01191102;
661,602;0,1649961;0,01175281;
663,466;0,1639313;0,0114819;
665,330;0,1623377;0,01067541;
667,193;0,1617557;0,01087403;
669,057;0,1619285;0,01182099;
670,921;0,159842;0,01050205;
672,784;0,1584061;0,009827454;
674,648;0,1573802;0,009556537;
676,512;0,1564936;0,009418662;
678,375;0,1554169;0,009084545;
680,239;0,1544407;0,008844861;
682,103;0,1534517;0,008586353;
683,966;0,1526307;0,008489887;
685,830;0,1516356;0,008213313;
687,694;0,1509102;0,008200717;
689,557;0,1502705;0,008267965;
691,421;0,149578;0,008276735;
693,285;0,1488351;0,008229546;
695,149;0,1484895;0,008573959;
697,012;0,1481157;0,00888473;
698,876;0,1474795;0,008927548;
700,740;0,1465038;0,008625453;
702,603;0,1458142;0,008604183;
704,467;0,1451997;0,008652697;
706,331;0,1445081;0,008618827;
708,194;0,1435571;0,008320429;
710,058;0,1426182;0,008028912;
711,922;0,1416413;0,007694384;
713,785;0,140692;0,007382407;
715,649;0,1396897;0,007012508;
717,513;0,1388239;0,006774132;
719,376;0,1377942;0,006366992;
721,240;0,1365017;0,005692231;
723,104;0,1349329;0,004736414;
724,967;0,1335924;0,004004118;
726,831;0,132262;0,003277356;
728,695;0,1309938;0,002608097;
730,558;0,1298354;0,00204408;
732,422;0,1287939;0,001592375;
734,286;0,1276621;0,001045998;
736,149;0,1266556;0,0006203726;
738,013;0,125831;0,0003723211;
739,877;0,1251642;0,0002777194;
741,740;0,1243564;3,77853E-5;
743,604;0,1236334;-0,0001216598;
745,468;0,1231901;-5,515899E-6;
747,331;0,122832;0,00019161;
749,195;0,1224537;0,0003643842;
751,059;0,1222582;0,0007158131;
752,922;0,1221855;0,001186036;
754,786;0,1221512;0,001690592;
756,650;0,1218934;0,001967729;
758,513;0,1216227;0,00222798;
760,377;0,1213418;0,002474185;
762,241;0,1210127;0,002668275;
764,104;0,1206316;0,00280658;
765,968;0,120244;0,002934623;
767,832;0,1196743;0,002876743;
769,695;0,1193244;0,003035015;
771,559;0,1190804;0,003295479;
773,423;0,1188021;0,003518009;
775,286;0,1184063;0,003619389;
777,150;0,1180115;0,003718259;
779,014;0,1175592;0,003756086;
780,877;0,1171678;0,003851258;
782,741;0,1166983;0,003864938;
784,605;0,116302;0,003948332;
786,468;0,1159845;0,004107049;
788,332;0,1157859;0,004381428;
790,196;0,1157159;0,004780919;
792,059;0,1157478;0,005279155;
793,923;0,1156515;0,005645798;
795,787;0,1156611;0,006115101;
797,650;0,1157492;0,006659712;
799,514;0,1158775;0,007241402;
801,378;0,1159438;0,00775779;
803,241;0,1160438;0,008304834;
805,105;0,1162002;0,008905165;
806,969;0,1162164;0,009362237;
808,832;0,1160245;0,009608132;
810,696;0,1156678;0,009686217;
812,560;0,1151034;0,009553626;
814,423;0,1144433;0,009322392;
816,287;0,1137185;0,009023586;
818,151;0,1129975;0,008725503;
820,014;0,1121911;0,008339228;
821,878;0,1115424;0,008107834;
823,742;0,1110296;0,008009475;
825,605;0,1105649;0,007956476;
827,469;0,110163;0,007963421;
829,333;0,1099975;0,00820405;
831,196;0,1099494;0,008559285;
833,060;0,1100942;0,009104787;
834,924;0,1100859;0,009494471;
836,787;0,1099987;0,009802566;
838,651;0,1098828;0,01007942;
840,515;0,1095913;0,01017798;
842,378;0,1092871;0,01026131;
844,242;0,1091259;0,01048511;
846,106;0,1089816;0,0107232;
847,969;0,1089825;0,01110401;
849,833;0,109129;0,01162789;
851,697;0,109371;0,01224475;
853,560;0,1097445;0,01299076;
855,424;0,1101177;0,01373401;
857,288;0,1105519;0,01453585;
859,151;0,1110544;0,01540356;
861,015;0,1115124;0,01622439;
862,879;0,1119469;0,01701946;
