;May26_TPC_08-0-02_LMW;May26_TPC_08-0-02_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1032312;0,01684337;
652,284;0,1089979;0,02322693;
654,148;0,1189412;0,03378018;
656,011;0,1272642;0,04270621;
657,875;0,1254223;0,04146045;
659,739;0,1139587;0,03058635;
661,602;0,1013328;0,01854327;
663,466;0,09234933;0,01013611;
665,330;0,08709961;0,005456268;
667,193;0,08505004;0,003970216;
669,057;0,08501211;0,004489552;
670,921;0,08392976;0,003958288;
672,784;0,08343038;0,004003903;
674,648;0,0832157;0,004328213;
676,512;0,08308333;0,004728918;
678,375;0,08298829;0,005161107;
680,239;0,08312267;0,005816949;
682,103;0,0829881;0,006198164;
683,966;0,0829647;0,006684942;
685,830;0,08296707;0,007191957;
687,694;0,08291368;0,007637757;
689,557;0,08282028;0,008038164;
691,421;0,08281988;0,008526258;
693,285;0,08281994;0,009009581;
695,149;0,0828127;0,00948043;
697,012;0,08262484;0,009765565;
698,876;0,08243666;0,01004534;
700,740;0,08213963;0,01021131;
702,603;0,08204475;0,01057452;
704,467;0,08190572;0,01088875;
706,331;0,08163408;0,0110656;
708,194;0,08135595;0,01123125;
710,058;0,08119588;0,01151032;
711,922;0,08121682;0,0119658;
713,785;0,08157544;0,01275444;
715,649;0,08137919;0,01298375;
717,513;0,08069543;0,01272113;
719,376;0,08044818;0,01289067;
721,240;0,0806103;0,01346529;
723,104;0,08067394;0,01393718;
724,967;0,08078124;0,01444855;
726,831;0,0808574;0,01492464;
728,695;0,08107447;0,01553756;
730,558;0,08133267;0,01618758;
732,422;0,08170397;0,01694672;
734,286;0,08197873;0,0176054;
736,149;0,08238306;0,01838977;
738,013;0,08284249;0,01922541;
739,877;0,08339148;0,02014683;
741,740;0,08374632;0,02087036;
743,604;0,08401437;0,02150342;
745,468;0,08435636;0,02220677;
747,331;0,08461783;0,02282602;
749,195;0,08455038;0,02311279;
751,059;0,0843806;0,02329372;
752,922;0,08380745;0,02306781;
754,786;0,08302211;0,0226263;
756,650;0,08196672;0,02191137;
758,513;0,08071962;0,02100138;
760,377;0,07934692;0,01996249;
762,241;0,07783702;0,01878314;
764,104;0,07611215;0,01738562;
765,968;0,07450129;0,01609892;
767,832;0,07311617;0,01503482;
769,695;0,07186656;0,01410313;
771,559;0,07052282;0,01307425;
773,423;0,06939453;0,01225779;
775,286;0,06840303;0,01157513;
777,150;0,06754519;0,01102318;
779,014;0,06682526;0,0106062;
780,877;0,06617226;0,01025328;
782,741;0,06542451;0,009802761;
784,605;0,06483114;0,009503798;
786,468;0,06433897;0,009303254;
788,332;0,06384193;0,009095087;
790,196;0,06338919;0,008928498;
792,059;0,062989;0,008811785;
793,923;0,06263238;0,008735975;
795,787;0,06235948;0,008741257;
797,650;0,06213325;0,008790628;
799,514;0,06196045;0,00889086;
801,378;0,06184359;0,009044499;
803,241;0,06191497;0,009383864;
805,105;0,06223417;0,00996858;
806,969;0,06292452;0,010922;
808,832;0,06442603;0,01268416;
810,696;0,06602362;0,01454001;
812,560;0,06700027;0,01577256;
814,423;0,06958348;0,01860933;
816,287;0,07546314;0,02474023;
818,151;0,08602787;0,03555393;
820,014;0,1033812;0,05315394;
821,878;0,1252031;0,07522033;
823,742;0,1361603;0,08641977;
825,605;0,1209851;0,07148472;
827,469;0,09145133;0,04218884;
829,333;0,06976546;0,02073877;
831,196;0,06039228;0,01159926;
833,060;0,05703409;0,008472667;
834,924;0,05534706;0,00701517;
836,787;0,05440461;0,006300214;
838,651;0,05400725;0,006128328;
840,515;0,05390749;0,00625205;
842,378;0,05396241;0,006528473;
844,242;0,05421932;0,007004939;
846,106;0,05463651;0,007639746;
847,969;0,05518447;0,008403427;
849,833;0,05564593;0,009078711;
851,697;0,05593133;0,009576072;
853,560;0,05603341;0,009888264;
855,424;0,05604073;0,01010386;
857,288;0,05586037;0,01012998;
859,151;0,05561347;0,01008777;
861,015;0,05526064;0,009937865;
862,879;0,05486892;0,009747316;
864,742;0,05445439;0,009532227;
866,606;0,05412373;0,009399293;
868,470;0,0536008;0,009072399;
870,333;0,05268959;0,00835555;
872,197;0,05184453;0,007703193;
874,061;0,05124051;0,00729024;
875,924;0,05064866;0,006887835;
877,788;0,05025629;0,006683295;
879,652;0,04994076;0,006554016;
881,515;0,0496024;0,006400325;
883,379;0,04935947;0,006340516;
885,243;0,04919523;0,006357855;
887,106;0,0490314;0,006374082;
888,970;0,04903246;0,006553698;
890,834;0,04904596;0,006744252;
892,697;0,0491663;0,007040179;
894,561;0,04925722;0,007305225;
896,425;0,04932993;0,007550619;
898,288;0,04941519;0,007807123;
900,152;0,04948419;0,008045962;
902,016;0,0495949;0,0083251;
903,879;0,04982517;0,008722422;
905,743;0,04995664;0,009019568;
907,607;0,05008044;0,00930768;
909,470;0,05026134;0,009651551;
911,334;0,05046368;0,01001554;
913,198;0,05057804;0,01029023;
915,061;0,05073252;0,01060373;
916,925;0,0509176;0,01094654;
918,789;0,05112416;0,01130956;
920,652;0,05129475;0,01163533;
922,516;0,05149132;0,01198584;
924,380;0,05167811;0,01232534;
926,243;0,05189153;0,01269023;
928,107;0,05214175;0,0130907;
929,971;0,05245353;0,01355154;
931,834;0,05269908;0,01394496;
933,698;0,05291612;0,01430869;
935,562;0,05317143;0,01470953;
937,425;0,05342728;0,01510975;
939,289;0,05363408;0,01545977;
941,153;0,05389297;0,01586075;
943,016;0,0541436;0,01625235;
944,880;0,05442339;0,016672;
946,744;0,05474064;0,01712802;
948,607;0,05507061;0,01759566;
950,471;0,05535095;0,01801259;
952,335;0,05566837;0,01846555;
954,198;0,0559557;0,01888735;
956,062;0,05630972;0,01937479;
957,926;0,05675528;0,01995274;
959,789;0,0571694;0,02049822;
961,653;0,05758734;0,02104651;
963,517;0,05807171;0,02166022;
965,380;0,05849919;0,02221605;
967,244;0,05899134;0,02283555;
969,108;0,05951203;0,02348261;
970,972;0,06015307;0,02424907;
972,835;0,06089427;0,02511472;
974,699;0,06172643;0,02607038;
976,563;0,06268628;0,02715279;
978,426;0,06388872;0,02847685;
980,290;0,06496973;0,02967857;
982,154;0,0651866;0,03001523;
984,017;0,06478462;0,02973213;
985,881;0,0648365;0,02990201;
987,745;0,06529637;0,03047897;
989,608;0,06593541;0,03123422;
991,472;0,06666053;0,03207469;
993,336;0,06741867;0,03294732;
995,199;0,06820048;0,03384276;
997,063;0,06916747;0,03492252;
998,927;0,07023459;0,03610157;
1000,790;0,07122807;0,03720616;
1002,654;0,07168947;0,03777784;
1004,518;0,07168504;0,03788287;
1006,381;0,07175985;0,03806634;
1008,245;0,07233229;0,03874663;
1010,109;0,07310554;0,03962694;
1011,972;0,07397335;0,04060102;
1013,836;0,07496451;0,04169767;
1015,700;0,07599617;0,04283405;
1017,563;0,07700015;0,04394199;
1019,427;0,07806563;0,04511066;
1021,291;0,07921664;0,04636411;
1023,154;0,08049466;0,04774382;
1025,018;0,08178321;0,04913333;
1026,882;0,08310756;0,05055792;
1028,745;0,08448149;0,05203135;
1030,609;0,0859252;0,05357384;
1032,473;0,08741683;0,05516354;
1034,336;0,08904373;0,05688781;
1036,200;0,0907744;0,05871514;
1038,064;0,09256884;0,06060556;
1039,927;0,09445487;0,06258687;
1041,791;0,09650695;0,06473357;
1043,655;0,09859296;0,06691351;
1045,518;0,1008369;0,06925072;
1047,382;0,1033595;0,07186592;
1049,246;0,1060728;0,0746712;
1051,109;0,1078716;0,07656128;
1052,973;0,1094492;0,07822953;
1054,837;0,111759;0,08062927;
1056,700;0,1145142;0,08347386;
1058,564;0,1174465;0,08649489;
1060,428;0,1205758;0,08971231;
1062,291;0,1238657;0,09308973;
1064,155;0,127417;0,09672794;
1066,019;0,1311616;0,1005589;
1067,882;0,1351363;0,1046192;
1069,746;0,1394025;0,1089705;
1071,610;0,1439863;0,1136388;
1073,473;0,1487621;0,1184985;
1075,337;0,1536851;0,1235049;
1077,201;0,1585684;0,1284709;
1079,064;0,1635491;0,1335338;
1080,928;0,1684118;0,1384781;
1082,792;0,1731572;0,1433046;
1084,655;0,1775507;0,1477786;
1086,519;0,1815971;0,1519049;
1088,383;0,1851227;0,1555099;
1090,246;0,1878458;0,1583119;
1092,110;0,1892488;0,1597932;
1093,974;0,1892748;0,159897;
1095,837;0,1879439;0,1586434;
1097,701;0,1856681;0,1564444;
1099,565;0,1826495;0,1535019;
1101,428;0,1793518;0,1502799;
1103,292;0,1761415;0,1471449;
1105,156;0,1734346;0,1445126;
1107,019;0,1714598;0,142612;
1108,883;0,170375;0,1416009;
1110,747;0,1700874;0,1413865;
1112,610;0,170854;0,1422258;
1114,474;0,1724875;0,1439315;
1116,338;0,174987;0,1465027;
1118,201;0,1780416;0,1496286;
