;Apr26_TPC_04-06-0_HMW;Apr26_TPC_04-06-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,14921;0,0008936767;
652,284;0,1485113;0,0009927214;
654,148;0,1477262;0,0009985844;
656,011;0,1471173;0,001173948;
657,875;0,1465688;0,001403049;
659,739;0,1458736;0,001478791;
661,602;0,1451861;0,001555851;
663,466;0,1443074;0,001435205;
665,330;0,1429108;0,0007902935;
667,193;0,1429164;0,001541309;
669,057;0,1439784;0,003342473;
670,921;0,1424102;0,002507268;
672,784;0,1415308;0,002354879;
674,648;0,1408767;0,002421726;
676,512;0,140392;0,002651983;
678,375;0,139729;0,002698061;
680,239;0,1392127;0,002885042;
682,103;0,1384439;0,002813774;
683,966;0,1378991;0,002960846;
685,830;0,1372786;0,003026531;
687,694;0,1368061;0,003234665;
689,557;0,1363602;0,003463858;
691,421;0,135926;0,003699329;
693,285;0,1353454;0,003783;
695,149;0,1348494;0,003945947;
697,012;0,1343376;0,004087877;
698,876;0,1339575;0,004356216;
700,740;0,1332435;0,00428541;
702,603;0,1324094;0,004089538;
704,467;0,1315056;0,003818783;
706,331;0,130702;0,003643339;
708,194;0,1298349;0,00339932;
710,058;0,1289885;0,003171171;
711,922;0,1281152;0,002911266;
713,785;0,1274237;0,002828353;
715,649;0,1267587;0,002767176;
717,513;0,1260526;0,002660312;
719,376;0,125347;0,002549151;
721,240;0,1247184;0,002510452;
723,104;0,1239941;0,002371538;
724,967;0,1233982;0,002356483;
726,831;0,1228129;0,002347531;
728,695;0,1221566;0,002263129;
730,558;0,1214717;0,002145865;
732,422;0,1209438;0,00218115;
734,286;0,120357;0,002153403;
736,149;0,1199046;0,002255711;
738,013;0,1194258;0,002327446;
739,877;0,1188628;0,002310807;
741,740;0,1183708;0,002361066;
743,604;0,118042;0,002570498;
745,468;0,1176497;0,002712369;
747,331;0,1173781;0,002970931;
749,195;0,1170062;0,003125196;
751,059;0,1166525;0,003293774;
752,922;0,1162395;0,003399216;
754,786;0,1158091;0,003483456;
756,650;0,1155339;0,003719062;
758,513;0,1153227;0,004014905;
760,377;0,1148158;0,004011319;
762,241;0,1143821;0,00407727;
764,104;0,1140951;0,004286166;
765,968;0,1138557;0,004539217;
767,832;0,1134532;0,004625422;
769,695;0,1130846;0,004742065;
771,559;0,1127058;0,004844993;
773,423;0,1123207;0,004938128;
775,286;0,1119509;0,005043165;
777,150;0,1118148;0,005378475;
779,014;0,1115692;0,005600879;
780,877;0,1112834;0,005779684;
782,741;0,1109516;0,005909294;
784,605;0,1106633;0,006079002;
786,468;0,1102251;0,006095637;
788,332;0,1097857;0,006107839;
790,196;0,1093135;0,006084034;
792,059;0,1088215;0,00603729;
793,923;0,1083601;0,006017991;
795,787;0,1079749;0,006071759;
797,650;0,1074802;0,006012972;
799,514;0,1070724;0,006038034;
801,378;0,1066954;0,006090902;
803,241;0,106257;0,006079367;
805,105;0,1058006;0,006046928;
806,969;0,1053511;0,00601844;
808,832;0,1048215;0,005906878;
810,696;0,1042099;0,005710523;
812,560;0,1035382;0,005451104;
814,423;0,1027866;0,005109056;
816,287;0,101874;0,004603121;
818,151;0,1010542;0,004187252;
820,014;0,1004501;0,003984372;
821,878;0,09998442;0,003917169;
823,742;0,09946031;0,003788819;
825,605;0,09902092;0,003742506;
827,469;0,09851341;0,003625423;
829,333;0,09800628;0,003506098;
831,196;0,09755848;0,00344349;
833,060;0,09725401;0,003521631;
834,924;0,09694787;0,003595545;
836,787;0,09654946;0,003574657;
838,651;0,09602478;0,003424973;
840,515;0,0954018;0,003174505;
842,378;0,09458866;0,002731403;
844,242;0,0938671;0,002377443;
846,106;0,09328417;0,002159672;
847,969;0,09274671;0,001984978;
849,833;0,09220329;0,001801939;
851,697;0,09181084;0,001767497;
853,560;0,09157163;0,001883961;
855,424;0,09138866;0,00205434;
857,288;0,09120997;0,002226702;
859,151;0,09112964;0,002495133;
861,015;0,09107082;0,002782817;
862,879;0,09103923;0,003095492;
864,742;0,09100504;0,003403336;
866,606;0,09101272;0,003750849;
868,470;0,09095819;0,004033971;
870,333;0,09093516;0,004346417;
872,197;0,09089759;0,004642179;
874,061;0,09088654;0,004962333;
875,924;0,09085904;0,005263932;
877,788;0,09071857;0,00545046;
879,652;0,09060272;0,005659531;
881,515;0,09061545;0,005995123;
883,379;0,09060858;0,006309066;
885,243;0,09067144;0,006690726;
887,106;0,09076533;0,007101406;
888,970;0,09094728;0,00759816;
890,834;0,09109933;0,008063031;
