;Mar22_TPC_0-1-0_HMW;Mar22_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,168526;-0,000146982;
652,284;0,1674214;-0,0002627776;
654,148;0,1663736;-0,0003303013;
656,011;0,1653349;-0,0003970796;
657,875;0,1642826;-0,0004855888;
659,739;0,1634093;-0,0004033936;
661,602;0,1627019;-0,0001632661;
663,466;0,1618213;-0,0001042933;
665,330;0,1599131;-0,001080898;
667,193;0,1604895;0,0004193621;
669,057;0,1610873;0,001933359;
670,921;0,1596972;0,001451711;
672,784;0,1587006;0,001356102;
674,648;0,1577515;0,001300541;
676,512;0,1569599;0,001395093;
678,375;0,1560391;0,001353176;
680,239;0,1553846;0,001570296;
682,103;0,1544658;0,001516026;
683,966;0,1536655;0,001573169;
685,830;0,1529236;0,001681747;
687,694;0,1523396;0,001941266;
689,557;0,1517441;0,002182484;
691,421;0,151241;0,002509371;
693,285;0,1504286;0,002520221;
695,149;0,1498973;0,002805649;
697,012;0,1495544;0,003272846;
698,876;0,149008;0,003530178;
700,740;0,1482012;0,00352061;
702,603;0,1474117;0,003522059;
704,467;0,1464271;0,00332203;
706,331;0,1453344;0,003007843;
708,194;0,1440352;0,002480958;
710,058;0,1429303;0,002142251;
711,922;0,14188;0,001852208;
713,785;0,1410179;0,001744366;
715,649;0,1403011;0,001776008;
717,513;0,139735;0,001952477;
719,376;0,1391439;0,002098161;
721,240;0,1384908;0,002176187;
723,104;0,1377214;0,00213225;
724,967;0,1370545;0,002185244;
726,831;0,1360554;0,001900442;
728,695;0,1349103;0,001464256;
730,558;0,1338395;0,001096921;
732,422;0,1331018;0,001057234;
734,286;0,1322848;0,0009330957;
736,149;0,1315883;0,0009241216;
738,013;0,1309516;0,0009696953;
739,877;0,1302344;0,0009297044;
741,740;0,129532;0,0008993694;
743,604;0,1292566;0,001291024;
745,468;0,1289273;0,001623724;
747,331;0,1284901;0,001843582;
749,195;0,1281588;0,002164514;
751,059;0,1278108;0,002463775;
752,922;0,1273325;0,002628054;
754,786;0,1270632;0,0029965;
756,650;0,1266412;0,003207599;
758,513;0,1261152;0,003310087;
760,377;0,125833;0,00365162;
762,241;0,1258336;0,004271442;
764,104;0,125578;0,004630529;
765,968;0,1251096;0,004772443;
767,832;0,1246865;0,004955104;
769,695;0,1242351;0,005105111;
771,559;0,1237725;0,005239483;
773,423;0,1236813;0,005741048;
775,286;0,1238611;0,006509277;
777,150;0,1243693;0,007601786;
779,014;0,1248846;0,0086971;
780,877;0,1247506;0,009138966;
782,741;0,1239486;0,008908745;
784,605;0,1232416;0,008769471;
786,468;0,1225508;0,008642371;
788,332;0,1217674;0,008418696;
790,196;0,1211249;0,008331867;
792,059;0,1206732;0,008432006;
793,923;0,1203516;0,00865834;
795,787;0,1203608;0,009211602;
797,650;0,1201735;0,009564595;
799,514;0,1196706;0,009598179;
801,378;0,1192311;0,009691528;
803,241;0,1190027;0,009992184;
805,105;0,118741;0,01025584;
806,969;0,1185007;0,01053734;
808,832;0,1180029;0,01055772;
810,696;0,1171854;0,01025474;
812,560;0,116278;0,009858432;
814,423;0,1153053;0,009393222;
816,287;0,1140505;0,008642497;
818,151;0,112867;0,007959683;
820,014;0,1119146;0,007504474;
821,878;0,1111905;0,007274232;
823,742;0,1104574;0,007031601;
825,605;0,1097326;0,006793998;
827,469;0,108973;0,006518301;
829,333;0,1083266;0,006352545;
831,196;0,1078823;0,006385658;
833,060;0,1075243;0,006501825;
834,924;0,1070845;0,006533123;
836,787;0,1067156;0,006632056;
838,651;0,1061109;0,006492142;
840,515;0,1053154;0,006158356;
842,378;0,1046059;0,005907478;
844,242;0,1040189;0,005776057;
846,106;0,1034563;0,005666016;
847,969;0,1030541;0,005713395;
849,833;0,102723;0,005828921;
851,697;0,1024386;0,005988236;
853,560;0,1022682;0,006258691;
855,424;0,1021666;0,006595016;
857,288;0,1019861;0,006849646;
859,151;0,1019199;0,007215711;
861,015;0,1017178;0,007443049;
862,879;0,1013006;0,007452533;
864,742;0,1009932;0,007568963;
866,606;0,1006772;0,007674213;
868,470;0,1002035;0,007618946;
870,333;0,09995872;0,00778998;
872,197;0,09996569;0,008210079;
874,061;0,0999876;0,008642476;
875,924;0,09990636;0,008969101;
877,788;0,09994857;0,009416589;
879,652;0,0999456;0,009816318;
881,515;0,09987791;0,01014878;
883,379;0,09988201;0,0105505;
885,243;0,09980149;0,01086509;
887,106;0,09969336;0,01114959;
888,970;0,09973113;0,01157752;
890,834;0,09960841;0,01184251;
892,697;0,09939898;0,01201836;
894,561;0,09938052;0,01238279;
896,425;0,09948179;0,01286455;
898,288;0,09959749;0,01335837;
900,152;0,09997486;0,01411153;
902,016;0,1003835;0,01489362;
903,879;0,1008772;0,01575846;
905,743;0,1017276;0,01697778;
907,607;0,1026857;0,01830242;
909,470;0,1033891;0,01937015;
911,334;0,1040248;0,02036796;
913,198;0,1046001;0,02130311;
915,061;0,1048421;0,02190287;
916,925;0,104681;0,02209729;
918,789;0,1044141;0,02218373;
920,652;0,1041132;0,02223407;
922,516;0,1038997;0,02236965;
924,380;0,1037546;0,0225715;
926,243;0,1036528;0,02281455;
928,107;0,1037369;0,02324149;
929,971;0,1040485;0,02389382;
931,834;0,1045131;0,02469717;
933,698;0,1051181;0,02563886;
935,562;0,1057453;0,02660073;
937,425;0,1064604;0,02764844;
939,289;0,1073634;0,02888216;
941,153;0,1085439;0,0303914;
943,016;0,1097402;0,03191448;
944,880;0,1110825;0,03358164;
946,744;0,112776;0,03559803;
948,607;0,1145641;0,03770721;
950,471;0,1163338;0,03979605;
952,335;0,1184099;0,04218941;
954,198;0,1205633;0,04465828;
956,062;0,1225654;0,04697392;
957,926;0,1244227;0,04914296;
959,789;0,1262241;0,05125433;
961,653;0,1279361;0,05327451;
963,517;0,1294212;0,05506591;
965,380;0,130653;0,05660232;
967,244;0,131728;0,0579801;
969,108;0,1326224;0,05917554;
970,972;0,1333349;0,06018741;
972,835;0,1338649;0,06101508;
974,699;0,1343808;0,06182684;
976,563;0,1348567;0,06259695;
978,426;0,1351303;0,0631631;
980,290;0,1351872;0,06351086;
982,154;0,1352857;0,06389865;
984,017;0,1355595;0,06445999;
985,881;0,1359189;0,0651054;
987,745;0,136387;0,06585782;
989,608;0,1371585;0,06691206;
991,472;0,1381417;0,06817641;
993,336;0,1392144;0,06952861;
995,199;0,1403678;0,07096;
997,063;0,1416648;0,07253341;
998,927;0,1431552;0,07429872;
1000,790;0,1449184;0,07633529;
1002,654;0,1467895;0,07847823;
1004,518;0,1488904;0,0808494;
1006,381;0,1513017;0,08352959;
1008,245;0,1538907;0,0863859;
1010,109;0,1566325;0,08939348;
1011,972;0,1595958;0,09262119;
1013,836;0,1625301;0,09581845;
1015,700;0,1652935;0,09884326;
1017,563;0,1679485;0,1017583;
1019,427;0,1704082;0,1044767;
1021,291;0,1726498;0,1069754;
1023,154;0,1747337;0,1093151;
1025,018;0,1765001;0,1113359;
1026,882;0,1780241;0,113113;
1028,745;0,1792475;0,114588;
1030,609;0,1802054;0,1157962;
1032,473;0,1810125;0,1168523;
1034,336;0,1817221;0,1178095;
1036,200;0,1822197;0,1185533;
1038,064;0,1825766;0,1191551;
1039,927;0,1827265;0,1195486;
1041,791;0,1827038;0,1197682;
1043,655;0,1826759;0,1199813;
1045,518;0,1826259;0,120171;
1047,382;0,1825593;0,1203429;
1049,246;0,182492;0,1205127;
1051,109;0,1825045;0,1207612;
1052,973;0,1824809;0,1209722;
1054,837;0,1820909;0,1208156;
1056,700;0,1812958;0,1202528;
1058,564;0,180187;0,1193749;
1060,428;0,1788194;0,118237;
1062,291;0,1771233;0,1167695;
1064,155;0,1754239;0,1152974;
1066,019;0,173864;0,1139637;
1067,882;0,1722354;0,11256;
1069,746;0,17043;0,1109784;
1071,610;0,1685644;0,1093354;
1073,473;0,1667864;0,1077789;
1075,337;0,1652564;0,1064691;
1077,201;0,1638203;0,1052522;
1079,064;0,162398;0,104048;
1080,928;0,1609356;0,1028024;
1082,792;0,1593716;0,1014543;
1084,655;0,15767;0,09996734;
1086,519;0,1558174;0,09832832;
1088,383;0,1537538;0,09647713;
1090,246;0,1516361;0,0945708;
1092,110;0,1494598;0,09260481;
1093,974;0,14726;0,09061428;
1095,837;0,1451941;0,08875657;
1097,701;0,1432484;0,08701795;
1099,565;0,1412725;0,08524814;
1101,428;0,1391516;0,08333221;
1103,292;0,1370148;0,0813994;
1105,156;0,134979;0,07956651;
1107,019;0,1330721;0,07786148;
1108,883;0,1313743;0,07636467;
1110,747;0,1299272;0,07511743;
1112,610;0,1286916;0,07408065;
1114,474;0,1274863;0,07307325;
1116,338;0,1263838;0,07216771;
1118,201;0,1252838;0,07126358;
1120,065;0,1240094;0,07018412;
1121,929;0,1227022;0,06907088;
1123,792;0,1214566;0,06801827;
1125,656;0,1201397;0,06689339;
1127,520;0,1187683;0,06571309;
1129,383;0,1173516;0,06448659;
1131,247;0,1158654;0,06318953;
1133,111;0,1143618;0,06187421;
1134,974;0,1129026;0,06060241;
1136,838;0,1114126;0,05929882;
1138,702;0,1099177;0,05798944;
1140,565;0,1085671;0,05682339;
1142,429;0,1073847;0,05582476;
1144,293;0,106211;0,05483382;
1146,156;0,1050418;0,05384657;
1148,020;0,1038992;0,05288493;
1149,884;0,1027973;0,05196318;
1151,747;0,1017107;0,05105588;
1153,611;0,1007056;0,05022925;
1155,475;0,09976911;0,04947025;
1157,338;0,09889257;0,0487704;
1159,202;0,09811868;0,04817235;
1161,066;0,09747782;0,04770647;
1162,929;0,09696946;0,04737226;
1164,793;0,0965389;0,04711502;
1166,657;0,09615221;0,04690081;
1168,520;0,09586863;0,04678888;
1170,384;0,0956058;0,0466969;
1172,248;0,09527414;0,04653526;
1174,111;0,09495038;0,04638072;
1175,975;0,09473968;0,04633843;
1177,839;0,09457576;0,04634212;
1179,702;0,09458647;0,04651965;
1181,566;0,09481495;0,04691416;
1183,430;0,09517563;0,04744009;
1185,293;0,09568817;0,0481171;
1187,157;0,09640359;0,04899621;
1189,021;0,09727278;0,05002832;
1190,884;0,09829309;0,0512108;
1192,748;0,09951851;0,05259762;
1194,612;0,10089;0,05412979;
1196,475;0,1023805;0,05578018;
1198,339;0,1040016;0,05756042;
1200,203;0,1055886;0,05930582;
1202,066;0,1071626;0,06103746;
1203,930;0,108805;0,06283687;
1205,794;0,1104644;0,06465246;
1207,657;0,1120148;0,06635834;
1209,521;0,1134752;0,06797356;
1211,385;0,1148335;0,06948586;
1213,248;0,116088;0,07089377;
1215,112;0,1173267;0,07228508;
1216,976;0,1184012;0,07351147;
1218,839;0,1192757;0,07453724;
1220,703;0,1201119;0,07552397;
1222,567;0,1209013;0,07646333;
1224,430;0,1215816;0,07729281;
1226,294;0,1221446;0,07800426;
1228,158;0,1225689;0,07857636;
1230,021;0,1229415;0,07909619;
1231,885;0,1233392;0,07964035;
1233,749;0,1236061;0,08005304;
1235,612;0,123737;0,08032915;
1237,476;0,1236782;0,08041483;
1239,340;0,1233712;0,08025172;
1241,203;0,1229362;0,07995995;
1243,067;0,1223871;0,07955342;
1244,931;0,1216386;0,07894685;
1246,795;0,1208086;0,07825812;
1248,658;0,1199533;0,07754346;
1250,522;0,1190669;0,0767971;
1252,386;0,1181396;0,07600927;
1254,249;0,1171834;0,07519178;
1256,113;0,1162757;0,07442228;
1257,977;0,1154033;0,07368742;
1259,840;0,1145005;0,07292158;
1261,704;0,1135673;0,07212476;
1263,568;0,1125936;0,07128673;
1265,431;0,1117248;0,07055309;
1267,295;0,1110019;0,06996478;
1269,159;0,1103788;0,06947564;
1271,022;0,1098579;0,06908811;
1272,886;0,1094555;0,06881845;
1274,750;0,1091751;0,06867029;
1276,613;0,108988;0,06861473;
1278,477;0,1088501;0,0686079;
1280,341;0,1087797;0,06866793;
1282,204;0,1088163;0,06883446;
1284,068;0,1090311;0,06917859;
1285,932;0,1093514;0,06962768;
1287,795;0,1097204;0,07012486;
1289,659;0,1102047;0,07073686;
1291,523;0,110724;0,07138324;
1293,386;0,1111905;0,07197634;
1295,250;0,1117243;0,0726361;
1297,114;0,1123386;0,07337584;
1298,977;0,1128528;0,07401503;
1300,841;0,113202;0,07448859;
1302,705;0,1135441;0,07495458;
1304,568;0,1138025;0,07533635;
1306,432;0,1140458;0,07570245;
1308,296;0,1143027;0,07608155;
1310,159;0,1143941;0,07629474;
1312,023;0,1143573;0,07637922;
1313,887;0,1142658;0,07640838;
1315,750;0,1141916;0,07645438;
1317,614;0,1141962;0,07657868;
1319,478;0,1142024;0,07670406;
1321,341;0,1140897;0,07671013;
1323,205;0,1139696;0,0767082;
1325,069;0,1140341;0,07689033;
1326,932;0,1142968;0,07727027;
1328,796;0,1147075;0,07779767;
1330,660;0,1151494;0,07835576;
1332,523;0,1156141;0,07893621;
1334,387;0,1161802;0,07961751;
1336,251;0,1169716;0,08052364;
1338,114;0,1180582;0,08172456;
1339,978;0,1189838;0,08276393;
1341,842;0,1195457;0,08343918;
1343,705;0,1201603;0,08416664;
1345,569;0,1211277;0,0852464;
1347,433;0,1222731;0,08650375;
1349,296;0,1234248;0,08776694;
1351,160;0,1245716;0,08902469;
1353,024;0,1257275;0,09029114;
1354,887;0,1269358;0,09160953;
1356,751;0,1280869;0,09287027;
1358,615;0,129422;0,09431456;
1360,478;0,1313971;0,09639838;
1362,342;0,1335708;0,09868034;
1364,206;0,1350436;0,1002611;
1366,069;0,1362631;0,1015879;
1367,933;0,1378047;0,1032365;
1369,797;0,1391356;0,1046739;
1371,660;0,140464;0,1061084;
1373,524;0,1424148;0,1081648;
1375,388;0,143934;0,1097892;
1377,251;0,1447965;0,1107566;
1379,115;0,1457597;0,1118242;
1380,979;0,1468268;0,1129952;
1382,842;0,1475671;0,113839;
1384,706;0,1487368;0,1151118;
1386,570;0,1502112;0,1166889;
1388,433;0,1507904;0,1173705;
1390,297;0,1504399;0,1171218;
1392,161;0,1507099;0,1174933;
1394,024;0,1516908;0,1185753;
1395,888;0,151985;0,1189702;
1397,752;0,1519557;0,1190411;
1399,615;0,1511047;0,1182899;
1401,479;0,149532;0,1168167;
1403,343;0,1478469;0,1152307;
1405,206;0,1459581;0,1134405;
1407,070;0,1431212;0,110702;
1408,934;0,1400482;0,1077268;
1410,797;0,1369119;0,104688;
1412,661;0,1335129;0,1013861;
1414,525;0,1300642;0,0980341;
1416,388;0,1278539;0,09592017;
1418,252;0,1266184;0,0947807;
1420,116;0,1240623;0,09232016;
1421,979;0,1209901;0,0893432;
1423,843;0,1183385;0,08678638;
1425,707;0,1162017;0,08474405;
1427,570;0,1145866;0,0832231;
1429,434;0,1135013;0,08223147;
1431,298;0,1123244;0,08114801;
1433,161;0,1111935;0,08011008;
1435,025;0,1117912;0,08080038;
1436,889;0,1125611;0,08166256;
1438,752;0,1117449;0,08093837;
1440,616;0,1104911;0,07977605;
1442,480;0,1100268;0,07940304;
1444,343;0,1096856;0,07915268;
1446,207;0,1096762;0,07923382;
1448,071;0,1095679;0,07921563;
1449,934;0,1087104;0,07844792;
1451,798;0,1072458;0,07707284;
1453,662;0,1063733;0,0762894;
1455,525;0,1074176;0,07742252;
1457,389;0,1078581;0,07795148;
1459,253;0,1051676;0,07534904;
1461,116;0,1018712;0,07214039;
1462,980;0,100715;0,07107161;
1464,844;0,09977129;0,07021502;
1466,707;0,0978977;0,06842819;
1468,571;0,09563684;0,06625376;
1470,435;0,09527091;0,06597393;
1472,298;0,09585798;0,06664679;
1474,162;0,09582674;0,06670099;
1476,026;0,09494405;0,06590344;
1477,889;0,09446689;0,06551109;
1479,753;0,09465702;0,0657857;
1481,617;0,0952509;0,06646375;
1483,480;0,09603338;0,06733008;
1485,344;0,09734791;0,06872814;
1487,208;0,09948522;0,07094868;
1489,071;0,1021111;0,07365748;
1490,935;0,1031551;0,07478407;
1492,799;0,1033308;0,07504203;
1494,662;0,1050154;0,07680865;
1496,526;0,1081999;0,08007476;
1498,390;0,109994;0,08195026;
1500,253;0,1100551;0,08209242;
1502,117;0,1101974;0,08231556;
1503,981;0,1127855;0,08498406;
1505,844;0,1189654;0,09124413;
1507,708;0,1235904;0,09594901;
1509,572;0,1235511;0,09598928;
1511,435;0,124231;0,0967485;
