;Mar25_TPC_02-08-0_HMW;Mar25_TPC_02-08-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1343858;-0,02252187;
652,284;0,1338072;-0,02183597;
654,148;0,1331477;-0,02124538;
656,011;0,13242;-0,02073713;
657,875;0,1318166;-0,02011865;
659,739;0,1310969;-0,01963009;
661,602;0,1305104;-0,01902198;
663,466;0,1297011;-0,01865011;
665,330;0,1280486;-0,01913453;
667,193;0,1283651;-0,01766302;
669,057;0,1295742;-0,01531175;
670,921;0,1280349;-0,0157216;
672,784;0,1271816;-0,01545784;
674,648;0,1265226;-0,01501203;
676,512;0,1257952;-0,01464693;
678,375;0,1251524;-0,01420911;
680,239;0,1247564;-0,01353628;
682,103;0,1241803;-0,01305519;
683,966;0,1236863;-0,01250351;
685,830;0,1230352;-0,01212026;
687,694;0,1224725;-0,01165979;
689,557;0,121862;-0,01125825;
691,421;0,1213856;-0,01073335;
693,285;0,120976;-0,01015243;
695,149;0,1206486;-0,009499946;
697,012;0,1201439;-0,009035205;
698,876;0,1195638;-0,008656137;
700,740;0,1188721;-0,008398866;
702,603;0,1181205;-0,00821156;
704,467;0,1172695;-0,008133555;
706,331;0,1164275;-0,008056355;
708,194;0,1154574;-0,008116829;
710,058;0,1146125;-0,008061724;
711,922;0,1138453;-0,007938206;
713,785;0,1131832;-0,007718914;
715,649;0,1124811;-0,007548827;
717,513;0,1119164;-0,007250306;
719,376;0,111427;-0,006885499;
721,240;0,110909;-0,006557995;
723,104;0,1102515;-0,006378773;
724,967;0,1096755;-0,006126582;
726,831;0,1090031;-0,005979193;
728,695;0,1082479;-0,005923065;
730,558;0,1073769;-0,005990953;
732,422;0,1066486;-0,005924382;
734,286;0,1058842;-0,005901853;
736,149;0,1052263;-0,005780835;
738,013;0,1047563;-0,005479719;
739,877;0,1043387;-0,005134004;
741,740;0,1038191;-0,004897887;
743,604;0,1033911;-0,004577766;
745,468;0,1029502;-0,004278064;
747,331;0,102526;-0,003968962;
749,195;0,1021538;-0,003615134;
751,059;0,1018574;-0,00319268;
752,922;0,1015701;-0,002768258;
754,786;0,1012892;-0,002344452;
756,650;0,100847;-0,002088823;
758,513;0,100454;-0,001790929;
760,377;0,1001307;-0,00143004;
762,241;0,09989124;-0,0009919276;
764,104;0,0996519;-0,0005603453;
765,968;0,09939191;-0,0001559221;
767,832;0,09905918;0,0001693273;
769,695;0,09872602;0,0004877838;
771,559;0,09847368;0,0008807863;
773,423;0,09839154;0,001437774;
775,286;0,09839751;0,002076746;
777,150;0,09863125;0,002937432;
779,014;0,09879048;0,00371763;
780,877;0,09875408;0,004296276;
782,741;0,09852459;0,004675987;
784,605;0,09814947;0,004904296;
786,468;0,09769175;0,005044299;
788,332;0,09716314;0,005107776;
790,196;0,096644;0,005175138;
792,059;0,09618446;0,005296605;
793,923;0,09579555;0,005483256;
795,787;0,09560327;0,005861167;
797,650;0,09536342;0,006186178;
799,514;0,09497874;0,006361108;
801,378;0,09445907;0,006395857;
803,241;0,09406463;0,006550703;
805,105;0,09381137;0,006841648;
806,969;0,09351485;0,007084322;
808,832;0,09302265;0,007126366;
810,696;0,09249605;0,007129094;
812,560;0,09188005;0,007037585;
814,423;0,09119882;0,006876054;
816,287;0,09047754;0,006669746;
818,151;0,08973735;0,006439836;
820,014;0,08899123;0,006199374;
821,878;0,08843106;0,006140281;
823,742;0,08796313;0,006168911;
825,605;0,08746003;0,006157887;
827,469;0,08688411;0,006069627;
829,333;0,08632353;0,005992328;
831,196;0,08587771;0,006025466;
833,060;0,08552597;0,006148416;
834,924;0,08504924;0,006142141;
836,787;0,08448918;0,006048353;
838,651;0,08386638;0,005887688;
840,515;0,08321833;0,005697689;
842,378;0,08249928;0,005432634;
844,242;0,08186503;0,00524839;
846,106;0,08130002;0,005129425;
847,969;0,08094219;0,005213738;
849,833;0,08061972;0,005329528;
851,697;0,0803821;0,005526345;
