;Apr27_TPC_08-02-0_LMW;Apr27_TPC_08-02-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1002169;0,01615195;
652,284;0,1059687;0,02251365;
654,148;0,1168595;0,0340075;
656,011;0,1271221;0,0448663;
657,875;0,1267936;0,04512725;
659,739;0,1154822;0,03439863;
661,602;0,1019141;0,02140681;
663,466;0,09212324;0,01218576;
665,330;0,08650276;0,007128735;
667,193;0,0839687;0,005151837;
669,057;0,08270583;0,004439938;
670,921;0,0806844;0,002963375;
672,784;0,07922146;0,002039284;
674,648;0,07792238;0,001273112;
676,512;0,07695445;0,0008322439;
678,375;0,07616346;0,0005625302;
680,239;0,07563482;0,0005494705;
682,103;0,07515878;0,0005833929;
683,966;0,07483121;0,0007602398;
685,830;0,07458772;0,001015699;
687,694;0,07451488;0,001436422;
689,557;0,0743782;0,001787973;
691,421;0,07437234;0,002265105;
693,285;0,07415463;0,002525203;
695,149;0,07389603;0,002739301;
697,012;0,07381728;0,0031282;
698,876;0,07369884;0,003472437;
700,740;0,07355783;0,003789196;
702,603;0,07347445;0,004158748;
704,467;0,07319476;0,004327201;
706,331;0,07309651;0,00467238;
708,194;0,07312305;0,005137695;
710,058;0,07331821;0,005767031;
711,922;0,07353433;0,006412794;
713,785;0,07394979;0,007253427;
715,649;0,0740792;0,007803592;
717,513;0,07337117;0,007511946;
719,376;0,07297897;0,007531837;
721,240;0,07300707;0,00796778;
723,104;0,07311144;0,00847579;
724,967;0,07341148;0,00917534;
726,831;0,07367938;0,009838658;
728,695;0,07399651;0,01054717;
730,558;0,07442585;0,01136391;
732,422;0,07490197;0,01222349;
734,286;0,07531873;0,01301984;
736,149;0,07596065;0,01403751;
738,013;0,07665147;0,0151003;
739,877;0,07723289;0,01604994;
741,740;0,07769691;0,0168785;
743,604;0,07824321;0,01778569;
745,468;0,07889552;0,01879529;
747,331;0,07936626;0,01961976;
749,195;0,07949678;0,02010051;
751,059;0,07955718;0,02050766;
752,922;0,07941274;0,02070655;
754,786;0,07897376;0,02060752;
756,650;0,07809644;0,02006681;
758,513;0,07702044;0,01932411;
760,377;0,07576786;0,01840158;
762,241;0,0744204;0,01738095;
764,104;0,07301592;0,01630011;
765,968;0,07150564;0,01511034;
767,832;0,06995625;0,01387835;
769,695;0,06866618;0,01290262;
771,559;0,06751661;0,01206435;
773,423;0,06645557;0,01131162;
775,286;0,0653351;0,0104965;
777,150;0,0644101;0,00987393;
779,014;0,06355881;0,009322189;
780,877;0,06277695;0,008837019;
782,741;0,06206392;0,008417859;
784,605;0,06139775;0,008042776;
786,468;0,06084203;0,007775396;
788,332;0,06045655;0,007675532;
790,196;0,06003574;0,007537649;
792,059;0,05964239;0,007424568;
793,923;0,05935212;0,007411942;
795,787;0,05910381;0,007438673;
797,650;0,05881142;0,007418773;
799,514;0,05873316;0,007610463;
801,378;0,05878851;0,007933256;
803,241;0,05904991;0,008459629;
805,105;0,0595227;0,009194939;
806,969;0,06046112;0,01039346;
808,832;0,06245436;0,0126444;
810,696;0,06448176;0,01492715;
812,560;0,06553871;0,01623711;
814,423;0,06848407;0,01943317;
816,287;0,07565597;0,02685348;
818,151;0,08955977;0,04100344;
820,014;0,1149848;0,06667238;
821,878;0,152108;0,1040373;
823,742;0,1751353;0,1273042;
825,605;0,1527022;0,1051084;
827,469;0,1071021;0,05974359;
829,333;0,07505192;0,0279265;
831,196;0,06139076;0,01449638;
833,060;0,05638885;0,00972346;
834,924;0,05387159;0,007433133;
836,787;0,05228609;0,006072566;
838,651;0,05115767;0,005167067;
840,515;0,05058035;0,004810709;
842,378;0,05023395;0,004683316;
844,242;0,04980271;0,004469147;
846,106;0,04959966;0,00448127;
847,969;0,04954272;0,004637609;
849,833;0,0494334;0,004739698;
851,697;0,04932747;0,004843338;
853,560;0,04914534;0,004868951;
855,424;0,0489739;0,004903447;
857,288;0,04879921;0,004932902;
859,151;0,04866951;0,00500558;
861,015;0,04861999;0,005156698;
862,879;0,04864229;0,0053779;
864,742;0,04861145;0,005544253;
866,606;0,04871632;0,005844613;
868,470;0,04871753;0,006039654;
870,333;0,04843845;0,005952736;
872,197;0,0481966;0,005901415;
874,061;0,04806385;0,005957578;
875,924;0,04796974;0,006050765;
877,788;0,04796926;0,006236004;
879,652;0,04800852;0,006459407;
881,515;0,04813896;0,00677244;
883,379;0,04819944;0,007013975;
885,243;0,04825809;0,007252156;
887,106;0,04836488;0,007536969;
888,970;0,04854133;0,007889958;
890,834;0,0487535;0,008277188;
892,697;0,04890469;0,008601984;
894,561;0,04901852;0,008887973;
896,425;0,04915743;0,009197615;
898,288;0,04933823;0,009547735;
900,152;0,04959802;0,009975435;
902,016;0,0498059;0,01034985;
903,879;0,05004758;0,01075669;
905,743;0,05020645;0,01107937;
907,607;0,05042087;0,01145625;
909,470;0,05066988;0,01186639;
911,334;0,05091587;0,01227221;
913,198;0,05110443;0,01261928;
915,061;0,05127043;0,01294251;
916,925;0,05152868;0,01335671;
918,789;0,05187024;0,01385296;
920,652;0,05219505;0,01433121;
922,516;0,05253102;0,01481939;
924,380;0,05275586;0,01519521;
926,243;0,05297218;0,01556128;
928,107;0,05328129;0,01601896;
929,971;0,0536276;0,01651265;
931,834;0,05393916;0,01697041;
933,698;0,0542514;0,01742768;
935,562;0,05449753;0,01781769;
937,425;0,05479306;0,01825596;
939,289;0,05512227;0,01872678;
941,153;0,05549221;0,01923721;
943,016;0,05589993;0,01978431;
944,880;0,05624966;0,02027232;
946,744;0,05652428;0,02068413;
948,607;0,05687673;0,02117271;
950,471;0,05736253;0,02179356;
952,335;0,05782189;0,02238692;
954,198;0,0581476;0,02284559;
956,062;0,05847723;0,02330713;
957,926;0,0589393;0,0239001;
959,789;0,05944866;0,02453934;
961,653;0,05989976;0,02511932;
963,517;0,06043375;0,02578119;
965,380;0,06105804;0,02653237;
967,244;0,06174293;0,02734318;
969,108;0,06242698;0,02815219;
970,972;0,06312481;0,028974;
972,835;0,06388914;0,02986139;
974,699;0,06482705;0,0309214;
976,563;0,06582669;0,03204222;
978,426;0,06714401;0,0334798;
980,290;0,06852012;0,03497524;
982,154;0,06899316;0,03556672;
984,017;0,06855515;0,03524626;
985,881;0,06846954;0,0352773;
987,745;0,06900195;0,03592549;
989,608;0,06976677;0,03680522;
991,472;0,07053093;0,03768342;
993,336;0,07140064;0,03866633;
995,199;0,0723914;0,03976942;
997,063;0,07355271;0,04104224;
998,927;0,07475902;0,04235923;
1000,790;0,07588834;0,04359839;
1002,654;0,07644775;0,04426685;
1004,518;0,07646735;0,04439467;
1006,381;0,07656057;0,04459532;
1008,245;0,07703334;0,04517472;
1010,109;0,07776512;0,04601236;
1011,972;0,07861822;0,04697052;
1013,836;0,07951103;0,04796764;
1015,700;0,08056787;0,04912802;
1017,563;0,08174738;0,0504103;
1019,427;0,08295607;0,05172103;
1021,291;0,08421454;0,05308078;
1023,154;0,08566125;0,05462804;
1025,018;0,08720946;0,05627607;
1026,882;0,08884592;0,05801163;
1028,745;0,09053064;0,05979473;
1030,609;0,09228667;0,06164842;
1032,473;0,09419255;0,06365127;
1034,336;0,09619258;0,06574757;
1036,200;0,09826493;0,0679155;
1038,064;0,10058;0,07032541;
1039,927;0,1029792;0,07281887;
1041,791;0,1054563;0,07538952;
1043,655;0,108174;0,07820007;
1045,518;0,1112758;0,08139404;
1047,382;0,1148557;0,08506551;
1049,246;0,1186211;0,08892183;
1051,109;0,1207324;0,09112345;
1052,973;0,1222308;0,09271145;
1054,837;0,1250326;0,09560222;
1056,700;0,1285951;0,09925311;
1058,564;0,1324082;0,1031539;
1060,428;0,1365669;0,1073997;
1062,291;0,1410188;0,1119382;
1064,155;0,1457454;0,1167507;
1066,019;0,1507418;0,1218324;
1067,882;0,1562437;0,1274191;
1069,746;0,1621399;0,1333994;
1071,610;0,1682749;0,1396179;
1073,473;0,1745734;0,1459994;
1075,337;0,1809825;0,1524909;
1077,201;0,1873648;0,158955;
1079,064;0,1937318;0,1654032;
1080,928;0,199814;0,1715661;
1082,792;0,205577;0,1774093;
1084,655;0,2108734;0,1827853;
1086,519;0,2156811;0,187672;
1088,383;0,2197297;0,1917992;
1090,246;0,22274;0,1948874;
1092,110;0,2242243;0,1964491;
1093,974;0,2239921;0,1962939;
1095,837;0,2221712;0,1945494;
1097,701;0,2192583;0,1917123;
1099,565;0,2155148;0,1880442;
1101,428;0,2117022;0,1843065;
1103,292;0,2082358;0,1809144;
1105,156;0,2053248;0,1780773;
1107,019;0,2030934;0,1759192;
1108,883;0,2019232;0,1748219;
1110,747;0,2017716;0,1747427;
1112,610;0,2026795;0,1757225;
1114,474;0,2045878;0,1777021;
1116,338;0,2074859;0,1806712;
1118,201;0,210832;0,1840877;
1120,065;0,2140993;0,187425;
1121,929;0,2160335;0,1894287;
1123,792;0,2151471;0,1886114;
1125,656;0,2111971;0,18473;
1127,520;0,2061522;0,1797533;
1129,383;0,2020931;0,1757618;
1131,247;0,2001585;0,1738945;
1133,111;0,1998414;0,1736442;
1134,974;0,1999536;0,1738229;
1136,838;0,1992052;0,1731403;
1138,702;0,1970251;0,1710258;
1140,565;0,1936113;0,1676771;
1142,429;0,1894961;0,1636265;
1144,293;0,1850476;0,1592423;
1146,156;0,1806556;0,1549141;
1148,020;0,1762873;0,1506092;
1149,884;0,1720488;0,1464337;
1151,747;0,1678272;0,1422748;
1153,611;0,1637157;0,1382254;
1155,475;0,1596731;0,1342446;
1157,338;0,1555719;0,1302048;
1159,202;0,1513318;0,1260257;
1161,066;0,1470133;0,1217678;
1162,929;0,1426238;0,1174385;
1164,793;0,1383266;0,1132012;
1166,657;0,1342064;0,1091404;
1168,520;0,1304297;0,1054228;
1170,384;0,1271015;0,1021533;
1172,248;0,1243688;0,09947887;
1174,111;0,1223366;0,09750468;
1175,975;0,1211886;0,09641423;
1177,839;0,1209001;0,09618298;
1179,702;0,1216161;0,0969559;
1181,566;0,1234177;0,09881398;
1183,430;0,1263257;0,1017782;
1185,293;0,1301945;0,1057027;
1187,157;0,1345773;0,1101409;
1189,021;0,1384019;0,1140207;
1190,884;0,1407834;0,116457;
1192,748;0,1413245;0,1170524;
1194,612;0,140089;0,115871;
1196,475;0,1372971;0,1131329;
1198,339;0,1335896;0,1094788;
1200,203;0,1293324;0,1052746;
1202,066;0,1248379;0,1008329;
1203,930;0,120449;0,09649644;
1205,794;0,1164301;0,09252962;
1207,657;0,112867;0,08901825;
1209,521;0,1099208;0,08612354;
1211,385;0,107589;0,0838429;
1213,248;0,1057828;0,08208745;
