;Jun30_TPC_1-0-0_LMW;Jun30_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,08640618;0,01195203;
652,284;0,09180319;0,01803784;
654,148;0,1010045;0,02791822;
656,011;0,1082242;0,03580725;
657,875;0,1061954;0,03443847;
659,739;0,09599768;0,02489144;
661,602;0,08499621;0,01453154;
663,466;0,07739331;0,007561238;
665,330;0,07295717;0,003748872;
667,193;0,07081766;0,002224463;
669,057;0,0703212;0,002334566;
670,921;0,06883403;0,001445579;
672,784;0,06760248;0,0008039532;
674,648;0,06642432;0,0002076032;
676,512;0,06547564;-0,0001672398;
678,375;0,0646957;-0,0003811951;
680,239;0,06399357;-0,0005250667;
682,103;0,0633254;-0,0006425716;
683,966;0,06298449;-0,0004402852;
685,830;0,06265365;-0,0002352819;
687,694;0,06235304;-7,27729E-6;
689,557;0,06205481;0,0002159862;
691,421;0,06195566;0,0006313311;
693,285;0,06196754;0,00115082;
695,149;0,06185402;0,001538137;
697,012;0,06160953;0,001787811;
698,876;0,06160231;0,002268193;
700,740;0,06142583;0,002572863;
702,603;0,06126615;0,002887967;
704,467;0,06112969;0,003220042;
706,331;0,06120083;0,003753559;
708,194;0,06126289;0,004271935;
710,058;0,06140858;0,004867972;
711,922;0,06170998;0,005613855;
713,785;0,06222291;0,00656548;
715,649;0,06236649;0,007142073;
717,513;0,06177475;0,006977741;
719,376;0,06136808;0,006992965;
721,240;0,06150355;0,007544898;
723,104;0,06169141;0,008143876;
724,967;0,06198548;0,008843799;
726,831;0,06230414;0,00956313;
728,695;0,0627078;0,01036235;
730,558;0,06316674;0,01121183;
732,422;0,06366932;0,01210001;
734,286;0,06423738;0,01304878;
736,149;0,06480509;0,01399241;
738,013;0,06522573;0,01478423;
739,877;0,06580306;0,01572809;
741,740;0,06642307;0,01671004;
743,604;0,06693451;0,0175789;
745,468;0,06737852;0,01837588;
747,331;0,06775148;0,01909743;
749,195;0,06787641;0,01956663;
751,059;0,06794475;0,01997498;
752,922;0,06778216;0,02014821;
754,786;0,06729997;0,01999771;
756,650;0,06652854;0,01955391;
758,513;0,0657336;0,01908257;
760,377;0,06478185;0,01845048;
762,241;0,0635732;0,01755759;
764,104;0,06238357;0,01667989;
765,968;0,0612991;0,01590357;
767,832;0,06011742;0,01502631;
769,695;0,05905556;0,0142652;
771,559;0,05809023;0,013597;
773,423;0,05719598;0,01299631;
775,286;0,05635149;0,01244187;
777,150;0,05556843;0,01194539;
779,014;0,05487146;0,01153159;
780,877;0,05434877;0,0112887;
782,741;0,0538035;0,01101991;
784,605;0,05333879;0,0108284;
786,468;0,05297254;0,01073214;
788,332;0,0526341;0,0106605;
790,196;0,05233881;0,01062888;
792,059;0,05213656;0,0106872;
793,923;0,05191934;0,01072751;
795,787;0,05177365;0,01083635;
797,650;0,05166523;0,01097949;
799,514;0,05174076;0,01130366;
801,378;0,05185291;0,01166157;
803,241;0,05216824;0,01221981;
805,105;0,05265235;0,01294404;
806,969;0,05362359;0,01415263;
808,832;0,05555254;0,0163162;
810,696;0,0576718;0,01866741;
812,560;0,05874389;0,01996878;
814,423;0,06149072;0,02294229;
816,287;0,06827999;0,02995565;
818,151;0,08177944;0,04367666;
820,014;0,1083958;0,07051205;
821,878;0,1499599;0,1122928;
823,742;0,1767342;0,1392812;
825,605;0,1512884;0,1140471;
827,469;0,1016987;0,06466676;
829,333;0,0688798;0,03205481;
831,196;0,05564077;0,01902047;
833,060;0,05084372;0,01442582;
834,924;0,04846886;0,01225111;
836,787;0,04696661;0,01094679;
838,651;0,04603351;0,01020943;
840,515;0,04549342;0,009862915;
842,378;0,0450981;0,009659038;
844,242;0,04469155;0,009441823;
846,106;0,04439792;0,009335444;
847,969;0,04425592;0,009378647;
849,833;0,04419311;0,009499019;
851,697;0,04423538;0,009722479;
853,560;0,04423939;0,009905693;
855,424;0,04417439;0,01001796;
857,288;0,04413127;0,01015019;
859,151;0,04420083;0,0103932;
861,015;0,04433183;0,01069578;
862,879;0,04441095;0,01094463;
864,742;0,04434804;0,01104963;
866,606;0,04439357;0,01126127;
868,470;0,04445543;0,01148746;
870,333;0,04450965;0,01170426;
872,197;0,04449665;0,01185211;
874,061;0,04454978;0,01206438;
875,924;0,04465028;0,01232233;
877,788;0,04472539;0,01255322;
879,652;0,04483605;0,01281802;
881,515;0,04500353;0,01313802;
883,379;0,04519171;0,01347711;
885,243;0,04530663;0,01374136;
887,106;0,04533812;0,01392062;
888,970;0,04558673;0,01431545;
890,834;0,04583929;0,0147127;
892,697;0,04601283;0,01502944;
894,561;0,04615827;0,01531657;
896,425;0,04634143;0,01563997;
898,288;0,04653957;0,0159769;
900,152;0,04681929;0,01639397;
902,016;0,04707414;0,01678476;
903,879;0,04735348;0,01719864;
905,743;0,04759394;0,01757226;
907,607;0,04777667;0,01788679;
909,470;0,04801022;0,01825078;
911,334;0,04828579;0,01865548;
913,198;0,04843883;0,01893632;
915,061;0,04859334;0,01921734;
916,925;0,04884762;0,01959686;
918,789;0,04917725;0,02005045;
920,652;0,04943608;0,02043199;
922,516;0,04969963;0,02081702;
924,380;0,04994464;0,02118228;
926,243;0,0502896;0,02164629;
928,107;0,05062261;0,02209716;
929,971;0,05096173;0,02255296;
931,834;0,05124123;0,02294798;
933,698;0,05155294;0,02337405;
935,562;0,0518735;0,02380784;
937,425;0,05219133;0,02423779;
939,289;0,05253746;0,02469492;
941,153;0,05288813;0,0251555;
943,016;0,05318987;0,02556605;
944,880;0,05354025;0,02602419;
946,744;0,05389518;0,02648581;
948,607;0,05425653;0,02695281;
950,471;0,05460554;0,02740644;
952,335;0,05497634;0,02788083;
954,198;0,05538266;0,02838974;
956,062;0,05577365;0,02888232;
957,926;0,0561452;0,02935448;
959,789;0,05663957;0,02994848;
961,653;0,05716865;0,03057622;
963,517;0,05770451;0,0312098;
965,380;0,05827462;0,03187669;
967,244;0,0588138;0,03251172;
969,108;0,05941653;0,03320937;
970,972;0,06016466;0,03405152;
972,835;0,06091542;0,03489541;
974,699;0,06172478;0,035797;
976,563;0,0627329;0,03689648;
978,426;0,06398366;0,03823773;
980,290;0,06512249;0,03946619;
982,154;0,06543697;0,03986945;
984,017;0,06509324;0,03961366;
985,881;0,06510091;0,03970845;
987,745;0,06561914;0,04031298;
989,608;0,06631773;0,04109705;
991,472;0,06703134;0,04189535;
993,336;0,06785738;0,04280529;
995,199;0,06867872;0,04370974;
997,063;0,06964702;0,04476037;
998,927;0,07075231;0,04594723;
1000,790;0,07171349;0,04698922;
1002,654;0,07205593;0,04741172;
1004,518;0,0720295;0,04746461;
1006,381;0,07216116;0,04767486;
1008,245;0,07258664;0,0481782;
1010,109;0,07327682;0,04894554;
1011,972;0,07418698;0,04993214;
1013,836;0,07508876;0,05090966;
1015,700;0,07603466;0,0519306;
1017,563;0,07710674;0,05307705;
1019,427;0,07828633;0,05433032;
1021,291;0,07950495;0,05562196;
1023,154;0,08080516;0,05699451;
1025,018;0,08218095;0,058442;
1026,882;0,08367565;0,06000774;
1028,745;0,08517538;0,06157787;
1030,609;0,08673809;0,06321035;
1032,473;0,08836073;0,06490214;
1034,336;0,09019004;0,06679997;
1036,200;0,09203726;0,06871509;
1038,064;0,09402646;0,07077158;
1039,927;0,09617578;0,0729876;
1041,791;0,09850452;0,07538244;
1043,655;0,1009459;0,07788933;
1045,518;0,1036229;0,08063127;
1047,382;0,1067679;0,08384061;
1049,246;0,1100965;0,08723305;
1051,109;0,1119728;0,08917253;
1052,973;0,1132994;0,09056183;
1054,837;0,1157753;0,09309982;
1056,700;0,1188725;0,09625855;
1058,564;0,1221093;0,09955641;
1060,428;0,1255809;0,1030885;
1062,291;0,129195;0,1067625;
1064,155;0,1330422;0,1106692;
1066,019;0,1371672;0,1148531;
1067,882;0,141549;0,1192933;
1069,746;0,1461996;0,1240018;
1071,610;0,151003;0,1288625;
1073,473;0,1559055;0,133822;
1075,337;0,160875;0,1388479;
1077,201;0,1656693;0,1436981;
1079,064;0,1703301;0,1484143;
1080,928;0,1747682;0,1529074;
1082,792;0,178971;0,1571647;
