;Jun01_TPC_0-1-0_HMW;Jun01_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1528341;-0,008872807;
652,284;0,1521439;-0,008672264;
654,148;0,1514471;-0,008485925;
656,011;0,1510111;-0,00804623;
657,875;0,1507128;-0,007476303;
659,739;0,1502832;-0,007045001;
661,602;0,1497038;-0,00677071;
663,466;0,1488465;-0,00678162;
665,330;0,1472076;-0,007581165;
667,193;0,1478479;-0,006108564;
669,057;0,1491801;-0,003950988;
670,921;0,1480607;-0,004251892;
672,784;0,1472629;-0,004237996;
674,648;0,1466461;-0,004049752;
676,512;0,1459622;-0,003935316;
678,375;0,1449854;-0,004120357;
680,239;0,1441176;-0,004202821;
682,103;0,1433772;-0,004164408;
683,966;0,142693;-0,004076149;
685,830;0,1417233;-0,004279632;
687,694;0,1410206;-0,004222373;
689,557;0,140336;-0,004153073;
691,421;0,1395924;-0,004149008;
693,285;0,1389133;-0,004086343;
695,149;0,1385195;-0,003744425;
697,012;0,1383005;-0,003233492;
698,876;0,1381084;-0,002701551;
700,740;0,1374541;-0,002637616;
702,603;0,1363257;-0,003053481;
704,467;0,1349876;-0,003684604;
706,331;0,133984;-0,003986921;
708,194;0,1328643;-0,004410815;
710,058;0,1318484;-0,004736367;
711,922;0,1310411;-0,004858757;
713,785;0,1303002;-0,004920084;
715,649;0,1293245;-0,005221539;
717,513;0,128626;-0,005251053;
719,376;0,12811;-0,005103293;
721,240;0,1274903;-0,005064266;
723,104;0,126709;-0,005191989;
724,967;0,125996;-0,005256456;
726,831;0,1254115;-0,00519743;
728,695;0,1250382;-0,004932024;
730,558;0,1244225;-0,004914021;
732,422;0,1235592;-0,005148338;
734,286;0,1227974;-0,005286006;
736,149;0,1223839;-0,005080105;
738,013;0,1220538;-0,00479549;
739,877;0,1219211;-0,00431816;
741,740;0,1216971;-0,003936612;
743,604;0,1211879;-0,003844868;
745,468;0,1205017;-0,003934716;
747,331;0,1200637;-0,00378072;
749,195;0,1197309;-0,003525935;
751,059;0,1193113;-0,003362362;
752,922;0,1188332;-0,003261554;
754,786;0,1185751;-0,002945021;
756,650;0,1182799;-0,002669862;
758,513;0,1178346;-0,002548999;
760,377;0,117179;-0,00264267;
762,241;0,1167354;-0,002528383;
764,104;0,1163767;-0,002333234;
765,968;0,1160165;-0,00214374;
767,832;0,1155641;-0,002050355;
769,695;0,1150986;-0,001973983;
771,559;0,1145326;-0,002002108;
773,423;0,1140923;-0,0019084;
775,286;0,1138624;-0,001608146;
777,150;0,1136852;-0,001259033;
779,014;0,1132554;-0,001166244;
780,877;0,1128941;-0,001008749;
782,741;0,1125433;-0,0008444334;
784,605;0,1121125;-0,0007637142;
786,468;0,1116573;-0,000711074;
788,332;0,1111547;-0,0007094412;
790,196;0,1107695;-0,0005939636;
792,059;0,1105779;-0,0002884156;
793,923;0,1102797;-9,298134E-5;
795,787;0,1099909;0,000108446;
797,650;0,1097254;0,0003296603;
799,514;0,1095372;0,0006248036;
801,378;0,1093925;0,0009600799;
803,241;0,1093831;0,001427307;
805,105;0,1093698;0,001887343;
806,969;0,1092325;0,002220189;
808,832;0,1088547;0,002309143;
810,696;0,1083703;0,002288324;
812,560;0,1077742;0,002152656;
814,423;0,1071101;0,001945798;
816,287;0,1065488;0,001838701;
818,151;0,1061739;0,001914839;
820,014;0,1058751;0,002063972;
821,878;0,105719;0,002352757;
823,742;0,1055503;0,002625979;
825,605;0,1054209;0,002935474;
827,469;0,1054661;0,003416602;
829,333;0,1059667;0,004350219;
831,196;0,1065441;0,005357791;
833,060;0,1068546;0,00609549;
834,924;0,1069621;0,006627322;
836,787;0,1066786;0,006765363;
838,651;0,1058033;0,006308755;
840,515;0,1045939;0,005515356;
842,378;0,1032356;0,004570259;
844,242;0,1019461;0,003691164;
846,106;0,1006929;0,002845671;
847,969;0,09957891;0,00213678;
849,833;0,09857017;0,001530432;
851,697;0,09756884;0,0009288526;
853,560;0,09678425;0,0005413991;
855,424;0,09631943;0,0004711274;
857,288;0,09598695;0,0005306268;
859,151;0,09574126;0,0006743631;
861,015;0,09539713;0,0007171388;
862,879;0,0950428;0,0007472078;
864,742;0,09487029;0,0009566072;
866,606;0,09486962;0,001335389;
868,470;0,09491655;0,001759331;
870,333;0,09496545;0,002182828;
872,197;0,09495869;0,002548262;
874,061;0,09491108;0,002870475;
875,924;0,094756;0,003082847;
877,788;0,09464618;0,003338149;
879,652;0,09452059;0,003575365;
881,515;0,09439848;0,00381376;
883,379;0,09439327;0,004166773;
885,243;0,09454808;0,004677554;
887,106;0,09474895;0,005232145;
888,970;0,09481995;0,005654651;
890,834;0,09486214;0,006046136;
892,697;0,09496463;0,006495742;
894,561;0,09500165;0,006877699;
896,425;0,09512648;0,007345327;
898,288;0,09550267;0,008062183;
900,152;0,095975;0,008873059;
902,016;0,09621347;0,009447985;
903,879;0,09646903;0,01003792;
905,743;0,09707029;0,0109715;
907,607;0,09779226;0,01202374;
909,470;0,09842847;0,01298819;
911,334;0,09912063;0,01400658;
913,198;0,09981854;0,01502872;
915,061;0,1002981;0,01583053;
916,925;0,1006129;0,01646564;
918,789;0,1009559;0,017127;
920,652;0,101288;0,01777544;
922,516;0,1017006;0,01850258;
924,380;0,1020606;0,01917516;
926,243;0,1023529;0,01977817;
928,107;0,1027382;0,02047237;
929,971;0,1032278;0,02126894;
931,834;0,1037025;0,02204874;
933,698;0,1041987;0,02284824;
935,562;0,1048392;0,02379033;
937,425;0,105794;0,02504477;
939,289;0,1067973;0,02634602;
941,153;0,1077467;0,02759163;
943,016;0,1087636;0,02890291;
944,880;0,1098733;0,03030529;
946,744;0,1110025;0,03172544;
948,607;0,1123656;0,0333778;
950,471;0,1138923;0,03519195;
952,335;0,1153806;0,03696612;
954,198;0,1168624;0,03873212;
956,062;0,1184266;0,04057883;
957,926;0,1200007;0,04243377;
959,789;0,1217454;0,04445775;
961,653;0,1236366;0,04662647;
963,517;0,1254949;0,0487608;
965,380;0,1273119;0,05085216;
967,244;0,1293048;0,0531179;
969,108;0,1313449;0,05542927;
970,972;0,133221;0,0575751;
972,835;0,1349868;0,05960895;
974,699;0,1366618;0,06155064;
976,563;0,1380306;0,0631845;
978,426;0,1391019;0,06451929;
980,290;0,1399169;0,06559633;
982,154;0,1403768;0,06631681;
984,017;0,1404323;0,06663142;
985,881;0,1403582;0,06681496;
987,745;0,1402633;0,06697617;
989,608;0,1401935;0,06716111;
991,472;0,1403094;0,06753036;
993,336;0,1406457;0,06811846;
995,199;0,1410859;0,06880914;
997,063;0,1416987;0,069671;
998,927;0,1425355;0,07075542;
1000,790;0,1437086;0,07217474;
1002,654;0,145011;0,07372211;
1004,518;0,1464783;0,07543286;
1006,381;0,1482155;0,07741226;
1008,245;0,1500657;0,07950334;
1010,109;0,1519152;0,08159233;
1011,972;0,1538934;0,08380876;
1013,836;0,1559365;0,08608871;
1015,700;0,1579463;0,08833403;
1017,563;0,159835;0,09045708;
1019,427;0,1615913;0,0924463;
1021,291;0,1631942;0,09428101;
1023,154;0,1645295;0,09584672;
1025,018;0,1655899;0,09713633;
1026,882;0,1664658;0,09824016;
1028,745;0,1670758;0,09907691;
1030,609;0,1675354;0,09976198;
1032,473;0,1678842;0,1003351;
1034,336;0,16811;0,1007839;
1036,200;0,168156;0,1010517;
1038,064;0,168103;0,1012194;
1039,927;0,1679308;0,1012667;
1041,791;0,1676812;0,1012354;
1043,655;0,167422;0,1011933;
1045,518;0,1671955;0,1011828;
1047,382;0,1668175;0,1010196;
1049,246;0,1663162;0,100732;
1051,109;0,1659524;0,1005807;
1052,973;0,1656205;0,1004602;
1054,837;0,1651552;0,1002052;
1056,700;0,1645477;0,09980683;
1058,564;0,1635596;0,09902683;
1060,428;0,162232;0,09790623;
1062,291;0,1607879;0,09666803;
1064,155;0,1593639;0,09544877;
1066,019;0,1579089;0,09419754;
1067,882;0,1563751;0,09286643;
1069,746;0,1547826;0,09147554;
1071,610;0,1531303;0,09002384;
1073,473;0,1513811;0,08847414;
1075,337;0,1496457;0,08693722;
1077,201;0,1479224;0,08541137;
1079,064;0,1462419;0,08392724;
1080,928;0,1445439;0,08242471;
1082,792;0,1428657;0,08094088;
1084,655;0,1412366;0,07950518;
1086,519;0,1396065;0,07806749;
1088,383;0,137952;0,07660438;
1090,246;0,1362325;0,07507541;
1092,110;0,1344871;0,07351948;
1093,974;0,1328004;0,07202123;
1095,837;0,1311277;0,07053612;
1097,701;0,1294971;0,06909209;
1099,565;0,1278715;0,06765207;
1101,428;0,1262122;0,06617746;
1103,292;0,1245357;0,06468473;
1105,156;0,122941;0,06327293;
1107,019;0,1214727;0,06198648;
1108,883;0,1202625;0,06095733;
1110,747;0,1192553;0,06013017;
1112,610;0,1184375;0,05949154;
1114,474;0,1177658;0,05899813;
1116,338;0,1171036;0,05851327;
1118,201;0,1163447;0,0579309;
1120,065;0,115517;0,05727888;
1121,929;0,1146133;0,05654984;
1123,792;0,113612;0,05572241;
1125,656;0,1124472;0,05473068;
1127,520;0,1111424;0,05359803;
1129,383;0,1098045;0,05243148;
1131,247;0,108443;0,05124036;
1133,111;0,1070358;0,0500028;
1134,974;0,1055936;0,0487294;
1136,838;0,104135;0,04743877;
1138,702;0,1026494;0,04612034;
1140,565;0,1012522;0,04488944;
1142,429;0,09996355;0,04376625;
1144,293;0,09868973;0,04265713;
1146,156;0,09749817;0,04162946;
1148,020;0,09637608;0,04067046;
1149,884;0,09527822;0,0397349;
1151,747;0,09413494;0,03875313;
1153,611;0,09302283;0,03780175;
1155,475;0,09191732;0,0368562;
1157,338;0,09080698;0,03590503;
1159,202;0,08978356;0,03504003;
1161,066;0,08889038;0,03430449;
1162,929;0,08814105;0,03371206;
1164,793;0,08741442;0,03314157;
1166,657;0,08661849;0,03250103;
1168,520;0,08585093;0,03188813;
1170,384;0,08516812;0,03135923;
1172,248;0,08458;0,03092428;
1174,111;0,08399724;0,03049398;
1175,975;0,08340759;0,03005605;
1177,839;0,08300966;0,02980913;
1179,702;0,08277438;0,02972414;
1181,566;0,08265728;0,02975662;
1183,430;0,08271457;0,02996278;
1185,293;0,08288623;0,03028262;
1187,157;0,08315489;0,03069876;
1189,021;0,08355505;0,0312457;
