;Apr20_TPC_06-02-02_HMW;Apr20_TPC_06-02-02_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1272603;0,01569077;
652,284;0,1264886;0,01545218;
654,148;0,1259678;0,01546006;
656,011;0,1253053;0,01532169;
657,875;0,1246677;0,01520378;
659,739;0,1241232;0,01517449;
661,602;0,1235686;0,01513083;
663,466;0,1226558;0,01472471;
665,330;0,1211596;0,01373087;
667,193;0,1206051;0,01367456;
669,057;0,1212957;0,01485923;
670,921;0,1204292;0,01448257;
672,784;0,1197004;0,01423959;
674,648;0,1190234;0,0140445;
676,512;0,1183394;0,0138383;
678,375;0,1176296;0,01360243;
680,239;0,1170808;0,01352362;
682,103;0,1165492;0,0134582;
683,966;0,1160559;0,01342731;
685,830;0,1152928;0,01312281;
687,694;0,1146563;0,01294117;
689,557;0,1142261;0,01296215;
691,421;0,1138695;0,01305314;
693,285;0,1133379;0,01296545;
695,149;0,1129268;0,01299476;
697,012;0,1124575;0,0129623;
698,876;0,1119659;0,01290407;
700,740;0,1113684;0,01273656;
702,603;0,1106314;0,01242606;
704,467;0,1096962;0,01191395;
706,331;0,1088944;0,01153193;
708,194;0,108205;0,01125894;
710,058;0,1075764;0,01104355;
711,922;0,1067879;0,010665;
713,785;0,1061062;0,01039003;
715,649;0,1055011;0,01018851;
717,513;0,1049008;0,009988625;
719,376;0,1042944;0,009779584;
721,240;0,1037771;0,009656465;
723,104;0,1031733;0,009443947;
724,967;0,1025876;0,009246354;
726,831;0,102013;0,009056955;
728,695;0,1015093;0,008935522;
730,558;0,1009553;0,008760856;
732,422;0,100414;0,008596053;
734,286;0,09978793;0,008343509;
736,149;0,09925971;0,008186034;
738,013;0,09878021;0,008074471;
739,877;0,09839657;0,00805599;
741,740;0,09810057;0,008122397;
743,604;0,09776315;0,00814467;
745,468;0,09731676;0,008055266;
747,331;0,09691145;0,008004283;
749,195;0,09661239;0,00805691;
751,059;0,09628623;0,008079822;
752,922;0,09591849;0,008058563;
754,786;0,09570085;0,008184848;
756,650;0,09543338;0,008258754;
758,513;0,09499887;0,008163116;
760,377;0,09458969;0,008090315;
762,241;0,09440376;0,008238295;
764,104;0,09417214;0,008338151;
765,968;0,09386437;0,008359446;
767,832;0,09358962;0,008411356;
769,695;0,09335805;0,008504078;
771,559;0,0930986;0,00856658;
773,423;0,09281321;0,008600814;
775,286;0,09258063;0,008685559;
777,150;0,09243684;0,008856805;
779,014;0,09231923;0,009051978;
780,877;0,09214605;0,009189343;
782,741;0,09190671;0,00925833;
784,605;0,09161572;0,009273484;
786,468;0,09138484;0,009346565;
788,332;0,09111556;0,009379088;
790,196;0,09071433;0,009277532;
792,059;0,09028422;0,009144987;
793,923;0,0897678;0,008924041;
795,787;0,0893602;0,008809839;
797,650;0,08878649;0,008527466;
799,514;0,08817996;0,008210246;
801,378;0,0876942;0,008011775;
803,241;0,08733244;0,007935307;
805,105;0,08692495;0,007811132;
806,969;0,08640262;0,007570159;
808,832;0,08587684;0,007323794;
810,696;0,08542341;0,007147852;
812,560;0,0848356;0,006835617;
814,423;0,08413801;0,006411719;
816,287;0,0834052;0,005950728;
818,151;0,08274105;0,00555654;
820,014;0,08207978;0,005163389;
821,878;0,08148893;0,004838838;
823,742;0,08093148;0,004545886;
825,605;0,08031628;0,004193392;
827,469;0,07966613;0,003804182;
829,333;0,0790654;0,003462626;
831,196;0,07849497;0,003149636;
833,060;0,07800702;0,00291739;
834,924;0,0775329;0,002697275;
836,787;0,07703553;0,002452211;
838,651;0,07646503;0,002132333;
840,515;0,07582535;0,001741606;
842,378;0,07522059;0,001384155;
844,242;0,07471333;0,001122568;
846,106;0,0741934;0,0008466934;
847,969;0,07365036;0,0005460953;
849,833;0,07311645;0,0002530353;
851,697;0,07266274;3,859417E-5;
853,560;0,07224015;-0,0001462867;
855,424;0,07190749;-0,0002427977;
857,288;0,07163311;-0,0002825592;
859,151;0,07138013;-0,0003024551;
861,015;0,07109554;-0,0003554658;
862,879;0,07086865;-0,0003522806;
864,742;0,07070732;-0,0002850125;
866,606;0,0705766;-0,0001886111;
868,470;0,07042077;-0,0001187894;
870,333;0,07036146;4,611428E-5;
872,197;0,07031622;0,0002236473;
874,061;0,07029925;0,0004280359;
875,924;0,07023092;0,0005796455;
877,788;0,07013408;0,0007013408;
879,652;0,07019206;0,0009764786;
881,515;0,07033631;0,001336507;
883,379;0,07030063;0,001515239;
885,243;0,07021874;0,001646408;
887,106;0,07014573;0,001785113;
888,970;0,07020403;0,002053809;
890,834;0,07029523;0,002354079;
892,697;0,07032608;0,002592683;
894,561;0,07038577;0,002858837;
896,425;0,07052577;0,00320402;
898,288;0,0706588;0,003540955;
900,152;0,07075602;0,003840811;
902,016;0,07083775;0,004123919;
903,879;0,07105925;0,004545566;
905,743;0,0713862;0,00507142;
907,607;0,07167719;0,005560081;
909,470;0,07195816;0,00603752;
