;Mar30_TPC_0-0-1_HMW;Mar30_TPC_0-0-1_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1527287;0,009001458;
652,284;0,1519944;0,0090614;
654,148;0,1510363;0,008890844;
656,011;0,1502437;0,008878998;
657,875;0,1497913;0,009200793;
659,739;0,1491888;0,009365944;
661,602;0,1484181;0,009356451;
663,466;0,1471833;0,00887631;
665,330;0,1453877;0,007829149;
667,193;0,1451855;0,008369139;
669,057;0,1458744;0,009793992;
670,921;0,1445647;0,009214144;
672,784;0,1435766;0,008949823;
674,648;0,1427886;0,008879609;
676,512;0,1420869;0,00888974;
678,375;0,1411585;0,008667334;
680,239;0,1404941;0,008703119;
682,103;0,1398132;0,008716684;
683,966;0,1391303;0,008722621;
685,830;0,1383608;0,008636343;
687,694;0,1377861;0,008739249;
689,557;0,1370664;0,008691726;
691,421;0,1365117;0,008803776;
693,285;0,1360658;0,00901927;
695,149;0,1354529;0,009062447;
697,012;0,1345448;0,008805089;
698,876;0,1337124;0,008618312;
700,740;0,1328252;0,00837153;
702,603;0,1318115;0,007993235;
704,467;0,1306841;0,007496222;
706,331;0,1297864;0,00722381;
708,194;0,1288387;0,00689652;
710,058;0,1278866;0,006559984;
711,922;0,1268388;0,006122866;
713,785;0,1260909;0,005980892;
715,649;0,1253828;0,005874016;
717,513;0,1245705;0,005658276;
719,376;0,1236652;0,005344876;
721,240;0,1228744;0,00514134;
723,104;0,1220592;0,004909001;
724,967;0,121351;0,004779058;
726,831;0,1206315;0,004633446;
728,695;0,1198156;0,00438694;
730,558;0,1190278;0,004164299;
732,422;0,118357;0,00405421;
734,286;0,117768;0,004021789;
736,149;0,1172539;0,004059991;
738,013;0,1165931;0,003947345;
739,877;0,1160256;0,003923772;
741,740;0,115529;0,003967102;
743,604;0,1149758;0,003949701;
745,468;0,1143764;0,003882131;
747,331;0,113779;0,003812623;
749,195;0,1130977;0,00365527;
751,059;0,1125142;0,003591742;
752,922;0,1119417;0,003535398;
754,786;0,1114875;0,003593586;
756,650;0,1108822;0,003496785;
758,513;0,1102113;0,003330757;
760,377;0,1096192;0,003239739;
762,241;0,109029;0,003147005;
764,104;0,1084296;0,003041386;
765,968;0,1079192;0,003021263;
767,832;0,1074204;0,003009059;
769,695;0,1069147;0,002986443;
771,559;0,1064045;0,002955894;
773,423;0,1060318;0,003059334;
775,286;0,1057197;0,003219982;
777,150;0,1053681;0,003337699;
779,014;0,1049217;0,003357231;
780,877;0,1043883;0,003286503;
782,741;0,1038212;0,003178733;
784,605;0,1033332;0,003146796;
786,468;0,1029153;0,003181698;
788,332;0,1025321;0,003248066;
790,196;0,1020441;0,003206537;
792,059;0,1015504;0,003156146;
793,923;0,1010006;0,003046523;
795,787;0,1006151;0,003098127;
797,650;0,1004069;0,003323907;
799,514;0,100135;0,003482991;
801,378;0,09982638;0,003602368;
803,241;0,09951684;0,003717846;
805,105;0,09915319;0,003776255;
806,969;0,09885153;0,003893736;
808,832;0,09853218;0,003990636;
810,696;0,0983078;0,004179634;
812,560;0,09805413;0,004336507;
814,423;0,09766568;0,004355778;
816,287;0,09729997;0,004395005;
818,151;0,09706156;0,004558767;
820,014;0,09676314;0,004659784;
821,878;0,09630344;0,0045968;
823,742;0,09593099;0,004618376;
825,605;0,09566374;0,00474249;
827,469;0,09521833;0,004685805;
829,333;0,09475535;0,004608924;
831,196;0,0944443;0,004681383;
833,060;0,09426178;0,004879804;
834,924;0,09405229;0,005048706;
836,787;0,09384447;0,005216752;
838,651;0,09355193;0,005297572;
840,515;0,09316512;0,005281646;
842,378;0,09269845;0,005183402;
844,242;0,09232321;0,005174147;
846,106;0,09198354;0,005198044;
847,969;0,09162115;0,00519683;
849,833;0,09122891;0,005163393;
851,697;0,0908968;0,005187734;
853,560;0,09063237;0,005277412;
855,424;0,09051249;0,005509337;
857,288;0,09036412;0,005710481;
859,151;0,0902186;0,005912207;
861,015;0,09012618;0,006164778;
862,879;0,09001782;0,006399164;
864,742;0,08988518;0,006607075;
866,606;0,08979463;0,006854865;
868,470;0,08979412;0,007190528;
870,333;0,08979118;0,007521607;
872,197;0,08973531;0,007797611;
874,061;0,0897495;0,008141552;
875,924;0,08975179;0,008471495;
877,788;0,08975194;0,008797213;
879,652;0,08972379;0,009092563;
881,515;0,08969135;0,009381573;
883,379;0,08974431;0,009753956;
885,243;0,0898932;0,01022024;
887,106;0,09005909;0,01070154;
888,970;0,09024807;0,01120395;
890,834;0,09043886;0,01170619;
892,697;0,09071366;0,0122905;
894,561;0,09105374;0,01293815;
896,425;0,09135539;0,01354547;
898,288;0,09159197;0,01408581;
900,152;0,09185214;0,01464786;
902,016;0,09214186;0,01523758;
903,879;0,09254973;0,0159436;
905,743;0,09297083;0,01666101;
907,607;0,09344107;0,01742575;
909,470;0,09395605;0,01823341;
911,334;0,09456105;0,01912929;
913,198;0,09522846;0,02008581;
915,061;0,09584891;0,02099361;
916,925;0,09635014;0,02178043;
918,789;0,09694136;0,02265551;
920,652;0,09764884;0,02364512;
922,516;0,09833629;0,02461301;
924,380;0,09905523;0,02561068;
926,243;0,09986766;0,02670016;
928,107;0,100694;0,02780187;
929,971;0,1016517;0,02903333;
931,834;0,1027143;0,03036799;
933,698;0,1037908;0,03171495;
935,562;0,1049379;0,03313093;
937,425;0,1062281;0,03468835;
939,289;0,1074746;0,03620053;
941,153;0,1087754;0,03776541;
943,016;0,1100472;0,0392997;
944,880;0,1113742;0,04088765;
946,744;0,1127335;0,04250643;
948,607;0,114038;0,04406885;
950,471;0,1153317;0,04561884;
952,335;0,1166248;0,04716683;
954,198;0,1178476;0,04864303;
956,062;0,1190597;0,05010706;
957,926;0,1202781;0,05157588;
959,789;0,1215714;0,05311813;
961,653;0,1230062;0,05480051;
963,517;0,1246038;0,05664422;
965,380;0,1262228;0,05850786;
967,244;0,1278656;0,06039392;
969,108;0,1294483;0,06221849;
970,972;0,1310192;0,06402988;
972,835;0,1324672;0,06571693;
974,699;0,1338371;0,06732455;
976,563;0,1351875;0,06891136;
978,426;0,1365838;0,07054265;
980,290;0,1379677;0,07216016;
982,154;0,139472;0,07389684;
984,017;0,1410912;0,07574704;
985,881;0,1427995;0,07768505;
987,745;0,1445627;0,07967666;
989,608;0,1464866;0,08182769;
991,472;0,1484332;0,08400021;
993,336;0,1503896;0,08618111;
995,199;0,1523961;0,08841097;
997,063;0,1543864;0,0906233;
998,927;0,156373;0,09283076;
1000,790;0,1584434;0,09512072;
1002,654;0,1604928;0,09738851;
1004,518;0,1624827;0,09959549;
1006,381;0,1644339;0,1017627;
1008,245;0,1663974;0,1039409;
1010,109;0,1682614;0,1060185;
1011,972;0,1700882;0,1080577;
1013,836;0,1718143;0,109995;
1015,700;0,1733838;0,1117745;
1017,563;0,1746757;0,1132754;
1019,427;0,1756357;0,1144431;
1021,291;0,1764844;0,1154984;
1023,154;0,1772958;0,1165153;
1025,018;0,1778858;0,1173097;
1026,882;0,1783298;0,117957;
1028,745;0,1786744;0,1185037;
1030,609;0,1789413;0,1189716;
1032,473;0,1791814;0,1194118;
1034,336;0,17926;0,1196892;
1036,200;0,1790129;0,11964;
1038,064;0,1786951;0,1195189;
1039,927;0,1782837;0,1193031;
1041,791;0,1776277;0,1188419;
1043,655;0,1767372;0,1181449;
1045,518;0,1757616;0,1173619;
