;Jun02_TPC_1-0-0_LMW;Jun02_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
993,336;0,07337915;0,03697412;
995,199;0,07443191;0,03812998;
997,063;0,07563404;0,03943463;
998,927;0,07692597;0,04082851;
1000,790;0,07803318;0,0420371;
1002,654;0,07843333;0,04253806;
1004,518;0,07832711;0,04253209;
1006,381;0,07835385;0,04265853;
1008,245;0,07883225;0,04323608;
1010,109;0,07954898;0,04405141;
1011,972;0,08031412;0,0449146;
1013,836;0,08115895;0,04585694;
1015,700;0,0822115;0,04700647;
1017,563;0,08334914;0,04824055;
1019,427;0,08464022;0,04962755;
1021,291;0,08597825;0,05106097;
1023,154;0,08742355;0,05260113;
1025,018;0,08890153;0,05417346;
1026,882;0,09039851;0,05576429;
1028,745;0,09186092;0,05732003;
1030,609;0,093464;0,05901594;
1032,473;0,09523756;0,06088182;
1034,336;0,09717344;0,06290952;
1036,200;0,09919098;0,06501839;
1038,064;0,1013362;0,06725445;
1039,927;0,1034847;0,06949334;
1041,791;0,1058071;0,07190557;
1043,655;0,1082806;0,07446843;
1045,518;0,1109838;0,0772605;
1047,382;0,114361;0,08072622;
1049,246;0,1180133;0,08446645;
1051,109;0,1196836;0,08622426;
1052,973;0,1205079;0,08713557;
1054,837;0,1227988;0,08951303;
1056,700;0,1259528;0,09275314;
1058,564;0,1292585;0,09614445;
1060,428;0,1326817;0,09965291;
1062,291;0,1361408;0,1031967;
1064,155;0,1397424;0,1068827;
1066,019;0,1435107;0,1107349;
1067,882;0,1475073;0,1148149;
1069,746;0,1514643;0,1188549;
1071,610;0,1554029;0,122876;
1073,473;0,1593372;0,1268925;
1075,337;0,1632459;0,1308829;
1077,201;0,1669847;0,134703;
1079,064;0,1705221;0,1383212;
1080,928;0,1738693;0,1417489;
1082,792;0,1770448;0,1450044;
1084,655;0,1798551;0,1478944;
1086,519;0,1824343;0,1505527;
1088,383;0,1846084;0,1528056;
1090,246;0,1863165;0,1545921;
1092,110;0,1874106;0,1557642;
1093,974;0,1879371;0,1563684;
1095,837;0,1878771;0,1563855;
1097,701;0,187455;0,1560402;
1099,565;0,186777;0,1554386;
1101,428;0,1860583;0,1547959;
1103,292;0,1853324;0,1541457;
1105,156;0,1847808;0,1536694;
1107,019;0,1845061;0,1534696;
1108,883;0,1845478;0,1535858;
1110,747;0,1847537;0,1538658;
1112,610;0,1851296;0,1543155;
1114,474;0,1856787;0,1549379;
1116,338;0,1864155;0,1557478;
1118,201;0,1870312;0,1564361;
1120,065;0,1872296;0,1567069;
1121,929;0,1864555;0,1560047;
1123,792;0,1843325;0,1539532;
1125,656;0,1809288;0,1506208;
1127,520;0,1773849;0,1471477;
1129,383;0,1746886;0,144522;
1131,247;0,1733916;0,1432952;
1133,111;0,1730907;0,143064;
1134,974;0,1729363;0,1429791;
1136,838;0,1719163;0,1420283;
1138,702;0,1697225;0,1399033;
1140,565;0,1666012;0,1368505;
1142,429;0,1631176;0,133435;
1144,293;0,1595307;0,1299159;
1146,156;0,1560758;0,1265285;
1148,020;0,1528781;0,1233979;
1149,884;0,1499568;0,1205434;
1151,747;0,1471874;0,1178405;
1153,611;0,1445354;0,1152547;
1155,475;0,1418202;0,1126053;
1157,338;0,139039;0,1098896;
1159,202;0,1361332;0,1070491;
1161,066;0,1332387;0,1042195;
1162,929;0,1303616;0,1014069;
1164,793;0,1275741;0,09868374;
1166,657;0,1249563;0,09612991;
1168,520;0,122675;0,09391228;
1170,384;0,1206487;0,09194935;
1172,248;0,1188807;0,0902444;
1174,111;0,1173303;0,08875675;
1175,975;0,11619;0,08767892;
1177,839;0,1157245;0,08727557;
1179,702;0,116095;0,08770789;
1181,566;0,1170764;0,08875091;
1183,430;0,118654;0,09038981;
1185,293;0,1205294;0,09232622;
1187,157;0,1221258;0,09398334;
1189,021;0,1229408;0,09485877;
1190,884;0,1227113;0,09468934;
1192,748;0,1213561;0,09339405;
1194,612;0,1192473;0,09134482;
1196,475;0,1166576;0,08881439;
1198,339;0,1138626;0,08607843;
1200,203;0,1110092;0,08328379;
1202,066;0,1082622;0,08059527;
1203,930;0,1056894;0,07808063;
1205,794;0,103409;0,07585817;
1207,657;0,1014755;0,07398238;
1209,521;0,09992334;0,07248762;
1211,385;0,09862706;0,07124848;
1213,248;0,09765107;0,07032937;
1215,112;0,09695937;0,06969428;
1216,976;0,09660862;0,06939988;
1218,839;0,0964971;0,06934445;
1220,703;0,09660072;0,06950391;
1222,567;0,09684263;0,06980141;
1224,430;0,09725487;0,07026897;
1226,294;0,09781094;0,07088012;
1228,158;0,09842669;0,0715507;
1230,021;0,09909221;0,07227079;
1231,885;0,09993885;0,07317176;
1233,749;0,1008377;0,0741247;
1235,612;0,1017803;0,07512109;
1237,476;0,1027443;0,07613878;
1239,340;0,1037731;0,07722087;
1241,203;0,1048462;0,07834714;
1243,067;0,1059701;0,07952388;
1244,931;0,1070907;0,08069717;
1246,795;0,1082144;0,08187325;
1248,658;0,1092641;0,08297512;
1250,522;0,1103971;0,08416;
1252,386;0,1115837;0,08539829;
1254,249;0,1127445;0,08661065;
1256,113;0,1138827;0,08780007;
1257,977;0,115125;0,08909341;
1259,840;0,1164357;0,0904549;
1261,704;0,117786;0,09185575;
1263,568;0,1191345;0,09325456;
1265,431;0,1205436;0,09471374;
1267,295;0,1219145;0,09613461;
1269,159;0,1233837;0,09765342;
1271,022;0,1248275;0,09914669;
1272,886;0,1263013;0,1006697;
1274,750;0,127822;0,1022394;
1276,613;0,1294069;0,1038732;
1278,477;0,1310146;0,1055295;
1280,341;0,1327145;0,1072778;
1282,204;0,1343677;0,1089792;
