;Apr13_TPC_04-04-02_HMW;Apr13_TPC_04-04-02_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1123409;0,001367406;
652,284;0,1117226;0,001297863;
654,148;0,1112246;0,001343989;
656,011;0,1107059;0,001364731;
657,875;0,1101251;0,001318834;
659,739;0,1096406;0,001364691;
661,602;0,1092284;0,001478377;
663,466;0,1086322;0,001403677;
665,330;0,1075618;0,0008504068;
667,193;0,1074347;0,001236025;
669,057;0,1080488;0,002358619;
670,921;0,1068954;0,001709531;
672,784;0,1062649;0,001579116;
674,648;0,1058011;0,001611207;
676,512;0,1054095;0,001711437;
678,375;0,1049776;0,001767373;
680,239;0,1046069;0,001880399;
682,103;0,1039903;0,00174367;
683,966;0,1035373;0,001766574;
685,830;0,1030934;0,001794705;
687,694;0,1027578;0,001927365;
689,557;0,10226;0,001893997;
691,421;0,1018749;0,001969546;
693,285;0,1015107;0,002062318;
695,149;0,1010932;0,002098049;
697,012;0,100553;0,002007512;
698,876;0,100116;0,002016624;
700,740;0,09947765;0,001820732;
702,603;0,09885847;0,001640542;
704,467;0,09819622;0,001413804;
706,331;0,09760114;0,001250796;
708,194;0,0969189;0,0009972141;
710,058;0,09624263;0,000746241;
711,922;0,09563312;0,0005586794;
713,785;0,09504623;0,0003904468;
715,649;0,0944888;0,0002484042;
717,513;0,09403914;0,0002108994;
719,376;0,09362504;0,0002057644;
721,240;0,09315599;0,0001425023;
723,104;0,09253477;-7,606309E-5;
724,967;0,09213376;-7,752094E-5;
726,831;0,09171532;-9,947127E-5;
728,695;0,09123942;-0,0001819264;
730,558;0,09071532;-0,0003155807;
732,422;0,09027384;-0,0003695997;
734,286;0,08980678;-0,0004521394;
736,149;0,08953305;-0,0003442735;
738,013;0,08915886;-0,0003397509;
739,877;0,08879601;-0,0003267399;
741,740;0,0885154;-0,0002343235;
743,604;0,08817403;-0,0002054767;
745,468;0,08778864;-0,0002234083;
747,331;0,0875304;-0,0001169446;
749,195;0,08722919;-5,616444E-5;
751,059;0,08693921;1,315121E-5;
752,922;0,08671215;0,0001427213;
754,786;0,08649526;0,0002798228;
756,650;0,08620531;0,000341251;
758,513;0,08598834;0,0004730765;
760,377;0,08579499;0,0006259629;
762,241;0,08559356;0,0007682268;
764,104;0,0854475;0,0009633472;
765,968;0,08521817;0,001072719;
767,832;0,08497799;0,001168767;
769,695;0,08476679;0,001291356;
771,559;0,08459202;0,001447974;
773,423;0,08447924;0,00166417;
775,286;0,0843545;0,001866051;
777,150;0,08436928;0,002205102;
779,014;0,08431048;0,002468239;
780,877;0,08416119;0,002638595;
782,741;0,08393809;0,002732854;
784,605;0,08363153;0,002741399;
786,468;0,08335722;0,002779956;
788,332;0,08316549;0,002898875;
790,196;0,08284793;0,002889769;
