;Apr19_TPC_02-04-04_HMW;Apr19_TPC_02-04-04_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1042581;-0,003502188;
652,284;0,1036035;-0,003582332;
654,148;0,1030871;-0,003529228;
656,011;0,1027014;-0,003350192;
657,875;0,1023499;-0,00314181;
659,739;0,1019293;-0,003007277;
661,602;0,1014856;-0,002900456;
663,466;0,1008618;-0,002978414;
665,330;0,09999085;-0,003308109;
667,193;0,1003141;-0,002448121;
669,057;0,1006374;-0,001592542;
670,921;0,0992386;-0,002463547;
672,784;0,09872698;-0,002451721;
674,648;0,09819775;-0,002461835;
676,512;0,09781604;-0,002328721;
678,375;0,09748749;-0,002146679;
680,239;0,09708451;-0,002043254;
682,103;0,0964504;-0,002175114;
683,966;0,09600089;-0,002126468;
685,830;0,09562173;-0,002011525;
687,694;0,09532521;-0,001817958;
689,557;0,0949256;-0,00173145;
691,421;0,09454218;-0,00163268;
693,285;0,09423374;-0,001462809;
695,149;0,09402238;-0,001199694;
697,012;0,09376371;-0,0009877039;
698,876;0,09337851;-0,0009059926;
700,740;0,09282913;-0,0009921843;
702,603;0,09240641;-0,0009553981;
704,467;0,0917437;-0,001162242;
706,331;0,09107765;-0,001376036;
708,194;0,09036364;-0,001641351;
710,058;0,0897439;-0,001815924;
711,922;0,08921235;-0,001905803;
713,785;0,08877368;-0,001906252;
715,649;0,08837885;-0,001866278;
717,513;0,08800187;-0,001811846;
719,376;0,08761506;-0,001770582;
721,240;0,08727746;-0,001683426;
723,104;0,08682641;-0,001713006;
724,967;0,08624259;-0,001878594;
726,831;0,08575767;-0,0019485;
728,695;0,08547658;-0,001817758;
730,558;0,08512307;-0,00176258;
732,422;0,08478087;-0,001699206;
734,286;0,08444537;-0,001632227;
736,149;0,08419849;-0,00147967;
738,013;0,0839016;-0,001380148;
739,877;0,08362476;-0,001263564;
741,740;0,08343484;-0,001063027;
743,604;0,08319799;-0,0009123524;
745,468;0,08286881;-0,0008569096;
747,331;0,08269527;-0,0006486986;
749,195;0,08257344;-0,0003916214;
751,059;0,08237542;-0,0002135567;
752,922;0,08210943;-0,0001062472;
754,786;0,08186391;1,876357E-5;
756,650;0,08167514;0,0001977993;
758,513;0,08149708;0,0003848285;
760,377;0,08131305;0,0005632105;
762,241;0,08108794;0,000697866;
