Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
5.55	3.47	331.2	0.0024
5.55	3.54	319.9	0.0023
11.09	7.67	544.6	0.0040
11.09	7.45	579.9	0.0042
16.64	11.47	824.4	0.0060
16.64	11.42	831.2	0.0061
22.19	15.08	1131.6	0.0083
22.19	14.79	1178.7	0.0086
27.73	18.66	1445.7	0.0106
27.73	18.88	1410.4	0.0103
