Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.53	0.79	913.7	0.0067
6.53	0.71	926.7	0.0068
13.05	2.29	1714.0	0.0126
13.05	1.64	1818.1	0.0133
19.58	2.72	2685.5	0.0197
19.58	2.66	2695.6	0.0197
26.11	3.72	3566.4	0.0261
26.11	3.73	3564.3	0.0261
32.63	5.51	4320.6	0.0316
32.63	5.20	4369.4	0.0320
