Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.45	7.21	39.7	0.0003
7.45	6.55	144.6	0.0011
14.91	13.73	187.2	0.0014
14.91	13.49	226.4	0.0017
22.36	19.87	397.5	0.0029
22.36	19.87	397.5	0.0029
29.82	26.78	483.3	0.0035
29.82	26.88	468.6	0.0034
37.27	34.04	515.1	0.0038
37.27	33.19	650.5	0.0048
