Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
5.29	3.57	272.6	0.0020
5.29	4.08	191.9	0.0014
10.57	7.49	491.1	0.0036
10.57	7.48	492.1	0.0036
15.86	11.33	720.6	0.0053
15.86	10.57	842.0	0.0062
21.14	14.70	1025.4	0.0075
21.14	14.07	1126.7	0.0083
26.43	18.28	1298.0	0.0095
26.43	18.56	1252.9	0.0092
