Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.39	3.00	700.3	0.0051
7.39	2.70	746.9	0.0055
14.78	5.75	1438.9	0.0105
14.78	6.02	1395.1	0.0102
22.18	8.79	2132.5	0.0156
22.18	9.54	2012.1	0.0147
29.57	11.59	2862.9	0.0210
29.57	11.27	2914.7	0.0214
36.96	15.62	3398.2	0.0249
36.96	15.42	3431.1	0.0251
