Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
10.13	7.08	485.5	0.0036
5.79	4.29	238.2	0.0017
11.57	7.28	683.5	0.0050
11.57	8.03	565.2	0.0041
17.36	10.61	1075.3	0.0079
17.36	11.70	902.3	0.0066
23.15	14.96	1304.1	0.0096
23.15	16.01	1136.2	0.0083
28.94	18.52	1658.4	0.0121
28.94	18.37	1682.7	0.0123
