Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
8.52	0.93	1208.6	0.0089
8.52	1.04	1191.8	0.0087
17.04	2.03	2389.5	0.0175
17.04	1.89	2412.8	0.0177
25.55	3.78	3468.3	0.0254
25.55	3.67	3486.1	0.0255
34.07	4.62	4690.9	0.0344
34.07	4.42	4722.4	0.0346
42.59	5.81	5858.2	0.0429
42.59	6.19	5797.6	0.0425
