Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.55	2.84	751.2	0.0055
7.55	3.17	697.9	0.0051
15.10	6.65	1346.3	0.0099
15.10	6.35	1393.8	0.0102
22.66	9.54	2089.2	0.0153
22.66	10.45	1943.5	0.0142
30.21	13.01	2739.0	0.0201
30.21	13.55	2652.8	0.0194
37.76	16.05	3458.2	0.0253
37.76	16.67	3359.1	0.0246
