Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
8.26	4.14	655.9	0.0048
8.26	3.62	737.8	0.0054
16.51	6.04	1667.9	0.0122
16.51	6.57	1584.0	0.0116
24.77	9.81	2383.3	0.0175
33.03	10.67	3561.8	0.0261
33.03	10.42	3600.3	0.0264
41.29	13.67	4398.5	0.0322
41.29	13.26	4464.3	0.0327
