Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.93	3.28	739.3	0.0054
7.93	2.78	819.9	0.0060
15.85	5.85	1592.3	0.0117
15.85	5.93	1579.4	0.0116
23.78	9.19	2322.9	0.0170
23.78	9.58	2260.2	0.0166
31.70	11.90	3153.0	0.0231
31.70	12.36	3080.4	0.0226
39.63	15.93	3774.1	0.0276
39.63	16.43	3694.5	0.0271
