Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.41	3.17	515.8	0.0038
6.41	3.31	494.7	0.0036
12.83	5.57	1155.4	0.0085
12.83	5.93	1098.2	0.0080
19.24	9.22	1595.7	0.0117
19.24	9.52	1547.4	0.0113
25.65	12.17	2147.3	0.0157
25.65	12.59	2080.3	0.0152
32.07	15.69	2608.3	0.0191
