Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.98	5.17	288.6	0.0021
6.98	5.37	256.5	0.0019
13.97	11.47	397.7	0.0029
13.97	11.29	426.6	0.0031
20.95	17.34	575.0	0.0042
20.95	16.40	723.9	0.0053
27.93	21.83	972.6	0.0071
27.93	21.81	974.7	0.0071
34.92	27.09	1246.1	0.0091
34.92	26.89	1278.1	0.0094
