Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.97	6.66	48.7	0.0004
6.97	5.82	182.4	0.0013
13.94	11.99	310.7	0.0023
13.94	11.27	425.4	0.0031
20.91	17.53	537.6	0.0039
20.91	16.83	649.2	0.0048
27.87	22.75	816.7	0.0060
27.87	21.67	987.7	0.0072
34.84	28.41	1024.5	0.0075
34.84	26.40	1345.3	0.0099
