Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.10	2.42	743.9	0.0054
7.10	2.67	705.2	0.0052
14.19	4.66	1517.6	0.0111
21.29	7.45	2203.3	0.0161
21.29	7.07	2263.5	0.0166
28.38	9.07	3075.4	0.0225
28.38	8.82	3115.6	0.0228
35.48	11.57	3807.0	0.0279
35.48	12.36	3682.5	0.0270
