Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
4.04	2.56	235.6	0.0017
4.04	2.55	237.6	0.0017
8.08	5.22	455.7	0.0033
8.08	5.48	414.3	0.0030
12.12	8.08	643.6	0.0047
12.12	8.60	560.8	0.0041
16.16	10.15	957.8	0.0070
16.16	9.81	1012.0	0.0074
20.20	12.20	1273.9	0.0093
20.20	12.79	1180.3	0.0086
