Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
5.49	1.74	597.0	0.0044
5.49	2.54	470.0	0.0034
10.98	3.83	1138.9	0.0083
10.98	3.70	1159.6	0.0085
16.47	5.66	1721.7	0.0126
16.47	5.88	1686.0	0.0124
21.96	7.88	2241.8	0.0164
21.96	7.86	2245.8	0.0165
27.45	9.62	2839.2	0.0208
27.45	9.70	2826.3	0.0207
