Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.54	4.31	354.5	0.0026
6.54	4.18	374.7	0.0027
13.07	9.18	620.7	0.0045
13.07	9.15	624.7	0.0046
19.61	14.50	813.5	0.0060
19.61	14.35	838.3	0.0061
26.15	19.04	1131.6	0.0083
26.15	19.34	1083.8	0.0079
32.68	23.99	1385.0	0.0101
32.68	23.84	1407.9	0.0103
