Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.72	2.92	764.5	0.0056
7.72	1.81	941.9	0.0069
15.45	5.46	1590.4	0.0116
15.45	5.62	1564.5	0.0115
23.17	7.87	2436.7	0.0178
23.17	7.09	2562.0	0.0188
30.90	10.33	3276.1	0.0240
30.90	11.16	3143.8	0.0230
38.62	14.60	3825.0	0.0280
38.62	13.69	3970.2	0.0291
