Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
5.99	4.53	232.4	0.0017
5.99	3.87	337.8	0.0025
11.98	7.64	691.4	0.0051
11.98	7.62	695.4	0.0051
17.97	12.29	904.7	0.0066
17.97	12.63	851.3	0.0062
23.96	16.13	1248.5	0.0091
23.96	16.31	1219.9	0.0089
29.96	20.68	1477.6	0.0108
29.96	19.95	1593.4	0.0117
