Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
3.47	2.31	185.9	0.0014
3.47	1.94	244.2	0.0018
6.95	3.58	535.9	0.0039
6.95	3.63	529.3	0.0039
10.42	5.23	826.3	0.0061
10.42	6.01	702.5	0.0051
13.90	7.17	1072.1	0.0079
13.90	6.88	1118.0	0.0082
17.37	9.31	1283.9	0.0094
17.37	9.89	1191.0	0.0087
