Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
9.64	5.03	733.9	0.0054
9.64	4.37	839.5	0.0061
19.27	8.75	1675.3	0.0123
19.27	8.35	1739.3	0.0127
28.91	12.67	2587.2	0.0190
28.91	13.01	2531.9	0.0185
38.55	16.96	3438.9	0.0252
38.55	16.53	3505.8	0.0257
48.18	20.03	4483.7	0.0328
48.18	22.82	4040.3	0.0296
