Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
8.48	1.04	1184.6	0.0087
8.48	1.14	1169.3	0.0086
16.96	2.34	2328.7	0.0171
16.96	2.01	2381.0	0.0174
25.44	3.06	3565.1	0.0261
25.44	3.18	3546.4	0.0260
33.93	4.40	4703.4	0.0345
33.93	4.03	4762.0	0.0349
42.53	5.28	5932.5	0.0435
42.41	5.71	5844.9	0.0428
