Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.57	4.36	511.2	0.0037
7.57	4.39	506.0	0.0037
15.14	9.31	928.9	0.0068
15.14	9.42	912.0	0.0067
22.72	14.13	1367.4	0.0100
22.72	14.37	1328.7	0.0097
30.29	19.42	1730.4	0.0127
30.29	19.78	1672.8	0.0123
37.86	24.88	2066.7	0.0151
37.86	24.63	2107.4	0.0154
