Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
8.48	0.90	1207.2	0.0088
8.48	0.60	1255.5	0.0092
16.96	1.80	2415.5	0.0177
16.96	1.74	2424.7	0.0178
25.44	2.92	3587.4	0.0263
25.44	2.92	3587.1	0.0263
33.92	3.96	4771.8	0.0350
33.92	3.91	4780.7	0.0350
42.40	4.90	5972.4	0.0437
42.40	4.88	5977.1	0.0438
