Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
12.63	10.51	337.7	0.0025
7.22	5.91	208.1	0.0015
14.43	11.77	424.4	0.0031
14.43	11.88	406.7	0.0030
21.65	17.71	628.0	0.0046
21.65	17.66	635.8	0.0047
28.87	23.56	845.2	0.0062
28.87	23.70	822.6	0.0060
36.08	29.38	1068.4	0.0078
36.08	29.30	1080.2	0.0079
