Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
9.70	3.80	939.3	0.0069
9.70	3.92	919.8	0.0067
19.40	7.60	1878.9	0.0138
19.40	7.70	1862.7	0.0136
29.10	11.67	2775.8	0.0203
29.10	12.00	2723.3	0.0199
38.79	15.71	3676.8	0.0269
38.79	16.13	3609.1	0.0264
48.49	20.45	4465.7	0.0327
48.49	19.76	4575.8	0.0335
