Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
8.66	1.87	1081.7	0.0079
8.66	1.82	1090.0	0.0080
17.32	4.06	2113.2	0.0155
17.32	3.87	2143.5	0.0157
25.99	6.80	3055.5	0.0224
25.99	6.51	3102.1	0.0227
34.65	9.16	4059.6	0.0297
34.65	9.52	4002.9	0.0293
43.31	11.73	5030.3	0.0368
43.31	11.83	5014.1	0.0367
