Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.71	4.91	286.3	0.0021
6.71	4.70	320.1	0.0023
13.41	9.96	549.6	0.0040
13.41	9.91	557.6	0.0041
20.12	15.87	676.6	0.0050
20.12	15.09	801.3	0.0059
26.82	19.98	1088.9	0.0080
26.82	19.82	1114.9	0.0082
33.53	24.55	1429.4	0.0105
33.53	24.65	1414.4	0.0104
