Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.92	1.39	880.1	0.0064
6.92	0.73	984.8	0.0072
13.83	2.61	1787.1	0.0131
13.83	2.60	1789.1	0.0131
20.75	4.96	2514.0	0.0184
20.75	4.09	2653.3	0.0194
27.66	5.27	3566.7	0.0261
27.66	6.36	3392.6	0.0249
34.58	8.30	4185.5	0.0307
34.58	8.14	4210.4	0.0308
