Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.24	2.42	608.7	0.0045
6.24	2.53	592.3	0.0043
12.49	5.24	1154.2	0.0085
12.49	5.00	1192.1	0.0087
18.73	7.57	1778.3	0.0130
18.73	8.12	1689.8	0.0124
24.98	10.66	2280.8	0.0167
24.98	9.76	2423.7	0.0178
31.22	12.19	3030.3	0.0222
31.22	12.10	3045.9	0.0223
