Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.57	1.33	834.3	0.0061
13.13	3.05	1606.1	0.0118
13.13	2.87	1634.1	0.0120
19.70	5.25	2300.9	0.0169
19.70	4.93	2352.0	0.0172
26.27	7.23	3032.8	0.0222
26.27	6.82	3098.3	0.0227
32.84	8.62	3856.8	0.0283
32.84	8.45	3883.4	0.0284
