Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.46	1.01	1026.7	0.0075
7.46	0.86	1050.3	0.0077
14.92	3.02	1894.4	0.0139
14.92	3.21	1864.7	0.0137
22.37	5.03	2762.4	0.0202
22.37	5.29	2721.3	0.0199
29.83	7.13	3614.9	0.0265
29.83	7.53	3551.8	0.0260
37.29	10.34	4292.2	0.0314
37.29	9.99	4347.3	0.0318
