Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.19	5.44	278.7	0.0020
7.19	5.30	301.0	0.0022
14.38	10.46	624.7	0.0046
14.38	11.72	423.7	0.0031
21.57	16.10	871.3	0.0064
21.57	16.71	773.9	0.0057
28.76	21.67	1129.1	0.0083
28.76	21.06	1226.6	0.0090
35.95	26.68	1476.2	0.0108
35.95	26.39	1522.9	0.0112
